entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q148511,Crazy in Love,http://www.wikidata.org/entity/Q148511,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q923849,Niggas in Paris,http://www.wikidata.org/entity/Q923849,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q672515,Party Rock Anthem,http://www.wikidata.org/entity/Q672515,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q1067025,Hollaback Girl,http://www.wikidata.org/entity/Q1067025,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q313777,Wavin' Flag,http://www.wikidata.org/entity/Q313777,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q650415,My Humps,http://www.wikidata.org/entity/Q650415,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q742200,I Know What You Want,http://www.wikidata.org/entity/Q742200,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q926104,Run This Town,http://www.wikidata.org/entity/Q926104,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q577182,My Love,http://www.wikidata.org/entity/Q577182,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q953383,Boys,http://www.wikidata.org/entity/Q953383,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q21100,Both of Us,http://www.wikidata.org/entity/Q21100,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q645342,Where Them Girls At,http://www.wikidata.org/entity/Q645342,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q1018488,Bye Bye Baby,http://www.wikidata.org/entity/Q1018488,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q549433,Business,http://www.wikidata.org/entity/Q549433,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q112138,Signs,http://www.wikidata.org/entity/Q112138,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q1116520,Stand Up,http://www.wikidata.org/entity/Q1116520,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q1004855,"Bump, Bump, Bump",http://www.wikidata.org/entity/Q1004855,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q904141,Raining Men,http://www.wikidata.org/entity/Q904141,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q965260,Swagger Jagger,http://www.wikidata.org/entity/Q965260,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q245440,5 O'Clock,http://www.wikidata.org/entity/Q245440,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q513124,H•A•M,http://www.wikidata.org/entity/Q513124,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q691865,Sugar,http://www.wikidata.org/entity/Q691865,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q1577640,Wait Your Turn,http://www.wikidata.org/entity/Q1577640,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q129720,"Razom nas bahato, nas ne podolaty",http://www.wikidata.org/entity/Q129720,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q627560,My Life,http://www.wikidata.org/entity/Q627560,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q822199,Living Darfur,http://www.wikidata.org/entity/Q822199,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q859359,Big Shit Poppin',http://www.wikidata.org/entity/Q859359,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q1637624,Hero,http://www.wikidata.org/entity/Q1637624,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q699519,Woki mit deim Popo,http://www.wikidata.org/entity/Q699519,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q1609740,Here I Come,http://www.wikidata.org/entity/Q1609740,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11401,hip hop music,songs,1
Q426623,Allez Ola Olé,http://www.wikidata.org/entity/Q426623,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q37073,pop music,songs,0
Q577097,Spinning Around,http://www.wikidata.org/entity/Q577097,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q58339,disco,songs,0
Q23061,Professional Griefers,http://www.wikidata.org/entity/Q23061,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q627906,electro house,songs,0
