entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q308895,We Are the World,http://www.wikidata.org/entity/Q308895,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q546425,In the Air Tonight,http://www.wikidata.org/entity/Q546425,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q276086,You Raise Me Up,http://www.wikidata.org/entity/Q276086,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q202915,Tom's Diner,http://www.wikidata.org/entity/Q202915,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q924220,Popcorn,http://www.wikidata.org/entity/Q924220,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q944039,Rapper's Delight,http://www.wikidata.org/entity/Q944039,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q804380,Baker Street,http://www.wikidata.org/entity/Q804380,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q164100,Tik Tok,http://www.wikidata.org/entity/Q164100,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q418833,Wannabe,http://www.wikidata.org/entity/Q418833,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q654353,All the Things She Said,http://www.wikidata.org/entity/Q654353,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q701766,Lambada,http://www.wikidata.org/entity/Q701766,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q189007,Just Dance,http://www.wikidata.org/entity/Q189007,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q1110639,Music Sounds Better with You,http://www.wikidata.org/entity/Q1110639,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q572709,You Really Got Me,http://www.wikidata.org/entity/Q572709,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q695648,All That She Wants,http://www.wikidata.org/entity/Q695648,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q475031,Brown Eyed Girl,http://www.wikidata.org/entity/Q475031,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q836681,Give Peace a Chance,http://www.wikidata.org/entity/Q836681,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q750794,Pon de Replay,http://www.wikidata.org/entity/Q750794,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q1028031,Driving Home for Christmas,http://www.wikidata.org/entity/Q1028031,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q602375,Kernkraft 400,http://www.wikidata.org/entity/Q602375,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q1461284,Alive,http://www.wikidata.org/entity/Q1461284,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q1403341,Crazy,http://www.wikidata.org/entity/Q1403341,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q486421,Anarchy in the U.K.,http://www.wikidata.org/entity/Q486421,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q300428,A Groovy Kind of Love,http://www.wikidata.org/entity/Q300428,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q300486,A Moment Like This,http://www.wikidata.org/entity/Q300486,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q903649,Break On Through,http://www.wikidata.org/entity/Q903649,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q1351488,Supersonic,http://www.wikidata.org/entity/Q1351488,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q384691,Vision of Love,http://www.wikidata.org/entity/Q384691,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q593415,Blaze of Glory,http://www.wikidata.org/entity/Q593415,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q537128,Black Is Black,http://www.wikidata.org/entity/Q537128,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q939083,Jar of Hearts,http://www.wikidata.org/entity/Q939083,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q971810,Pump Up the Volume,http://www.wikidata.org/entity/Q971810,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q906980,Do the Bartman,http://www.wikidata.org/entity/Q906980,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q550084,Last Night a D.J. Saved My Life,http://www.wikidata.org/entity/Q550084,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q545545,Longview,http://www.wikidata.org/entity/Q545545,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q1459997,Smile,http://www.wikidata.org/entity/Q1459997,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q283877,Working My Way Back to You,http://www.wikidata.org/entity/Q283877,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q929774,Wait and Bleed,http://www.wikidata.org/entity/Q929774,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q918493,Skyscraper,http://www.wikidata.org/entity/Q918493,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q116535,Tomorrow,http://www.wikidata.org/entity/Q116535,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
Q633376,It's So Easy,http://www.wikidata.org/entity/Q633376,http://www.wikidata.org/prop/direct/P1552,has characteristic,http://www.wikidata.org/entity/Q66624698,debut single,songs,1
