entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q517591,The Show Must Go On,http://www.wikidata.org/entity/Q517591,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q15873,Brian May,songs,1
Q1075363,'39,http://www.wikidata.org/entity/Q1075363,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q15873,Brian May,songs,1
Q222586,Who Wants to Live Forever,http://www.wikidata.org/entity/Q222586,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q15873,Brian May,songs,1
Q544294,I Want It All,http://www.wikidata.org/entity/Q544294,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q15873,Brian May,songs,1
Q1033415,Hammer to Fall,http://www.wikidata.org/entity/Q1033415,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q15873,Brian May,songs,1
Q1001928,Flash,http://www.wikidata.org/entity/Q1001928,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q15873,Brian May,songs,1
Q1050925,Save Me,http://www.wikidata.org/entity/Q1050925,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q15873,Brian May,songs,1
Q616255,Headlong,http://www.wikidata.org/entity/Q616255,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q15873,Brian May,songs,1
Q1187330,Scandal,http://www.wikidata.org/entity/Q1187330,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q15873,Brian May,songs,1
Q1129431,Let Me Live,http://www.wikidata.org/entity/Q1129431,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q15873,Brian May,songs,1
Q294125,AKA... What a Life!,http://www.wikidata.org/entity/Q294125,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q193459,Noel Gallagher,songs,0
Q1420677,Like a Prayer,http://www.wikidata.org/entity/Q1420677,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q529603,Patrick Leonard,songs,0
Q1535561,L-O-V-E,http://www.wikidata.org/entity/Q1535561,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q11565539,Kenji Sazanami,songs,0
Q978310,The Next Episode,http://www.wikidata.org/entity/Q978310,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q6078,Dr. Dre,songs,0
Q849262,Breakthru,http://www.wikidata.org/entity/Q849262,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q15869,Freddie Mercury,songs,0
Q907648,Doesn't Really Matter,http://www.wikidata.org/entity/Q907648,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q131324,Janet Jackson,songs,0
Q630335,I Am Your Leader,http://www.wikidata.org/entity/Q630335,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q297831,Rick Ross,songs,0
Q1291140,Right by My Side,http://www.wikidata.org/entity/Q1291140,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q162202,Nicki Minaj,songs,0
Q1320167,Manatsu no Sounds Good!,http://www.wikidata.org/entity/Q1320167,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q457860,Yasushi Akimoto,songs,0
Q1287050,Schrei nach Liebe,http://www.wikidata.org/entity/Q1287050,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q77462,Bela B,songs,0
Q1403706,Pink Triangle,http://www.wikidata.org/entity/Q1403706,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q343069,Rivers Cuomo,songs,0
Q613671,Play Hard,http://www.wikidata.org/entity/Q613671,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q193710,Ne-Yo,songs,0
Q568616,The New Wave,http://www.wikidata.org/entity/Q568616,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q471656,Thomas Bangalter,songs,0
Q780332,Storytime,http://www.wikidata.org/entity/Q780332,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q489000,Tuomas Holopainen,songs,0
Q1413088,Wind Chimes,http://www.wikidata.org/entity/Q1413088,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q313013,Brian Wilson,songs,0
Q596113,Barbra Streisand,http://www.wikidata.org/entity/Q596113,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q277976,A-Trak,songs,0
Q558448,She Doesn't Mind,http://www.wikidata.org/entity/Q558448,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q200577,Sean Paul,songs,0
Q650326,The One That Got Away,http://www.wikidata.org/entity/Q650326,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q318223,Karl Martin,songs,0
Q371487,Smack My Bitch Up,http://www.wikidata.org/entity/Q371487,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q388259,Liam Howlett,songs,0
Q126149,The Way We Were,http://www.wikidata.org/entity/Q126149,http://www.wikidata.org/prop/direct/P676,lyrics by,http://www.wikidata.org/entity/Q1857066,Alan Bergman,songs,0
