entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q1165404,Money for Nothing,http://www.wikidata.org/entity/Q1165404,http://www.wikidata.org/prop/direct/P1411,nominated for,http://www.wikidata.org/entity/Q1027904,Grammy Award for Song of the Year,songs,1
Q1060948,I Still Haven't Found What I'm Looking For,http://www.wikidata.org/entity/Q1060948,http://www.wikidata.org/prop/direct/P1411,nominated for,http://www.wikidata.org/entity/Q1027904,Grammy Award for Song of the Year,songs,1
Q1025631,The Reason,http://www.wikidata.org/entity/Q1025631,http://www.wikidata.org/prop/direct/P1411,nominated for,http://www.wikidata.org/entity/Q1027904,Grammy Award for Song of the Year,songs,1
Q129158,We Belong Together,http://www.wikidata.org/entity/Q129158,http://www.wikidata.org/prop/direct/P1411,nominated for,http://www.wikidata.org/entity/Q1027904,Grammy Award for Song of the Year,songs,1
Q1172628,Sailing,http://www.wikidata.org/entity/Q1172628,http://www.wikidata.org/prop/direct/P1411,nominated for,http://www.wikidata.org/entity/Q1027904,Grammy Award for Song of the Year,songs,1
Q126149,The Way We Were,http://www.wikidata.org/entity/Q126149,http://www.wikidata.org/prop/direct/P1411,nominated for,http://www.wikidata.org/entity/Q1027904,Grammy Award for Song of the Year,songs,1
Q129158,We Belong Together,http://www.wikidata.org/entity/Q129158,http://www.wikidata.org/prop/direct/P1411,nominated for,http://www.wikidata.org/entity/Q7564361,"Soul Train Music Award for Best R&B/Soul Single, Female",songs,0
Q129158,We Belong Together,http://www.wikidata.org/entity/Q129158,http://www.wikidata.org/prop/direct/P1411,nominated for,http://www.wikidata.org/entity/Q1459443,Grammy Award for Best R&B Song,songs,0
Q1140586,Listen,http://www.wikidata.org/entity/Q1140586,http://www.wikidata.org/prop/direct/P1411,nominated for,http://www.wikidata.org/entity/Q1472235,Golden Globe Award for Best Original Song,songs,0
Q1004855,"Bump, Bump, Bump",http://www.wikidata.org/entity/Q1004855,http://www.wikidata.org/prop/direct/P1411,nominated for,http://www.wikidata.org/entity/Q7564362,"Soul Train Music Award for Best R&B/Soul Single, Group, Band or Duo",songs,0
Q929774,Wait and Bleed,http://www.wikidata.org/entity/Q929774,http://www.wikidata.org/prop/direct/P1411,nominated for,http://www.wikidata.org/entity/Q6394341,Kerrang! Award for Best Single,songs,0
Q1004855,"Bump, Bump, Bump",http://www.wikidata.org/entity/Q1004855,http://www.wikidata.org/prop/direct/P1411,nominated for,http://www.wikidata.org/entity/Q4835477,BET Award for Viewer's Choice,songs,0
Q830365,Best of You,http://www.wikidata.org/entity/Q830365,http://www.wikidata.org/prop/direct/P1411,nominated for,http://www.wikidata.org/entity/Q1542205,Grammy Award for Best Rock Performance by a Duo or Group with Vocal,songs,0
Q147734,Halo,http://www.wikidata.org/entity/Q147734,http://www.wikidata.org/prop/direct/P1411,nominated for,http://www.wikidata.org/entity/Q31155,MTV Europe Music Award for Best Song,songs,0
Q148511,Crazy in Love,http://www.wikidata.org/entity/Q148511,http://www.wikidata.org/prop/direct/P1411,nominated for,http://www.wikidata.org/entity/Q1659596,NAACP Image Award for Outstanding Song,songs,0
Q148511,Crazy in Love,http://www.wikidata.org/entity/Q148511,http://www.wikidata.org/prop/direct/P1411,nominated for,http://www.wikidata.org/entity/Q7564361,"Soul Train Music Award for Best R&B/Soul Single, Female",songs,0
Q672515,Party Rock Anthem,http://www.wikidata.org/entity/Q672515,http://www.wikidata.org/prop/direct/P1411,nominated for,http://www.wikidata.org/entity/Q16991776,Billboard Music Award for Digital Song of the Year,songs,0
Q148511,Crazy in Love,http://www.wikidata.org/entity/Q148511,http://www.wikidata.org/prop/direct/P1411,nominated for,http://www.wikidata.org/entity/Q31155,MTV Europe Music Award for Best Song,songs,0
