entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q940753,Jenny from the Block,http://www.wikidata.org/entity/Q940753,http://www.wikidata.org/prop/direct/P175,performer,http://www.wikidata.org/entity/Q40715,Jennifer Lopez,songs,1
Q1067049,Let's Get Loud,http://www.wikidata.org/entity/Q1067049,http://www.wikidata.org/prop/direct/P175,performer,http://www.wikidata.org/entity/Q40715,Jennifer Lopez,songs,1
Q848721,Love Don't Cost a Thing,http://www.wikidata.org/entity/Q848721,http://www.wikidata.org/prop/direct/P175,performer,http://www.wikidata.org/entity/Q40715,Jennifer Lopez,songs,1
Q1058134,I'm Real,http://www.wikidata.org/entity/Q1058134,http://www.wikidata.org/prop/direct/P175,performer,http://www.wikidata.org/entity/Q40715,Jennifer Lopez,songs,1
Q1079716,Play,http://www.wikidata.org/entity/Q1079716,http://www.wikidata.org/prop/direct/P175,performer,http://www.wikidata.org/entity/Q40715,Jennifer Lopez,songs,1
Q1058125,I'm Gonna Be Alright,http://www.wikidata.org/entity/Q1058125,http://www.wikidata.org/prop/direct/P175,performer,http://www.wikidata.org/entity/Q40715,Jennifer Lopez,songs,1
Q797852,Baby I Love U!,http://www.wikidata.org/entity/Q797852,http://www.wikidata.org/prop/direct/P175,performer,http://www.wikidata.org/entity/Q40715,Jennifer Lopez,songs,1
Q794610,T.H.E. (The Hardest Ever),http://www.wikidata.org/entity/Q794610,http://www.wikidata.org/prop/direct/P175,performer,http://www.wikidata.org/entity/Q40715,Jennifer Lopez,songs,1
Q1139219,Crazy,http://www.wikidata.org/entity/Q1139219,http://www.wikidata.org/prop/direct/P175,performer,http://www.wikidata.org/entity/Q126826,Aerosmith,songs,0
Q194499,The Lazy Song,http://www.wikidata.org/entity/Q194499,http://www.wikidata.org/prop/direct/P175,performer,http://www.wikidata.org/entity/Q1450,Bruno Mars,songs,0
Q1116520,Stand Up,http://www.wikidata.org/entity/Q1116520,http://www.wikidata.org/prop/direct/P175,performer,http://www.wikidata.org/entity/Q452870,Shawnna,songs,0
Q1089421,Beautiful,http://www.wikidata.org/entity/Q1089421,http://www.wikidata.org/prop/direct/P175,performer,http://www.wikidata.org/entity/Q236799,Mai Kuraki,songs,0
Q525320,Suddenly I See,http://www.wikidata.org/entity/Q525320,http://www.wikidata.org/prop/direct/P175,performer,http://www.wikidata.org/entity/Q230601,KT Tunstall,songs,0
Q370983,Still D.R.E.,http://www.wikidata.org/entity/Q370983,http://www.wikidata.org/prop/direct/P175,performer,http://www.wikidata.org/entity/Q6078,Dr. Dre,songs,0
Q848432,Cheers (Drink to That),http://www.wikidata.org/entity/Q848432,http://www.wikidata.org/prop/direct/P175,performer,http://www.wikidata.org/entity/Q36844,Rihanna,songs,0
Q388390,Afrodisiac,http://www.wikidata.org/entity/Q388390,http://www.wikidata.org/prop/direct/P175,performer,http://www.wikidata.org/entity/Q690974,Brandy,songs,0
Q609846,What You Know,http://www.wikidata.org/entity/Q609846,http://www.wikidata.org/prop/direct/P175,performer,http://www.wikidata.org/entity/Q214227,T.I.,songs,0
Q690024,Hijo de la Luna,http://www.wikidata.org/entity/Q690024,http://www.wikidata.org/prop/direct/P175,performer,http://www.wikidata.org/entity/Q574375,Mecano,songs,0
Q783320,Fire,http://www.wikidata.org/entity/Q783320,http://www.wikidata.org/prop/direct/P175,performer,http://www.wikidata.org/entity/Q272517,Kasabian,songs,0
Q37128,Ride,http://www.wikidata.org/entity/Q37128,http://www.wikidata.org/prop/direct/P175,performer,http://www.wikidata.org/entity/Q37150,Lana Del Rey,songs,0
Q1001928,Flash,http://www.wikidata.org/entity/Q1001928,http://www.wikidata.org/prop/direct/P175,performer,http://www.wikidata.org/entity/Q15862,Queen,songs,0
Q772280,Judgement Day,http://www.wikidata.org/entity/Q772280,http://www.wikidata.org/prop/direct/P175,performer,http://www.wikidata.org/entity/Q298694,Method Man,songs,0
Q256714,Knock You Down,http://www.wikidata.org/entity/Q256714,http://www.wikidata.org/prop/direct/P175,performer,http://www.wikidata.org/entity/Q193710,Ne-Yo,songs,0
Q627560,My Life,http://www.wikidata.org/entity/Q627560,http://www.wikidata.org/prop/direct/P175,performer,http://www.wikidata.org/entity/Q5608,Eminem,songs,0
