entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q836667,Under Pressure,http://www.wikidata.org/entity/Q836667,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q568065,Another One Bites the Dust,http://www.wikidata.org/entity/Q568065,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q1075363,'39,http://www.wikidata.org/entity/Q1075363,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q744564,Somebody to Love,http://www.wikidata.org/entity/Q744564,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q222586,Who Wants to Live Forever,http://www.wikidata.org/entity/Q222586,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q839848,You're My Best Friend,http://www.wikidata.org/entity/Q839848,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q486421,Anarchy in the U.K.,http://www.wikidata.org/entity/Q486421,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q540744,When Love Takes Over,http://www.wikidata.org/entity/Q540744,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q1072053,I Was Born to Love You,http://www.wikidata.org/entity/Q1072053,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q688209,Sexy Bitch,http://www.wikidata.org/entity/Q688209,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q1033415,Hammer to Fall,http://www.wikidata.org/entity/Q1033415,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q264053,Princes of the Universe,http://www.wikidata.org/entity/Q264053,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q1001928,Flash,http://www.wikidata.org/entity/Q1001928,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q550084,Last Night a D.J. Saved My Life,http://www.wikidata.org/entity/Q550084,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q556374,We Are the People,http://www.wikidata.org/entity/Q556374,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q849262,Breakthru,http://www.wikidata.org/entity/Q849262,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q1016721,Burn,http://www.wikidata.org/entity/Q1016721,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q1003996,Friends Will Be Friends,http://www.wikidata.org/entity/Q1003996,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q1050925,Save Me,http://www.wikidata.org/entity/Q1050925,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q1075319,The Invisible Man,http://www.wikidata.org/entity/Q1075319,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q645342,Where Them Girls At,http://www.wikidata.org/entity/Q645342,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q1187330,Scandal,http://www.wikidata.org/entity/Q1187330,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q1415416,Gettin' Over You,http://www.wikidata.org/entity/Q1415416,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q524549,Étienne,http://www.wikidata.org/entity/Q524549,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q579284,She Wolf,http://www.wikidata.org/entity/Q579284,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q726628,I treni di Tozeur,http://www.wikidata.org/entity/Q726628,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q527377,Pain Is So Close to Pleasure,http://www.wikidata.org/entity/Q527377,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q1371262,Ethiopie,http://www.wikidata.org/entity/Q1371262,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q735579,London Town,http://www.wikidata.org/entity/Q735579,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q585163,I Can Only Imagine,http://www.wikidata.org/entity/Q585163,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q677574,Jealousy,http://www.wikidata.org/entity/Q677574,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q540201,Market Square Heroes,http://www.wikidata.org/entity/Q540201,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q822199,Living Darfur,http://www.wikidata.org/entity/Q822199,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q723150,The World Tonight,http://www.wikidata.org/entity/Q723150,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q1317851,Tell Me Why,http://www.wikidata.org/entity/Q1317851,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q382928,What About My Dreams?,http://www.wikidata.org/entity/Q382928,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q1412865,My Melancholy Blues,http://www.wikidata.org/entity/Q1412865,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q1628085,Spellbound,http://www.wikidata.org/entity/Q1628085,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q127752,Glass of Water,http://www.wikidata.org/entity/Q127752,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q617767,I Wanna Go Crazy,http://www.wikidata.org/entity/Q617767,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q942142,Born Again,http://www.wikidata.org/entity/Q942142,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q1102460,Closer,http://www.wikidata.org/entity/Q1102460,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183412,EMI,songs,1
Q574988,Gee,http://www.wikidata.org/entity/Q574988,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q7288652,Rama,songs,0
Q963343,Love Takes Time,http://www.wikidata.org/entity/Q963343,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183387,Columbia Records,songs,0
Q1767236,Unintended,http://www.wikidata.org/entity/Q1767236,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q2299832,Mushroom Records,songs,0
Q300390,A Different Corner,http://www.wikidata.org/entity/Q300390,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183387,Columbia Records,songs,0
Q676207,Little Lies,http://www.wikidata.org/entity/Q676207,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q843402,Warner Bros. Records,songs,0
Q1461284,Alive,http://www.wikidata.org/entity/Q1461284,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q216364,Epic Records,songs,0
Q753940,Don't Let Me Be the Last to Know,http://www.wikidata.org/entity/Q753940,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q27184,Jive Records,songs,0
Q650074,What I Go to School For,http://www.wikidata.org/entity/Q650074,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q38903,Universal Music Group,songs,0
Q649877,Who's Laughing Now,http://www.wikidata.org/entity/Q649877,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q2002177,Lava Records,songs,0
Q927841,Never Too Far,http://www.wikidata.org/entity/Q927841,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q203059,Virgin Music,songs,0
Q609846,What You Know,http://www.wikidata.org/entity/Q609846,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q202440,Atlantic Records,songs,0
Q1655243,I Miss You,http://www.wikidata.org/entity/Q1655243,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q387539,Hollywood Records,songs,0
Q838317,Have a Cigar,http://www.wikidata.org/entity/Q838317,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q1324712,Harvest,songs,0
Q765675,I Know You Want Me,http://www.wikidata.org/entity/Q765675,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q7225891,Polo Grounds Music,songs,0
Q587683,Millennium,http://www.wikidata.org/entity/Q587683,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q1088453,Chrysalis Records,songs,0
Q1653660,Better Than You,http://www.wikidata.org/entity/Q1653660,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q208909,Parlophone,songs,0
Q725876,Dance in the Dark,http://www.wikidata.org/entity/Q725876,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q231694,Interscope Records,songs,0
Q112138,Signs,http://www.wikidata.org/entity/Q112138,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q212699,Geffen Records,songs,0
Q202567,The Look of Love,http://www.wikidata.org/entity/Q202567,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q165745,Mercury Records,songs,0
Q650543,Alive,http://www.wikidata.org/entity/Q650543,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q585643,Atco Records,songs,0
Q28004,'Till I Collapse,http://www.wikidata.org/entity/Q28004,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q231694,Interscope Records,songs,0
Q37128,Ride,http://www.wikidata.org/entity/Q37128,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q155152,Polydor Records,songs,0
Q194499,The Lazy Song,http://www.wikidata.org/entity/Q194499,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q7096180,Open Road Recordings,songs,0
Q592074,Love Me,http://www.wikidata.org/entity/Q592074,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q947109,The Island Def Jam Music Group,songs,0
Q861337,I'm a Slave 4 U,http://www.wikidata.org/entity/Q861337,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q27184,Jive Records,songs,0
Q908968,Don’t Stop (Funkin’ 4 Jamaica),http://www.wikidata.org/entity/Q908968,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q203059,Virgin Music,songs,0
Q21096,I Don't Give a Fuck,http://www.wikidata.org/entity/Q21096,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q231694,Interscope Records,songs,0
