concept	facet	property	facet_property
cathedral basilica of st. mary of the assumption	activities	masses	activities: masses
cesena cathedral	activities	worship	activities: worship
mikkeli cathedral	activities	worship	activities: worship
mikkeli cathedral	activities	weddings	activities: weddings
st. stephen's cathedral, passau	activities	weddings	activities: weddings
st. stephen's cathedral, passau	activities	events	activities: events
st. stephen's cathedral, passau	activities	worship	activities: worship
st. stephen's cathedral, passau	activities	tours	activities: tours
panevežys cathedral	activities	visiting	activities: visiting
panevežys cathedral	activities	worshiping	activities: worshiping
panevežys cathedral	activities	cultural events	activities: cultural events
cathedral of faro	activities	exhibition	activities: exhibition
cathedral of faro	activities	worship	activities: worship
cattedrale di santa maria assunta	activities	worshiping	activities: worshiping
cattedrale di santa maria assunta	activities	praying	activities: praying
cattedrale di santa maria assunta	activities	visiting	activities: visiting
pula cathedral	activities	visiting	activities: visiting
pula cathedral	activities	tours	activities: tours
cesena cathedral	activities	tours	activities: tours
pula cathedral	activities	worship	activities: worship
cesena cathedral	activities	visitation	activities: visitation
st. louis cathedral	activities	masses	activities: masses
church of santa sofia, lendinara	activities	cultural events	activities: cultural events
church of santa sofia, lendinara	activities	tours	activities: tours
church of santa sofia, lendinara	activities	worship	activities: worship
cathedral basilica of st. mary of the assumption	activities	tours	activities: tours
chalon cathedral	activities	visit	activities: visit
chalon cathedral	activities	take a tour	activities: take a tour
chalon cathedral	activities	attend a service	activities: attend a service
santa ana cathedral, el salvador	activities	visit	activities: visit
santa ana cathedral, el salvador	activities	worship	activities: worship
santa ana cathedral, el salvador	activities	take a tour	activities: take a tour
moûtiers cathedral	activities	guided tours	activities: guided tours
moûtiers cathedral	activities	masses	activities: masses
moûtiers cathedral	activities	concerts	activities: concerts
cathedral of st. mary	activities	exhibitions	activities: exhibitions
cathedral of st. mary	activities	tours	activities: tours
cathedral of st. mary	activities	worship	activities: worship
st. louis cathedral	activities	tours	activities: tours
st. louis cathedral	activities	weddings	activities: weddings
basilica of our lady of the assumption	activities	tours	activities: tours
mikkeli cathedral	activities	tours	activities: tours
cathedral of saint mary of the assumption (chur)	activities	visiting	activities: visiting
cathedral of saint mary of the assumption (chur)	activities	worship	activities: worship
co-cathedral of the presentation of the blessed virgin mary	activities	exhibitions	activities: exhibitions
basilica of our lady of the assumption	activities	mass	activities: mass
co-cathedral of the presentation of the blessed virgin mary	activities	tours	activities: tours
cathedral of faro	activities	attend mass	activities: attend mass
cathedral of faro	activities	take photos	activities: take photos
co-cathedral of the presentation of the blessed virgin mary	activities	worship	activities: worship
basilica of our lady of the assumption	activities	pilgrimage	activities: pilgrimage
our lady of the rosary cathedral, paraná	activities	exhibitions	activities: exhibitions
cathedral basilica of our lady of the assumption	activities	masses	activities: masses
our lady of the rosary cathedral, paraná	activities	tours	activities: tours
our lady of the rosary cathedral, paraná	activities	mass	activities: mass
cathedral basilica of our lady of the assumption	activities	tours	activities: tours
cathedral basilica of our lady of the assumption	activities	concerts	activities: concerts
cathedral of saint mary of the assumption (chur)	activities	tours	activities: tours
cathedral of faro	activities	visit	activities: visit
cathedral basilica of st. mary of the assumption	activities	concerts	activities: concerts
holy spirit cathedral, quetzaltenango	address	guatemala	address: guatemala
holy spirit cathedral, quetzaltenango	address	calle 1ra, quetzaltenango	address: calle 1ra, quetzaltenango
holy rosary cathedral	affiliation	roman catholic church	affiliation: roman catholic church
cathedral basilica of st. scholastica	affiliation	catholic church	affiliation: catholic church
cathedral basilica of st. scholastica	affiliation	archdiocese of milan	affiliation: archdiocese of milan
annunciation melkite catholic cathedral	affiliation	catholic church	affiliation: catholic church
annunciation melkite catholic cathedral	affiliation	melkite greek catholic church	affiliation: melkite greek catholic church
annunciation melkite catholic cathedral	affiliation	melkite greek catholic patriarchate	affiliation: melkite greek catholic patriarchate
holy rosary cathedral	affiliation	archdiocese of dublin	affiliation: archdiocese of dublin
lanusei cathedral	age	12th century	age: 12th century
camerino cathedral	age	14th century	age: 14th century
camerino cathedral	age	medieval	age: medieval
taranto cathedral	age	18th century	age: 18th century
dol cathedral	age	13th century	age: 13th century
taranto cathedral	age	12th century	age: 12th century
cesena cathedral	age	12th century	age: 12th century
cesena cathedral	age	13th century	age: 13th century
ventimiglia cathedral	age	medieval	age: medieval
ventimiglia cathedral	age	historic	age: historic
saint anne's cathedral, la pocatière	age	built in 1923	age: built in 1923
enda mariam coptic cathedral	age	historic	age: historic
enda mariam coptic cathedral	age	old	age: old
domkirche st. marien	age	middle ages	age: middle ages
lanusei cathedral	age	18th century	age: 18th century
vác cathedral	age	16th century	age: 16th century
kotor cathedral	age	12th century	age: 12th century
locri cathedral	age	medieval	age: medieval
cathedral of sassari	age	medieval	age: medieval
cathedral of sassari	age	12th century	age: 12th century
ariano irpino cathedral	age	17th century	age: 17th century
ariano irpino cathedral	age	12th century	age: 12th century
hvar cathedral	age	medieval	age: medieval
hvar cathedral	age	13th century	age: 13th century
sisak cathedral	age	restored in 19th century	age: restored in 19th century
verona cathedral	age	middle ages	age: middle ages
verona cathedral	age	12th century	age: 12th century
st. lambert's cathedral	age	12th century	age: 12th century
st. lambert's cathedral	age	11th century	age: 11th century
sisak cathedral	age	built in 12th century	age: built in 12th century
duomo di pennabilli	age	14th century	age: 14th century
duomo di pennabilli	age	12th century	age: 12th century
savona cathedral	age	15th century	age: 15th century
savona cathedral	age	12th century	age: 12th century
lucca cathedral	age	13th century	age: 13th century
lucca cathedral	age	12th century	age: 12th century
st. stephen's cathedral, passau	age	built in 12th century	age: built in 12th century
st. stephen's cathedral, passau	age	restored in 17th century	age: restored in 17th century
st. patrick's old cathedral	age	19th century	age: 19th century
st. martin's cathedral, bratislava	age	historic	age: historic
st. martin's cathedral, bratislava	age	medieval	age: medieval
st. john the baptist cathedral	age	12th century	age: 12th century
st. john the baptist cathedral	age	13th century	age: 13th century
domkirche st. marien	age	11th century	age: 11th century
kotor cathedral	age	medieval	age: medieval
st. george's cathedral, wiener neustadt	age	built in 12th century	age: built in 12th century
st. george's cathedral, wiener neustadt	age	restored in 19th century	age: restored in 19th century
locri cathedral	age	historic	age: historic
matera cathedral	age	12th century	age: 12th century
sospel cathedral	age	12th century	age: 12th century
lombez cathedral	age	13th century	age: 13th century
agde cathedral	age	middle ages	age: middle ages
saint-bertrand-de-comminges cathedral	age	12th century	age: 12th century
saint-bertrand-de-comminges cathedral	age	11th century	age: 11th century
sisak cathedral	age	12th century	age: 12th century
sisak cathedral	age	16th century	age: 16th century
avezzano cathedral	age	16th century	age: 16th century
santissimo salvatore cathedral	age	17th century	age: 17th century
santissimo salvatore cathedral	age	16th century	age: 16th century
saint sophia cathedral	age	11th century	age: 11th century
bazas cathedral	age	medieval	age: medieval
riga cathedral	age	13th century	age: 13th century
agde cathedral	age	12th century	age: 12th century
riga cathedral	age	14th century	age: 14th century
riga cathedral	age	15th century	age: 15th century
vigevano cathedral	age	14th century	age: 14th century
vigevano cathedral	age	15th century	age: 15th century
st. olav's cathedral, trondheim	age	13th century	age: 13th century
st. olav's cathedral, trondheim	age	11th century	age: 11th century
saint nicholas church feldkirch	age	historic	age: historic
cagliari cathedral	age	16th century	age: 16th century
cagliari cathedral	age	18th century	age: 18th century
porvoo cathedral	age	15th century	age: 15th century
albenga cathedral	age	12th century	age: 12th century
bazas cathedral	age	historic	age: historic
dol cathedral	age	15th century	age: 15th century
cathedral of notre-dame de quebec	age	over 300 years old	age: over 300 years old
transfiguration cathedral	age	historic	age: historic
chioggia cathedral	age	medieval	age: medieval
pula cathedral	age	17th century	age: 17th century
matera cathedral	age	11th century	age: 11th century
cuenca cathedral	age	historic	age: historic
cuenca cathedral	age	medieval	age: medieval
sospel cathedral	age	historic	age: historic
notre dame cathedral	age	850 years old	age: 850 years old
reggio emilia cathedral	age	11th century	age: 11th century
reggio emilia cathedral	age	12th century	age: 12th century
saint-pol-de-léon cathedral	age	built in 12th century	age: built in 12th century
saint-pol-de-léon cathedral	age	restored in 19th century	age: restored in 19th century
notre-dame cathedral	age	built in 12th century	age: built in 12th century
notre-dame cathedral	age	850 years old	age: 850 years old
grenoble cathedral	age	15th century	age: 15th century
