concept	facet	property	facet_property
duomo of san giorgio	access	walking	access: walking
duomo of san giorgio	access	public transportation	access: public transportation
duomo of san giorgio	access	boat ride	access: boat ride
igreja da sé	activities	mass	activities: mass
igreja da sé	activities	tourism	activities: tourism
igreja da sé	activities	worship	activities: worship
st. patrick's cathedral	activities	worship	activities: worship
st. patrick's cathedral	activities	tours	activities: tours
st. patrick's cathedral	activities	weddings	activities: weddings
st. patrick's cathedral	activities	funerals	activities: funerals
église des saints-archanges	address	75004 paris	address: 75004 paris
église des saints-archanges	address	rue des saints-archanges	address: rue des saints-archanges
st machar's cathedral	affiliation	presbyterian church	affiliation: presbyterian church
st machar's cathedral	affiliation	church of scotland	affiliation: church of scotland
cathedral basilica of st. cyriacus	age	medieval	age: medieval
cathedral of san giuliano	age	medieval	age: medieval
palermo cathedral	age	12th century	age: 12th century
saint-paul-trois-châteaux cathedral	age	13th century	age: 13th century
saint-paul-trois-châteaux cathedral	age	12th century	age: 12th century
cathedral basilica of st. cyriacus	age	renaissance era	age: renaissance era
saint-bertrand-de-comminges cathedral	age	middle ages	age: middle ages
former collegiate church of st. verena with church treasure	age	middle ages	age: middle ages
st andrews cathedral	age	historic	age: historic
cathedral building	age	modern	age: modern
cathedral building	age	ancient	age: ancient
cathedral building	age	medieval	age: medieval
lavaur cathedral	age	14th century	age: 14th century
cathedral of san giuliano	age	12th century	age: 12th century
cathedral basilica of st. cyriacus	age	12th century	age: 12th century
former collegiate church of st. verena with church treasure	age	medieval	age: medieval
palermo cathedral	age	13th century	age: 13th century
bazas cathedral	age	15th century	age: 15th century
trogir cathedral	age	13th century	age: 13th century
cathedral basilica of st. cyriacus	age	16th century	age: 16th century
palermo cathedral	age	18th century	age: 18th century
former collegiate church of st. verena with church treasure	age	historic	age: historic
église des saints-archanges	age	12th century	age: 12th century
église des saints-archanges	age	historic	age: historic
cuernavaca cathedral	age	historic	age: historic
cuernavaca cathedral	age	centuries old	age: centuries old
saint-bertrand-de-comminges cathedral	age	11th century	age: 11th century
saint-bertrand-de-comminges cathedral	age	12th century	age: 12th century
igreja da sé	age	13th century	age: 13th century
