concept	facet	property	facet_property
little fighter	abilities	telekinesis	abilities: telekinesis
archlord	abilities	magical powers	abilities: magical powers
archlord	abilities	strategic thinking	abilities: strategic thinking
archlord	abilities	leadership skills	abilities: leadership skills
archlord	abilities	physical strength	abilities: physical strength
archlord	abilities	strategic	abilities: strategic
archlord	abilities	strong leadership	abilities: strong leadership
archlord	abilities	inspirational	abilities: inspirational
little fighter	abilities	super speed	abilities: super speed
little fighter	abilities	healing	abilities: healing
archlord	abilities	strong magic	abilities: strong magic
archlord	abilities	military leadership	abilities: military leadership
heroes of newerth	abilities	shield	abilities: shield
heroes of newerth	abilities	heal	abilities: heal
archlord	abilities	tactical	abilities: tactical
archlord	abilities	skilled warrior	abilities: skilled warrior
heroes of newerth	abilities	attack	abilities: attack
archlord	abilities	leadership	abilities: leadership
archlord	abilities	physical	abilities: physical
archlord	abilities	magical	abilities: magical
little fighter	ability	quick reflexes	ability: quick reflexes
little fighter	ability	agility	ability: agility
little fighter	actions	defending	actions: defending
little fighter	actions	kicking	actions: kicking
little fighter	actions	punching	actions: punching
black mesa	activities	alien research	activities: alien research
black mesa	activities	experiments	activities: experiments
black mesa	activities	testing	activities: testing
aion	affects	air travel	affects: air travel
aion	affects	communication systems	affects: communication systems
aion	affects	satellites	affects: satellites
little fighter	age	child	age: child
little fighter	age	infant	age: infant
little fighter	age	young child	age: young child
little fighter	age	juvenile	age: juvenile
little fighter	age	young	age: young
terra	antonyms	air	antonyms: air
terra	antonyms	sky	antonyms: sky
terra	antonyms	sea	antonyms: sea
curiosity - what's inside the cube?	appeal	intriguing	appeal: intriguing
curiosity - what's inside the cube?	appeal	fascinating	appeal: fascinating
archlord	appearance	majestic presence	appearance: majestic presence
archlord	appearance	ornate armor	appearance: ornate armor
banana peel	appearance	curved	appearance: curved
nine dragons	appearance	dragon-like	appearance: dragon-like
archlord	appearance	regal attire	appearance: regal attire
banana peel	appearance	brown	appearance: brown
banana peel	appearance	thick	appearance: thick
aion	appears	at poles	appears: at poles
aion	appears	at equator	appears: at equator
aion	appears	during solar flares	appears: during solar flares
spectromancer	application	analyzing chemical composition	application: analyzing chemical composition
spectromancer	application	analyzing materials	application: analyzing materials
spectromancer	application	chemical analysis	application: chemical analysis
spectromancer	application	environmental monitoring	application: environmental monitoring
spectromancer	application	quality control	application: quality control
spectromancer	application	material analysis	application: material analysis
spectromancer	application	studying materials	application: studying materials
spectromancer	application	identifying molecules	application: identifying molecules
spectromancer	application	studying chemical reactions	application: studying chemical reactions
spectromancer	application	identifying biological samples	application: identifying biological samples
spectromancer	application	medical diagnosis	application: medical diagnosis
spectromancer	application	biological analysis	application: biological analysis
spectromancer	application	scientific research	application: scientific research
four-story	architecture	historic	architecture: historic
four-story	architecture	contemporary	architecture: contemporary
four-story	architecture	classical	architecture: classical
four-story	architecture	modern	architecture: modern
spectromancer	area of expertise	spectroscopy	area of expertise: spectroscopy
spectromancer	area of expertise	analytical chemistry	area of expertise: analytical chemistry
spectromancer	area of expertise	material science	area of expertise: material science
spectromancer	areas of application	materials science	areas of application: materials science
spectromancer	areas of application	environmental monitoring	areas of application: environmental monitoring
spectromancer	areas of application	biomedical research	areas of application: biomedical research
spectromancer	areas of expertise	materials science	areas of expertise: materials science
spectromancer	areas of expertise	biomedical research	areas of expertise: biomedical research
spectromancer	areas of expertise	astrophysics	areas of expertise: astrophysics
team fortress 2	art style	vibrant	art style: vibrant
team fortress 2	art style	humorous	art style: humorous
9dragons	art style	stylized	art style: stylized
team fortress 2	art style	vintage	art style: vintage
team fortress 2	art style	cartoonish	art style: cartoonish
the idolmaster cinderella girls	art style	detailed character designs	art style: detailed character designs
the idolmaster cinderella girls	art style	vibrant colors	art style: vibrant colors
the idolmaster cinderella girls	art style	cute anime-inspired	art style: cute anime-inspired
team fortress 2	art style	stylized	art style: stylized
team fortress 2	art style	comical	art style: comical
9dragons	art style	watercolor-inspired	art style: watercolor-inspired
silkroad online	associated with	organized crime	associated with: organized crime
silkroad online	associated with	cybercrime	associated with: cybercrime
banana peel	associated with	garden waste	associated with: garden waste
banana peel	associated with	ecological cycle	associated with: ecological cycle
black mesa	associated with	early american settlers	associated with: early american settlers
terra	associated with	ecology	associated with: ecology
terra	associated with	nature	associated with: nature
terra	associated with	environment	associated with: environment
banana peel	associated with	banana fruit	associated with: banana fruit
black mesa	associated with	native american tribes	associated with: native american tribes
terra	astronomical	revolution around sun	astronomical: revolution around sun
aion	astronomical	thin	astronomical: thin
aion	astronomical	outermost	astronomical: outermost
terra	astronomical	orbital period	astronomical: orbital period
aion	astronomical	atmosphere	astronomical: atmosphere
terra	astronomical term	terrestrial orbit	astronomical term: terrestrial orbit
terra	astronomical term	terrestrial gravity	astronomical term: terrestrial gravity
terra	astronomical term	terrestrial planet	astronomical term: terrestrial planet
terra	atmosphere	nitrogen-rich	atmosphere: nitrogen-rich
terra	atmosphere	oxygen-rich	atmosphere: oxygen-rich
aion	atomic mass	not fixed	atomic mass: not fixed
aion	atomic number	79	atomic number: 79
archlord	attributes	wise	attributes: wise
archlord	attributes	cunning	attributes: cunning
archlord	attributes	charismatic	attributes: charismatic
archlord	attributes	brave	attributes: brave
archlord	attributes	strong	attributes: strong
archlord	attributes	intelligence	attributes: intelligence
archlord	attributes	compassionate	attributes: compassionate
archlord	attributes	ambitious	attributes: ambitious
little fighter	attributes	agility	attributes: agility
archlord	attributes	powerful	attributes: powerful
little fighter	attributes	determination	attributes: determination
archlord	attributes	strength	attributes: strength
little fighter	attributes	endurance	attributes: endurance
archlord	attributes	intelligent	attributes: intelligent
archlord	attributes	magic	attributes: magic
apb	audience	law enforcement	audience: law enforcement
story	audience	adults	audience: adults
story	audience	general public	audience: general public
apb	audience	emergency responders	audience: emergency responders
story	audience	children	audience: children
apb	audience	public	audience: public
runescape	audience	young adults	audience: young adults
runescape	audience	gamers	audience: gamers
bad piggies	available on	ios	available on: ios
heroes of newerth	available on	pc	available on: pc
battlefield online	available on	origin	available on: origin
bad piggies	available on	consoles	available on: consoles
bad piggies	available on	app store	available on: app store
bad piggies	available on	google play	available on: google play
bad piggies	available on	pc	available on: pc
heroes of newerth	available on	macos	available on: macos
bad piggies	available on	android	available on: android
bad piggies	available on	mobile devices	available on: mobile devices
battlefield online	available on	steam	available on: steam
9 dragons	awards	nominated for awards	awards: nominated for awards
grand theft auto: chinatown wars	awards	gamespot	awards: gamespot
grand theft auto: chinatown wars	awards	ign	awards: ign
grand theft auto: chinatown wars	awards	bafta	awards: bafta
9 dragons	awards	won awards	awards: won awards
archlord	background	history	background: history
archlord	background	fictional	background: fictional
archlord	background	legendary	background: legendary
archlord	background	historical	background: historical
