concept	facet	property	facet_property
sonic the hedgehog	abilities	ring manipulation	abilities: ring manipulation
mysims agents	abilities	investigating	abilities: investigating
mysims agents	abilities	solving puzzles	abilities: solving puzzles
tron	abilities	memory	abilities: memory
tron	abilities	fast processing	abilities: fast processing
tron	abilities	supercomputer-like	abilities: supercomputer-like
3d dot game heroes	abilities	dodging	abilities: dodging
tron	abilities	flight	abilities: flight
3d dot game heroes	abilities	collecting power-ups	abilities: collecting power-ups
star wars bounty hunter	abilities	skilled in combat	abilities: skilled in combat
tomb raider	abilities	puzzle-solving	abilities: puzzle-solving
tomb raider	abilities	fencing	abilities: fencing
tomb raider	abilities	shooting	abilities: shooting
tomb raider	abilities	athletic	abilities: athletic
tomb raider	abilities	intelligent	abilities: intelligent
star wars bounty hunter	abilities	expert in tracking	abilities: expert in tracking
tomb raider	abilities	resourceful	abilities: resourceful
tron	abilities	energy manipulation	abilities: energy manipulation
3d dot game heroes	abilities	rotating	abilities: rotating
3d dot game heroes	abilities	shooting	abilities: shooting
robin hood: the legend of sherwood	abilities	quick wit	abilities: quick wit
robin hood: the legend of sherwood	abilities	skilled swordsman	abilities: skilled swordsman
robin hood: the legend of sherwood	abilities	excellent archer	abilities: excellent archer
bionic commando	abilities	super strength	abilities: super strength
bionic commando	abilities	flight	abilities: flight
tron	abilities	super intelligence	abilities: super intelligence
bionic commando	abilities	invisibility	abilities: invisibility
prisoner of ice	abilities	adventurous	abilities: adventurous
prisoner of ice	abilities	resourceful	abilities: resourceful
star wars: the clone wars – republic heroes	abilities	commanding skills	abilities: commanding skills
star wars: the clone wars – republic heroes	abilities	force abilities	abilities: force abilities
3d dot game heroes	abilities	collecting	abilities: collecting
3d dot game heroes	abilities	jumping	abilities: jumping
prisoner of ice	abilities	knows about mountains	abilities: knows about mountains
star wars: bounty hunter	abilities	expert marksmanship	abilities: expert marksmanship
star wars: bounty hunter	abilities	high-tech equipment	abilities: high-tech equipment
star wars: bounty hunter	abilities	strong physical combat	abilities: strong physical combat
tomb raider	abilities	bow	abilities: bow
tomb raider	abilities	pistol	abilities: pistol
prisoner of ice	abilities	fighting skills	abilities: fighting skills
elsword	abilities	heals	abilities: heals
elsword	abilities	defends	abilities: defends
elsword	abilities	attacks	abilities: attacks
tomb raider	abilities	exploration	abilities: exploration
3d dot game heroes	abilities	agility	abilities: agility
3d dot game heroes	abilities	super strength	abilities: super strength
prisoner of ice	abilities	resilient	abilities: resilient
prisoner of ice	abilities	strong	abilities: strong
tron	abilities	can be reprogrammed	abilities: can be reprogrammed
tron	abilities	can be deleted	abilities: can be deleted
tron	abilities	can be copied	abilities: can be copied
3d dot game heroes	abilities	speed	abilities: speed
bionic commando	abilities	night vision	abilities: night vision
bionic commando	abilities	agility	abilities: agility
sonic the hedgehog	abilities	super speed	abilities: super speed
star wars: the clone wars – republic heroes	abilities	strategic leadership	abilities: strategic leadership
star wars: the clone wars – republic heroes	abilities	lightsaber combat	abilities: lightsaber combat
star wars: the clone wars – republic heroes	abilities	force powers	abilities: force powers
bionic commando	abilities	strategic thinking	abilities: strategic thinking
bionic commando	abilities	marksmanship	abilities: marksmanship
bionic commando	abilities	hand-to-hand combat	abilities: hand-to-hand combat
star wars: the clone wars – republic heroes	abilities	skilled in lightsaber combat	abilities: skilled in lightsaber combat
star wars: the clone wars – republic heroes	abilities	strong in the force	abilities: strong in the force
star wars: the clone wars – republic heroes	abilities	strategically gifted	abilities: strategically gifted
bionic commando	abilities	ability to hack technology	abilities: ability to hack technology
bionic commando	abilities	superhuman endurance	abilities: superhuman endurance
bionic commando	abilities	ability to use advanced gadgets	abilities: ability to use advanced gadgets
bionic commando	abilities	superhuman strength	abilities: superhuman strength
sonic the hedgehog	abilities	flight	abilities: flight
sonic the hedgehog	abilities	spin attack	abilities: spin attack
bionic commando	abilities	super agility	abilities: super agility
bionic commando	abilities	super speed	abilities: super speed
