concept	facet	property	facet_property
elsword	abilities	super strength	abilities: super strength
elsword	abilities	sword skills	abilities: sword skills
elsword	abilities	magic	abilities: magic
elsword	abilities	sword fighting	abilities: sword fighting
elsword	abilities	magic spells	abilities: magic spells
hattrick	achievement	scoring three goals	achievement: scoring three goals
ace online	achievement	difficult to attain	achievement: difficult to attain
hattrick	achievement	making three goals	achievement: making three goals
hattrick	achievement	source of pride	achievement: source of pride
ace online	achievement	bragging rights	achievement: bragging rights
ace online	achievement	prize	achievement: prize
ace online	achievement	reward	achievement: reward
hattrick	achievement	scoring three goals in a single game	achievement: scoring three goals in a single game
hattrick	achievement	game-changing	achievement: game-changing
hattrick	achievement	consecutive goals	achievement: consecutive goals
ace online	achievement	requires skill and practice	achievement: requires skill and practice
hattrick	achievement	scoring three wickets	achievement: scoring three wickets
hattrick	achievement	remarkable feat	achievement: remarkable feat
hattrick	achievement	difficult to achieve	achievement: difficult to achieve
ace online	achievement	getting high score	achievement: getting high score
ace online	achievement	winning tournament	achievement: winning tournament
hattrick	achievement	rare and prestigious	achievement: rare and prestigious
hattrick	achievement	rare	achievement: rare
hattrick	achievement	accomplishing three goals	achievement: accomplishing three goals
hattrick	achievement	prized possession	achievement: prized possession
ace online	achievement	reaching top level	achievement: reaching top level
ace online	achievement level	beginner	achievement level: beginner
ace online	achievement level	master	achievement level: master
ace online	achievement level	expert	achievement level: expert
catherine	achievements	promoted arts and culture	achievements: promoted arts and culture
catherine	achievements	expanded russian empire	achievements: expanded russian empire
catherine	achievements	expansion of russian empire	achievements: expansion of russian empire
catherine	achievements	reformer	achievements: reformer
catherine	achievements	cultural advancements	achievements: cultural advancements
catherine	achievements	education	achievements: education
catherine	achievements	cultural patron	achievements: cultural patron
catherine	achievements	conqueror	achievements: conqueror
catherine	achievements	expansion of russia	achievements: expansion of russia
catherine	achievements	founding hospitals	achievements: founding hospitals
catherine	achievements	being a patron of arts	achievements: being a patron of arts
catherine	achievements	helping people	achievements: helping people
catherine	achievements	reforms	achievements: reforms
