concept	facet	property	facet_property
bounty hunter	abilities	skilled in combat	abilities: skilled in combat
prisoner of ice	abilities	skilled in combat	abilities: skilled in combat
bionic commando	abilities	super speed	abilities: super speed
prisoner of ice	abilities	regeneration	abilities: regeneration
man	abilities	thinks	abilities: thinks
man	abilities	runs	abilities: runs
man	abilities	walks	abilities: walks
star wars: the clone wars – republic heroes	abilities	lightsaber combat	abilities: lightsaber combat
star wars: the clone wars – republic heroes	abilities	force powers	abilities: force powers
human	abilities	can communicate	abilities: can communicate
prisoner of ice	abilities	strong	abilities: strong
bionic commando	abilities	healing factor	abilities: healing factor
human	abilities	can think	abilities: can think
bionic commando	abilities	agility	abilities: agility
human	abilities	can talk	abilities: can talk
human	abilities	can walk	abilities: can walk
zorro	abilities	skilled swordsman	abilities: skilled swordsman
zorro	abilities	quick wit	abilities: quick wit
space invaders	abilities	shooting	abilities: shooting
007 legends	abilities	fighting skills	abilities: fighting skills
star wars: the clone wars – republic heroes	abilities	strategic leadership	abilities: strategic leadership
human	abilities	can create	abilities: can create
007 legends	abilities	gadget expertise	abilities: gadget expertise
3d dot game heroes	abilities	jumping	abilities: jumping
3d dot game heroes	abilities	collecting	abilities: collecting
tomb raider	abilities	skilled in combat	abilities: skilled in combat
tomb raider	abilities	intelligent	abilities: intelligent
tomb raider	abilities	athletic	abilities: athletic
tomb raider	abilities	puzzle-solving	abilities: puzzle-solving
tomb raider	abilities	jumping	abilities: jumping
tomb raider	abilities	climbing	abilities: climbing
bionic commando	abilities	flight	abilities: flight
donkey kong	abilities	throwing barrels	abilities: throwing barrels
sonic the hedgehog	abilities	ring throwing	abilities: ring throwing
3d dot game heroes	abilities	shooting	abilities: shooting
sonic the hedgehog	abilities	ring collection	abilities: ring collection
bionic commando	abilities	enhanced agility	abilities: enhanced agility
bionic commando	abilities	night vision	abilities: night vision
prisoner of ice	abilities	frost manipulation	abilities: frost manipulation
prisoner of ice	abilities	magic	abilities: magic
space invaders	abilities	flying	abilities: flying
tomb raider	abilities	fencing	abilities: fencing
tomb raider	abilities	shooting	abilities: shooting
star wars: the clone wars – republic heroes	abilities	force-sensitive	abilities: force-sensitive
star wars: the clone wars – republic heroes	abilities	skilled warriors	abilities: skilled warriors
bionic commando	abilities	super strength	abilities: super strength
007 legends	abilities	diplomatic skills	abilities: diplomatic skills
bionic commando	abilities	superhuman strength	abilities: superhuman strength
007 legends	abilities	resourceful	abilities: resourceful
star wars: bounty hunter	abilities	strong	abilities: strong
tomb raider	abilities	resourceful	abilities: resourceful
donkey kong	abilities	strong	abilities: strong
star wars: the clone wars – republic heroes	abilities	cloning technology	abilities: cloning technology
donkey kong	abilities	climbing	abilities: climbing
donkey kong	abilities	jumping	abilities: jumping
bounty hunter	abilities	resourceful	abilities: resourceful
prisoner of ice	abilities	superhuman strength	abilities: superhuman strength
bounty hunter	abilities	persistent	abilities: persistent
007 legends	abilities	wits	abilities: wits
bionic commando	abilities	super hearing	abilities: super hearing
prisoner of ice	abilities	endurance	abilities: endurance
prisoner of ice	abilities	invulnerability	abilities: invulnerability
bionic commando	abilities	super vision	abilities: super vision
james bond	abilities	skilled fighter	abilities: skilled fighter
james bond	abilities	expert driver	abilities: expert driver
james bond	abilities	genius strategist	abilities: genius strategist
star wars: bounty hunter	abilities	agile	abilities: agile
bionic commando	abilities	invisibility	abilities: invisibility
bionic commando	abilities	gadgets	abilities: gadgets
sonic the hedgehog	abilities	super speed	abilities: super speed
sonic the hedgehog	abilities	spin attack	abilities: spin attack
007 legends	abilities	sophisticated	abilities: sophisticated
star wars: bounty hunter	abilities	smart	abilities: smart
007 legends	abilities	skilled fighter	abilities: skilled fighter
bionic commando	ability	fighting	ability: fighting
tomb raider	ability	puzzle-solving	ability: puzzle-solving
tomb raider	ability	shooting	ability: shooting
tomb raider	ability	fencing	ability: fencing
dig dug	ability	speed	ability: speed
bionic commando	ability	solving puzzles	ability: solving puzzles
bionic commando	ability	exploring	ability: exploring
sonic the hedgehog	ability	super speed	ability: super speed
sonic the hedgehog	ability	ring collection	ability: ring collection
dig dug	ability	spinning	ability: spinning
yager	abv	6-8%	abv: 6-8%
state of decay	accelerators	moisture	accelerators: moisture
state of decay	accelerators	oxygen	accelerators: oxygen
state of decay	accelerators	heat	accelerators: heat
another world	access	dreams	access: dreams
another world	access	magic	access: magic
another world	access	through portal	access: through portal
afterlife	access	faith	access: faith
another world	access	through wormhole	access: through wormhole
afterlife	access	through good deeds	access: through good deeds
afterlife	access	good deeds	access: good deeds
another world	access	requires special technology	access: requires special technology
another world	access	unreachable	access: unreachable
nether	access	explosive	access: explosive
nether	access	minecart	access: minecart
nether	access	portal	access: portal
afterlife	access	rituals	access: rituals
another world	access	not accessible	access: not accessible
another world	access	requires imagination	access: requires imagination
another world	access	wormhole	access: wormhole
another world	access	astral projection	access: astral projection
afterlife	access	prayer	access: prayer
another world	access	via magical portal	access: via magical portal
nether earth	access	digging	access: digging
another world	access	portal	access: portal
another world	access	by teleportation	access: by teleportation
afterlife	access	prayers	access: prayers
afterlife	access	by good deeds	access: by good deeds
another world	access	impossible	access: impossible
nether earth	access	portal	access: portal
another world	access	through wormholes	access: through wormholes
nether earth	access	minecart	access: minecart
afterlife	access	after death	access: after death
another world	access	through black holes	access: through black holes
afterlife	access	through rituals	access: through rituals
elite	access to	exclusive events	access to: exclusive events
elite	access to	luxurious lifestyle	access to: luxurious lifestyle
elite	access to	networking opportunities	access to: networking opportunities
memories of the past (yubikiri no kioku)	accessibility	difficult to recall	accessibility: difficult to recall
memories of the past (yubikiri no kioku)	accessibility	hard to forget	accessibility: hard to forget
nether earth	accessibility	requires digging	accessibility: requires digging
another world	accessibility	through portal	accessibility: through portal
another world	accessibility	through wormhole	accessibility: through wormhole
another world	accessibility	impossible	accessibility: impossible
another world	accessibility	requires travel	accessibility: requires travel
another world	accessibility	unknown	accessibility: unknown
another world	accessibility	requires technology	accessibility: requires technology
another world	accessibility	not accessible	accessibility: not accessible
another world	accessibility	through imagination	accessibility: through imagination
nether earth	accessibility	difficult	accessibility: difficult
the legend of zelda: ocarina of time	acclaim	critical acclaim	acclaim: critical acclaim
the legend of zelda: ocarina of time	acclaim	commercial success	acclaim: commercial success
catherine	accomplishments	expansion of russian empire	accomplishments: expansion of russian empire
catherine	accomplishments	patron of arts and culture	accomplishments: patron of arts and culture
elite	achieved through	natural talent	achieved through: natural talent
elite	achieved through	education	achieved through: education
elite	achieved through	hard work	achieved through: hard work
perfect dark zero	achievement	difficult to achieve	achievement: difficult to achieve
catherine	achievement	reformed education system	achievement: reformed education system
10th frame	achievement	spare	achievement: spare
10th frame	achievement	perfect game	achievement: perfect game
10th frame	achievement	strike	achievement: strike
perfect dark zero	achievement	rare	achievement: rare
catherine	achievement	expansion of russian empire	achievement: expansion of russian empire
catherine	achievement	promoted arts and culture	achievement: promoted arts and culture
king of swing	achievement	recorded 60 home runs in a single season	achievement: recorded 60 home runs in a single season
civilization	achievements	artistic creations	achievements: artistic creations
civilization	achievements	technological advancements	achievements: technological advancements
bc racers	achievements	world cup wins	achievements: world cup wins
civilization	achievements	discovery	achievements: discovery
civilization	achievements	scientific breakthrough	achievements: scientific breakthrough
king of swing	achievements	world series championships	achievements: world series championships
king of swing	achievements	iconic figure	achievements: iconic figure
elite	achievements	awards	achievements: awards
elite	achievements	recognition	achievements: recognition
elite	achievements	success	achievements: success
elite	achievements	successful career	achievements: successful career
bc racers	achievements	olympic medals	achievements: olympic medals
civilization	achievements	discovering electricity	achievements: discovering electricity
f1 hero md	achievements	longest title streak	achievements: longest title streak
king of swing	achievements	world series champion	achievements: world series champion
king of swing	achievements	home run record	achievements: home run record
elite	achievements	high achievements	achievements: high achievements
f-1 hero md	achievements	fastest laps	achievements: fastest laps
f1 hero md	achievements	most wins	achievements: most wins
f-1 hero md	achievements	podium finishes	achievements: podium finishes
f-1 hero md	achievements	racing wins	achievements: racing wins
f1 hero md	achievements	world champion	achievements: world champion
civilization	achievements	space exploration	achievements: space exploration
civilization	achievements	development of writing	achievements: development of writing
civilization	achievements	invention of wheel	achievements: invention of wheel
bc racers	achievements	multiple championships	achievements: multiple championships
civilization	achievements	scientific discoveries	achievements: scientific discoveries
elite	achievements	ground-breaking	achievements: ground-breaking
civilization	achievements	invention	achievements: invention
civilization	achievements	developing internet	achievements: developing internet
elite	achievements	outstanding	achievements: outstanding
elite	achievements	exceptional	achievements: exceptional
king of swing	achievements	mvp	achievements: mvp
elite	achievements	exemplary	achievements: exemplary
civilization	achievements	scientific	achievements: scientific
civilization	achievements	art	achievements: art
civilization	achievements	science	achievements: science
civilization	achievements	artistic	achievements: artistic
civilization	achievements	architecture	achievements: architecture
civilization	achievements	architectural	achievements: architectural
civilization	achievements	inventions	achievements: inventions
elite	achievements	rewards	achievements: rewards
civilization	achievements	discoveries	achievements: discoveries
civilization	achievements	buildings	achievements: buildings
elite	achievements	accomplished	achievements: accomplished
civilization	achievements	laws	achievements: laws
elite	achievements	highly successful	achievements: highly successful
ballblazer	achievements	mvp	achievements: mvp
ballblazer	achievements	championship	achievements: championship
elite	achievements	award-winning	achievements: award-winning
elite	achievements	record-breaking	achievements: record-breaking
elite	achievements	records	achievements: records
king of swing	achievements	iconic figure in baseball	achievements: iconic figure in baseball
king of swing	achievements	highest batting average	achievements: highest batting average
king of swing	achievements	most home runs	achievements: most home runs
ballblazer	achievements	all-star	achievements: all-star
civilization	achievements	building pyramids	achievements: building pyramids
elite	achievements	recognized	achievements: recognized
king of swing	achievements	home runs	achievements: home runs
f-1 hero md	achievements	multiple championships	achievements: multiple championships
a.r.e.s. extinction agenda	achievements	species conservation	achievements: species conservation
a.r.e.s. extinction agenda	achievements	habitat restoration	achievements: habitat restoration
a.r.e.s. extinction agenda	achievements	reducing pollution	achievements: reducing pollution
a.r.e.s. extinction agenda	achievements	protecting habitats	achievements: protecting habitats
bc racers	achievements	multiple tour de france victories	achievements: multiple tour de france victories
bc racers	achievements	multiple giro d'italia victories	achievements: multiple giro d'italia victories
elite	achievements	outstanding performance	achievements: outstanding performance
catherine	achievements	promotion of arts and culture	achievements: promotion of arts and culture
catherine	achievements	expansion of russian empire	achievements: expansion of russian empire
catherine	achievements	reforms	achievements: reforms
a.r.e.s. extinction agenda	achievements	raising awareness	achievements: raising awareness
catherine	achievements	expansion of empire	achievements: expansion of empire
elite	achievements	trophies	achievements: trophies
catherine	achievements	cultural achievements	achievements: cultural achievements
stranglehold	action	suffocate	action: suffocate
stranglehold	action	choke	action: choke
stranglehold	action	constrict	action: constrict
need for speed: the run	action elements	explosions	action elements: explosions
need for speed: the run	action elements	gunfights	action elements: gunfights
need for speed: the run	action elements	high-speed driving	action elements: high-speed driving
g.i. joe: the rise of cobra	action scenes	explosions	action scenes: explosions
need for speed: the run	action scenes	explosions	action scenes: explosions
need for speed: the run	action scenes	high-speed chases	action scenes: high-speed chases
g.i. joe: the rise of cobra	action scenes	fights	action scenes: fights
g.i. joe: the rise of cobra	action scenes	car chases	action scenes: car chases
need for speed: the run	action scenes	tire smoke	action scenes: tire smoke
1080° snowboarding	action sport	adrenaline-rushing	action sport: adrenaline-rushing
1080° snowboarding	action sport	adrenaline rush	action sport: adrenaline rush
1080° snowboarding	action sport	extreme	action sport: extreme
1080° snowboarding	action sport	adrenaline-fueled	action sport: adrenaline-fueled
1080° snowboarding	action sport	thrilling	action sport: thrilling
1080° snowboarding	action sport	requires skill	action sport: requires skill
prisoner of ice	actions	finds clues	actions: finds clues
cabal	actions	hiding	actions: hiding
zorro	actions	thief	actions: thief
hour of victory	actions	celebrating	actions: celebrating
zorro	actions	villain	actions: villain
zorro	actions	hero	actions: hero
zorro	actions	betraying	actions: betraying
f1 hero md	actions	racing	actions: racing
tomb raider	actions	fighting	actions: fighting
cabal	actions	manipulating	actions: manipulating
tomb raider	actions	avoiding traps	actions: avoiding traps
f1 hero md	actions	overtaking	actions: overtaking
zorro	actions	outwits enemies	actions: outwits enemies
