concept	facet	property	facet_property
007 legends	abilities	highly intelligent	abilities: highly intelligent
legend of kay	abilities	beautiful singing	abilities: beautiful singing
legend of kay	abilities	healing powers	abilities: healing powers
007 legends	abilities	hand-to-hand combat	abilities: hand-to-hand combat
granado espada	abilities	elemental attacks	abilities: elemental attacks
granado espada	abilities	magic spells	abilities: magic spells
granado espada	abilities	healing magic	abilities: healing magic
007 legends	abilities	skill with guns	abilities: skill with guns
007 legends	abilities	skilled in hand-to-hand combat	abilities: skilled in hand-to-hand combat
007 legends	abilities	expert marksmanship	abilities: expert marksmanship
007 legends	abilities	skilled in combat	abilities: skilled in combat
007 legends	abilities	proficient in espionage	abilities: proficient in espionage
007 legends	abilities	licensed to kill	abilities: licensed to kill
007 legends	abilities	genius strategist	abilities: genius strategist
007 legends	abilities	expert marksman	abilities: expert marksman
007 legends	abilities	skilled fighter	abilities: skilled fighter
007 legends	abilities	quick wit	abilities: quick wit
postal service	accessibility	available in most countries	accessibility: available in most countries
postal service	accessibility	available worldwide	accessibility: available worldwide
postal service	accessibility	online tracking	accessibility: online tracking
tribe ascend	achievements	awarded by tencent	achievements: awarded by tencent
tribe ascend	achievements	recognized globally	achievements: recognized globally
fate/unlimited codes	acquisition	purchase	acquisition: purchase
fate/unlimited codes	acquisition	earned through gameplay	acquisition: earned through gameplay
fate/unlimited codes	acquisition	purchase with real money	acquisition: purchase with real money
fate/unlimited codes	acquisition	gift	acquisition: gift
fate/unlimited codes	acquisition	purchased with real money	acquisition: purchased with real money
fate/unlimited codes	acquisition	randomly generated	acquisition: randomly generated
fate/unlimited codes	acquisition	obtained through gameplay	acquisition: obtained through gameplay
fate/unlimited codes	acquisition	reward	acquisition: reward
fate/unlimited codes	acquisition method	purchase with real money	acquisition method: purchase with real money
fate/unlimited codes	acquisition method	buy with in-game currency	acquisition method: buy with in-game currency
fate/unlimited codes	acquisition method	purchase	acquisition method: purchase
fate/unlimited codes	acquisition method	buy from online store	acquisition method: buy from online store
fate/unlimited codes	acquisition method	earn through gameplay	acquisition method: earn through gameplay
alpha protocol	action elements	explosions	action elements: explosions
alpha protocol	action elements	hand-to-hand combat	action elements: hand-to-hand combat
g.i. joe: the rise of cobra	action elements	explosions	action elements: explosions
g.i. joe: the rise of cobra	action elements	chases	action elements: chases
g.i. joe: the rise of cobra	action elements	fights	action elements: fights
alpha protocol	action elements	gunfights	action elements: gunfights
robin hood: the legend of sherwood	actions	fighting with authority	actions: fighting with authority
hour of victory	actions	hugging	actions: hugging
too human	actions	insensitive	actions: insensitive
hour of victory	actions	raising arms	actions: raising arms
hour of victory	actions	cheering	actions: cheering
too human	actions	rude	actions: rude
robin hood: the legend of sherwood	actions	stealing from nobles	actions: stealing from nobles
robin hood: the legend of sherwood	actions	fighting with normans	actions: fighting with normans
robin hood: the legend of sherwood	actions	giving to poor	actions: giving to poor
robin hood: the legend of sherwood	actions	stealing from rich	actions: stealing from rich
too human	actions	disrespectful	actions: disrespectful
robin hood: the legend of sherwood	actions	fighting with little john	actions: fighting with little john
human	activities	play	activities: play
homefront	activities	relaxing	activities: relaxing
homefront	activities	entertainment	activities: entertainment
human	activities	work	activities: work
human	activities	relaxation	activities: relaxation
homefront	activities	socializing	activities: socializing
homefront	activities	cooking	activities: cooking
robin hood: the legend of sherwood	activities	stealing from rich	activities: stealing from rich
homefront	activities	cleaning	activities: cleaning
homefront	activities	entertaining	activities: entertaining
robin hood: the legend of sherwood	activities	fighting against injustice	activities: fighting against injustice
homefront	activities	recreation	activities: recreation
robin hood: the legend of sherwood	activities	giving to poor	activities: giving to poor
robin hood: the legend of sherwood	activities	fighting with little john	activities: fighting with little john
human	activities	communication	activities: communication
007 legends	actor	roger moore	actor: roger moore
007 legends	actor	daniel craig	actor: daniel craig
007 legends	actor	sean connery	actor: sean connery
james bond	actor	roger moore	actor: roger moore
james bond	actor	daniel craig	actor: daniel craig
james bond	actor	sean connery	actor: sean connery
007 legends	actors	timothy dalton	actors: timothy dalton
g.i. joe: the rise of cobra	actors	sienna miller	actors: sienna miller
james bond	actors	sean connery	actors: sean connery
g.i. joe: the rise of cobra	actors	joseph gordon-levitt	actors: joseph gordon-levitt
g.i. joe: the rise of cobra	actors	channing tatum	actors: channing tatum
james bond	actors	pierce brosnan	actors: pierce brosnan
alpha protocol	actors	cameron diaz	actors: cameron diaz
alpha protocol	actors	ralph fiennes	actors: ralph fiennes
007 legends	actors	roger moore	actors: roger moore
007 legends	actors	sean connery	actors: sean connery
alpha protocol	actors	cary elwes	actors: cary elwes
007 legends	actors	pierce brosnan	actors: pierce brosnan
james bond	actors	daniel craig	actors: daniel craig
007 legends	actors	daniel craig	actors: daniel craig
james bond	actors	roger moore	actors: roger moore
game of thrones	adaptation	tv series by hbo	adaptation: tv series by hbo
game of thrones	adaptation	books	adaptation: books
game of thrones	adaptation	tv series	adaptation: tv series
game of thrones	adaptation	book series by george r.r. martin	adaptation: book series by george r.r. martin
alpha protocol	adaptation	screenplay by tony gilroy	adaptation: screenplay by tony gilroy
alpha protocol	adaptation	produced by frank marshall	adaptation: produced by frank marshall
legend of kay	adaptations	opera	adaptations: opera
alpha protocol	adaptations	movie	adaptations: movie
legend of kay	adaptations	play	adaptations: play
alpha protocol	adaptations	book series	adaptations: book series
legend of kay	adaptations	novel	adaptations: novel
the witcher	adaptations	movies	adaptations: movies
the witcher	adaptations	tv series	adaptations: tv series
the witcher	adaptations	video game	adaptations: video game
the witcher	adaptations	book series	adaptations: book series
game of thrones	adaptations	books	adaptations: books
game of thrones	adaptations	tv series	adaptations: tv series
3d construction kit	age range	professional	age range: professional
3d construction kit	age range	children	age range: children
3d construction kit	age range	adults	age range: adults
rise of the argonauts	allies	argonauts	allies: argonauts
rise of the argonauts	allies	argo	allies: argo
rise of the argonauts	ancient greece	mythological story	ancient greece: mythological story
rise of the argonauts	ancient greece	heroic journey	ancient greece: heroic journey
rise of the argonauts	ancient greece	quest for golden fleece	ancient greece: quest for golden fleece
trine	angle	120 degrees	angle: 120 degrees
turkey	animal	large	animal: large
turkey	animal	domesticated	animal: domesticated
turkey	animal	bird	animal: bird
sly cooper and the thievius raccoonus	antagonist	robotic	antagonist: robotic
sly cooper and the thievius raccoonus	antagonist	evil	antagonist: evil
sly cooper and the thievius raccoonus	antagonist	a villain	antagonist: a villain
sly cooper and the thievius raccoonus	antagonist	clockwork king	antagonist: clockwork king
sly cooper and the thievius raccoonus	antagonist	floyd	antagonist: floyd
sly cooper and the thievius raccoonus	antagonist	henchmen	antagonist: henchmen
sly cooper and the thievius raccoonus	antagonist	clockwork	antagonist: clockwork
sly cooper and the thievius raccoonus	antagonist	a villainous character	antagonist: a villainous character
batman: arkham city	antagonist	the joker	antagonist: the joker
sly cooper and the thievius raccoonus	antagonist	claw	antagonist: claw
batman: arkham city	antagonist	the riddler	antagonist: the riddler
terra	antonyms	sky	antonyms: sky
terra	antonyms	space	antonyms: space
terra	antonyms	sea	antonyms: sea
legendary	appeal	captivating audience	appeal: captivating audience
legendary	appeal	evoking emotions	appeal: evoking emotions
legendary	appeal	inspiring imagination	appeal: inspiring imagination
legendary	appeal	evokes wonder	appeal: evokes wonder
legendary	appeal	attracts attention	appeal: attracts attention
