concept	facet	property	facet_property
star wars: the empire strikes back	actors	mark hamill	actors: mark hamill
star wars: the empire strikes back	actors	harrison ford	actors: harrison ford
star wars: the empire strikes back	actors	carrie fisher	actors: carrie fisher
star wars: x-wing vs. tie fighter	aircraft	fighter	aircraft: fighter
star wars: x-wing	aircraft	fighter	aircraft: fighter
star wars: x-wing vs. tie fighter	aircraft	starfighter	aircraft: starfighter
star wars: x-wing vs. tie fighter	aircraft	fighter jet	aircraft: fighter jet
star wars: x-wing vs. tie fighter	aircraft	high-tech	aircraft: high-tech
star wars: x-wing	aircraft	spacecraft	aircraft: spacecraft
star wars: x-wing vs. tie fighter	aircraft	spacecraft	aircraft: spacecraft
star wars: x-wing	aircraft	fast	aircraft: fast
star wars: x-wing vs. tie fighter	appearance	x-wing: wing-shaped	appearance: x-wing: wing-shaped
star wars: x-wing	appearance	silver	appearance: silver
star wars: x-wing	appearance	red	appearance: red
star wars: x-wing vs. tie fighter	appearance	shiny	appearance: shiny
star wars: x-wing vs. tie fighter	appearance	scaly	appearance: scaly
star wars: x-wing vs. tie fighter	appearance	tie fighter: no wings	appearance: tie fighter: no wings
star wars: x-wing vs. tie fighter	appearance	tie fighter: spherical	appearance: tie fighter: spherical
star wars: x-wing	appearances	tv shows	appearances: tv shows
star wars: x-wing	appearances	star wars films	appearances: star wars films
star wars: x-wing	appearances	video games	appearances: video games
star wars: x-wing	armament	laser cannons	armament: laser cannons
star wars: x-wing	armament	proton torpedoes	armament: proton torpedoes
star wars: x-wing vs. tie fighter	armament	blasters	armament: blasters
starfighter	armament	laser cannons	armament: laser cannons
star wars: x-wing	armament	torpedoes	armament: torpedoes
starfighter	armament	missiles	armament: missiles
star wars: x-wing vs. tie fighter	armament	missiles	armament: missiles
star wars: x-wing vs. tie fighter	armament	laser cannons	armament: laser cannons
star wars: x-wing vs. tie fighter	armament	torpedoes	armament: torpedoes
star wars: x-wing	armament	missiles	armament: missiles
x-wing	armament	laser cannons	armament: laser cannons
x-wing	armament	torpedoes	armament: torpedoes
starfighter	armament	torpedoes	armament: torpedoes
star wars: x-wing vs. tie fighter	armament	laser cannon	armament: laser cannon
star wars trilogy arcade	available at	online	available at: online
star wars trilogy arcade	available at	retail stores	available at: retail stores
star wars trilogy arcade	available at	arcade centers	available at: arcade centers
star wars: return of the jedi	award	academy award for best visual effects	award: academy award for best visual effects
the empire strikes back	award	academy award nomination	award: academy award nomination
star wars: rebel assault	award	best space combat game	award: best space combat game
star wars: the empire strikes back	award	academy award nomination for best sound	award: academy award nomination for best sound
super star wars: return of the jedi	award	academy award nomination	award: academy award nomination
star wars: the empire strikes back	award	academy award nomination	award: academy award nomination
star wars: the empire strikes back	awards	bafta award for best special visual effects	awards: bafta award for best special visual effects
star wars: return of the jedi	awards	positive reviews	awards: positive reviews
star wars: return of the jedi	awards	won academy award	awards: won academy award
star wars: the empire strikes back	awards	academy award nomination for best sound	awards: academy award nomination for best sound
star wars: return of the jedi	awards	bafta award nomination	awards: bafta award nomination
star wars: return of the jedi	awards	bafta award for best special visual effects	awards: bafta award for best special visual effects
