concept	facet	property	facet_property
darkness	absence of	illumination	absence of: illumination
darkness	absence of	light	absence of: light
emperor: rise of the middle kingdom	achievement	establishment of confucianism	achievement: establishment of confucianism
emperor: rise of the middle kingdom	achievement	unification of china	achievement: unification of china
emperor: rise of the middle kingdom	achievements	great wall of china	achievements: great wall of china
emperor: rise of the middle kingdom	achievements	promoted culture	achievements: promoted culture
emperor: rise of the middle kingdom	achievements	cultural flourishing	achievements: cultural flourishing
emperor: rise of the middle kingdom	achievements	economic growth	achievements: economic growth
emperor: rise of the middle kingdom	achievements	peace and stability	achievements: peace and stability
rise of the middle kingdom	achievements	unification of china	achievements: unification of china
rise of the middle kingdom	achievements	expansion of territories	achievements: expansion of territories
rise of the middle kingdom	achievements	development of infrastructure	achievements: development of infrastructure
emperor: rise of the middle kingdom	achievements	expanded territory	achievements: expanded territory
emperor: rise of the middle kingdom	achievements	established capital	achievements: established capital
emperor: rise of the middle kingdom	achievements	unified china	achievements: unified china
emperor: rise of the middle kingdom	achievements	silk road	achievements: silk road
emperor: rise of the middle kingdom	achievements	built great wall	achievements: built great wall
emperor: rise of the middle kingdom	achievements	promoted buddhism	achievements: promoted buddhism
emperor: rise of the middle kingdom	achievements	terracotta army	achievements: terracotta army
steins;gate	adaptations	video game	adaptations: video game
steins;gate	adaptations	light novel	adaptations: light novel
steins;gate	adaptations	visual novel	adaptations: visual novel
steins;gate	adaptations	anime	adaptations: anime
steins;gate	adaptations	novel	adaptations: novel
steins;gate	adaptations	manga	adaptations: manga
darkness	aesthetic	mysterious	aesthetic: mysterious
darkness	aesthetic	scary	aesthetic: scary
1943: the battle of midway	aircraft carriers	soryu	aircraft carriers: soryu
1943: the battle of midway	aircraft carriers	hiryu	aircraft carriers: hiryu
1943: the battle of midway	aircraft carriers	uss enterprise	aircraft carriers: uss enterprise
1943: the battle of midway	aircraft carriers	uss yorktown	aircraft carriers: uss yorktown
1943: the battle of midway	aircraft carriers	akagi	aircraft carriers: akagi
1943: the battle of midway	aircraft carriers	uss hornet	aircraft carriers: uss hornet
gangbusters	airing	network	airing: network
gangbusters	airing	tv	airing: tv
gangbusters	airing	1959-1965	airing: 1959-1965
gangbusters	airing	nbc	airing: nbc
gangbusters	airing	radio	airing: radio
freecol	alternative to	microsoft windows	alternative to: microsoft windows
freecol	alternative to	apple macos	alternative to: apple macos
180	angle	perpendicular	angle: perpendicular
180	angle	turn	angle: turn
180	angle	three-fifths of a circle	angle: three-fifths of a circle
180	angle	full circle	angle: full circle
180	angle	opposite direction	angle: opposite direction
180	angle	half circle	angle: half circle
180	angle	pi	angle: pi
180	angle	right angle	angle: right angle
180	angle	quarter circle	angle: quarter circle
steins;gate	animation style	stylized	animation style: stylized
steins;gate	animation style	2d	animation style: 2d
steins;gate	animation style	colorful	animation style: colorful
steins;gate	animation style	2d animation	animation style: 2d animation
steins;gate	animation style	anime style	animation style: anime style
steins;gate	animation style	vibrant colors	animation style: vibrant colors
steins;gate	animation style	stylized visuals	animation style: stylized visuals
steins;gate	anime series	noitamina	anime series: noitamina
steins;gate	anime series	2009	anime series: 2009
steins;gate	anime series	12 episodes	anime series: 12 episodes
cannon fodder	antonyms	civilian	antonyms: civilian
cannon fodder	antonyms	human life	antonyms: human life
cannon fodder	antonyms	resource	antonyms: resource
cannon fodder	antonyms	ally	antonyms: ally
cannon fodder	antonyms	treasure	antonyms: treasure
amaurote	appearance	ugly	appearance: ugly
amaurote	appearance	iridescent	appearance: iridescent
amaurote	appearance	small	appearance: small
amaurote	appearance	delicate	appearance: delicate
amaurote	appearance	colorful	appearance: colorful
amaurote	appearance	colorless	appearance: colorless
amaurote	appearance	shell	appearance: shell
amaurote	appearance	monstrous	appearance: monstrous
heroes of might and magic ii	art style	2d isometric graphics	art style: 2d isometric graphics
heroes of might and magic ii	art style	hand-drawn	art style: hand-drawn
afterlife	associated with	ghost	associated with: ghost
afterlife	associated with	religions	associated with: religions
afterlife	associated with	god	associated with: god
afterlife	associated with	mortality	associated with: mortality
afterlife	associated with	spirit	associated with: spirit
darkness	associated with	the unknown	associated with: the unknown
afterlife	associated with	soul	associated with: soul
amaurote	associated with	odysseus	associated with: odysseus
darkness	associated with	evil	associated with: evil
darkness	associated with	fear	associated with: fear
darkness	associated with	nighttime	associated with: nighttime
darkness	associated with	fear of the unknown	associated with: fear of the unknown
darkness	associated with	uncertainty	associated with: uncertainty
afterlife	associated with	death	associated with: death
amaurote	associated with	tiresias	associated with: tiresias
darkness	associated with	nightmares	associated with: nightmares
darkness	atmospheric condition	overcast weather	atmospheric condition: overcast weather
darkness	atmospheric condition	night	atmospheric condition: night
darkness	atmospheric condition	cloudy weather	atmospheric condition: cloudy weather
darkness	atmospheric condition	stormy weather	atmospheric condition: stormy weather
darkness	atmospheric condition	shadow	atmospheric condition: shadow
darkness	atmospheric condition	blackout	atmospheric condition: blackout
freecol	availability	downloadable from official website	availability: downloadable from official website
freecol	availability	installable on various platforms	availability: installable on various platforms
freecol	availability	downloadable	availability: downloadable
freecol	availability	available for many platforms	availability: available for many platforms
the battle for wesnoth	available platforms	mobile	available platforms: mobile
the battle for wesnoth	available platforms	pc	available platforms: pc
cannon fodder	avoided in modern warfare	human rights	avoided in modern warfare: human rights
cannon fodder	avoided in modern warfare	international conventions	avoided in modern warfare: international conventions
cannon fodder	avoided in modern warfare	humanitarian law	avoided in modern warfare: humanitarian law
steins;gate	award	anime of the year	award: anime of the year
steins;gate	award	best male character	award: best male character
age of wonders	award	critically acclaimed	award: critically acclaimed
age of wonders	award	indie game of the year	award: indie game of the year
age of wonders	award	best strategy game	award: best strategy game
civilization iii	award	game of the year	award: game of the year
steins;gate	award	best plot	award: best plot
steins;gate	award	won several awards	award: won several awards
civilization iii	award	2002	award: 2002
civilization iii	award	best strategy game	award: best strategy game
steins;gate	award	won anime of the year	award: won anime of the year
age of empires ii: the age of kings	award winning	critic reviews	award winning: critic reviews
age of empires ii: the age of kings	award winning	game of the year	award winning: game of the year
