concept	facet	property	facet_property
christopher reeve	accident	paralyzing spinal cord injury	accident: paralyzing spinal cord injury
christopher reeve	accident	quadriplegia	accident: quadriplegia
gerald ford	accomplishment	pardoning richard nixon	accomplishment: pardoning richard nixon
gerald ford	accomplishment	ending the vietnam war	accomplishment: ending the vietnam war
charles ii of england	accomplishments	establishment of the royal society	accomplishments: establishment of the royal society
gerald ford	accomplishments	appointing supreme court justices	accomplishments: appointing supreme court justices
gerald ford	accomplishments	ending vietnam war	accomplishments: ending vietnam war
gerald ford	accomplishments	pardoning nixon	accomplishments: pardoning nixon
jimmy carter	accomplishments	camp david accords	accomplishments: camp david accords
benedict xvi	accomplishments	papal succession	accomplishments: papal succession
queen elizabeth	accomplishments	modernizing monarchy	accomplishments: modernizing monarchy
queen elizabeth	accomplishments	leading commonwealth	accomplishments: leading commonwealth
jimmy carter	accomplishments	normalization of relations with china	accomplishments: normalization of relations with china
edward vii	accomplishments	modernized royal family	accomplishments: modernized royal family
edward vii	accomplishments	hosted coronation	accomplishments: hosted coronation
hulk hogan	accomplishments	wwf hall of fame	accomplishments: wwf hall of fame
queen elizabeth	accomplishments	modernizing the monarchy	accomplishments: modernizing the monarchy
charles ii of england	accomplishments	declaration of indulgence	accomplishments: declaration of indulgence
benedict xvi	accomplishments	reform of the catholic church	accomplishments: reform of the catholic church
hulk hogan	accomplishments	multiple wwf championships	accomplishments: multiple wwf championships
boris yeltsin	accomplishments	russian economic reforms	accomplishments: russian economic reforms
boris yeltsin	accomplishments	ending of soviet union	accomplishments: ending of soviet union
edward vii	accomplishments	social reforms	accomplishments: social reforms
edward vii	accomplishments	naval expansion	accomplishments: naval expansion
helen keller	accomplishments	founded the helen keller international	accomplishments: founded the helen keller international
boris yeltsin	accomplishments	independence of russia	accomplishments: independence of russia
queen elizabeth	accomplishments	establishing the commonwealth	accomplishments: establishing the commonwealth
edward vii	accomplishments	coronation	accomplishments: coronation
queen elizabeth	accomplishments	leading britain during wwii	accomplishments: leading britain during wwii
helen keller	accomplishments	gave lectures	accomplishments: gave lectures
helen keller	accomplishments	wrote 14 books	accomplishments: wrote 14 books
hillary clinton	achieved	presidential nomination	achieved: presidential nomination
hillary clinton	achieved	secretary of state position	achieved: secretary of state position
rafael nadal	achieved	multiple grand slam titles	achieved: multiple grand slam titles
rafael nadal	achieved	world number one	achieved: world number one
hillary clinton	achieved	senate seat	achieved: senate seat
yuri gagarin	achievement	duration 108 minutes	achievement: duration 108 minutes
amelia earhart	achievement	first to fly solo around the world	achievement: first to fly solo around the world
nelson mandela	achievement	fighting for equality	achievement: fighting for equality
yuri gagarin	achievement	completed one orbit	achievement: completed one orbit
nelson mandela	achievement	ending apartheid	achievement: ending apartheid
malala yousafzai	achievement	nobel peace prize	achievement: nobel peace prize
amelia earhart	achievement	first to fly solo across atlantic	achievement: first to fly solo across atlantic
julian assange	achievement	publishing classified documents	achievement: publishing classified documents
yuri gagarin	achievement	orbited earth	achievement: orbited earth
gerald ford	achievement	ending vietnam war	achievement: ending vietnam war
bill gates	achievement	created windows	achievement: created windows
gerald ford	achievement	appointing supreme court justices	achievement: appointing supreme court justices
usain bolt	achievement	world record holder	achievement: world record holder
bill gates	achievement	coined term'software piracy'	achievement: coined term'software piracy'
usain bolt	achievement	gold medalist	achievement: gold medalist
hillary clinton	achievement	repeal of don't ask don't tell	achievement: repeal of don't ask don't tell
gerald ford	achievement	pardoning nixon	achievement: pardoning nixon
julian assange	achievement	exposing government secrets	achievement: exposing government secrets
jeff bezos	achievement	created alexa	achievement: created alexa
marie curie	achievement	first woman to win nobel prize	achievement: first woman to win nobel prize
hillary clinton	achievement	healthcare reform	achievement: healthcare reform
yuri gagarin	achievement	orbital flight	achievement: orbital flight
amelia earhart	achievement	holder of multiple flight records	achievement: holder of multiple flight records
marie curie	achievement	discovered radium	achievement: discovered radium
marie curie	achievement	discovered polonium	achievement: discovered polonium
neil armstrong	achievement	commander of apollo 11	achievement: commander of apollo 11
neil armstrong	achievement	first person to walk on moon	achievement: first person to walk on moon
amelia earhart	achievement	record holder for longest non-stop transatlantic flight	achievement: record holder for longest non-stop transatlantic flight
marie curie	achievement	developed theory of radioactivity	achievement: developed theory of radioactivity
neil armstrong	achievement	first person to walk on the moon	achievement: first person to walk on the moon
michael jackson	achievement	king of pop	achievement: king of pop
michael jackson	achievement	grammy winner	achievement: grammy winner
michael jackson	achievement	record sales	achievement: record sales
neil armstrong	achievement	apollo 11 mission commander	achievement: apollo 11 mission commander
aaron rodgers	achievement	record holder	achievement: record holder
aaron rodgers	achievement	mvp award	achievement: mvp award
aaron rodgers	achievement	super bowl champion	achievement: super bowl champion
marie curie	achievement	isolated radium	achievement: isolated radium
marie curie	achievement	discovered radioactivity	achievement: discovered radioactivity
jeff bezos	achievement	founded amazon	achievement: founded amazon
muhammad ali	achievement	heavyweight champion	achievement: heavyweight champion
louis xiv of france	achievement	expanded french territory	achievement: expanded french territory
louis xiv of france	achievement	established absolute monarchy	achievement: established absolute monarchy
yasser arafat	achievement	oslo accords	achievement: oslo accords
yasser arafat	achievement	peace process	achievement: peace process
helen keller	achievement	graduated from college	achievement: graduated from college
helen keller	achievement	learned to read and write	achievement: learned to read and write
malala yousafzai	achievement	author of 'i am malala'	achievement: author of 'i am malala'
muhammad ali	achievement	olympic gold medalist	achievement: olympic gold medalist
hillary clinton	achievement	clinton health care plan	achievement: clinton health care plan
usain bolt	achievement	olympic champion	achievement: olympic champion
marie curie	achievement	developed theory	achievement: developed theory
marie curie	achievement	discovered elements	achievement: discovered elements
bill gates	achievement	philanthropist	achievement: philanthropist
amelia earhart	achievement	first person to fly solo across atlantic	achievement: first person to fly solo across atlantic
amelia earhart	achievement	first woman to fly across atlantic	achievement: first woman to fly across atlantic
bill gates	achievement	created windows operating system	achievement: created windows operating system
robert oppenheimer	achievement	father of the atomic bomb	achievement: father of the atomic bomb
neil armstrong	achievement	first person on moon	achievement: first person on moon
bill gates	achievement	co-founder of microsoft	achievement: co-founder of microsoft
yuri gagarin	achievement	orbited the earth	achievement: orbited the earth
marie curie	achievement	radioactivity pioneer	achievement: radioactivity pioneer
yuri gagarin	achievement	first human in space	achievement: first human in space
lyndon b. johnson	achievement	civil rights act	achievement: civil rights act
lyndon b. johnson	achievement	voting rights act	achievement: voting rights act
edward teller	achievement	contributed to manhattan project	achievement: contributed to manhattan project
edward teller	achievement	developed hydrogen bomb	achievement: developed hydrogen bomb
usain bolt	achievement	fastest man in the world	achievement: fastest man in the world
nelson mandela	achievement	becoming president	achievement: becoming president
usain bolt	achievement	world champion	achievement: world champion
usain bolt	achievement	world's fastest man	achievement: world's fastest man
usain bolt	achievement	most successful sprinter	achievement: most successful sprinter
neil armstrong	achievement	apollo 11 mission	achievement: apollo 11 mission
lyndon b. johnson	achievement	great society	achievement: great society
yuri gagarin	achievement	cosmic pioneer	achievement: cosmic pioneer
amelia earhart	achievement	famous aviator	achievement: famous aviator
amelia earhart	achievement	first woman to fly solo across atlantic	achievement: first woman to fly solo across atlantic
amelia earhart	achievement	first person to fly solo across pacific	achievement: first person to fly solo across pacific
neil armstrong	achievement	walked on moon	achievement: walked on moon
neil armstrong	achievement	first person to set foot on moon	achievement: first person to set foot on moon
george h. w. bush	achievements	led the cia	achievements: led the cia
dwight d. eisenhower	achievements	ended the korean war	achievements: ended the korean war
dwight d. eisenhower	achievements	led the allied forces to victory in world war ii	achievements: led the allied forces to victory in world war ii
lyndon b. johnson	achievements	medicare and medicaid programs	achievements: medicare and medicaid programs
lyndon b. johnson	achievements	social security act	achievements: social security act
heinrich himmler	achievements	created concentration camps	achievements: created concentration camps
heinrich himmler	achievements	organized holocaust	achievements: organized holocaust
ronald reagan	achievements	cold war diplomacy	achievements: cold war diplomacy
john travolta	achievements	iconic film roles	achievements: iconic film roles
recep tayyip erdoğan	achievements	economy growth	achievements: economy growth
hugh jackman	achievements	won a tony award for the boy from oz	achievements: won a tony award for the boy from oz
dwight d. eisenhower	achievements	signed the civil rights act of 1957	achievements: signed the civil rights act of 1957
recep tayyip erdoğan	achievements	foreign policy	achievements: foreign policy
benedict xvi	achievements	reformed the roman curia	achievements: reformed the roman curia
benedict xvi	achievements	reformed the liturgy	achievements: reformed the liturgy
benedict xvi	achievements	reformed the church's teachings	achievements: reformed the church's teachings
benito mussolini	achievements	created fascist state	achievements: created fascist state
catherine ii of russia	achievements	artistic	achievements: artistic
hugh jackman	achievements	hosted the tony awards ceremony	achievements: hosted the tony awards ceremony
george v	achievements	helped to maintain british empire	achievements: helped to maintain british empire
george v	achievements	played important role in world war i	achievements: played important role in world war i
john travolta	achievements	influence on pop culture	achievements: influence on pop culture
j.k. rowling	achievements	best-selling author	achievements: best-selling author
j.k. rowling	achievements	recipient of order of the british empire	achievements: recipient of order of the british empire
charles ii of england	achievements	established church of england	achievements: established church of england
george h. w. bush	achievements	served in world war ii	achievements: served in world war ii
mahmoud abbas	achievements	played a key role in the oslo accords	achievements: played a key role in the oslo accords
