concept	facet	property	facet_property
winston churchill	accomplishments	led britain during world war ii	accomplishments: led britain during world war ii
jean-jacques rousseau	accomplishments	composer of operas	accomplishments: composer of operas
jean-jacques rousseau	accomplishments	influential writer	accomplishments: influential writer
jean-jacques rousseau	accomplishments	influenced french revolution	accomplishments: influenced french revolution
winston churchill	accomplishments	gave speeches	accomplishments: gave speeches
winston churchill	accomplishments	wrote books	accomplishments: wrote books
jean-jacques rousseau	accomplishments	developed enlightenment ideas	accomplishments: developed enlightenment ideas
vladimir lenin	accomplishments	established soviet union	accomplishments: established soviet union
vladimir lenin	accomplishments	implemented socialist policies	accomplishments: implemented socialist policies
golda meir	achieved	first female prime minister of israel	achieved: first female prime minister of israel
golda meir	achieved	founding member of israel	achieved: founding member of israel
walt disney	achievement	developed disneyland	achievement: developed disneyland
walt disney	achievement	created mickey mouse	achievement: created mickey mouse
yuri gagarin	achievement	orbited earth	achievement: orbited earth
yuri gagarin	achievement	made a spaceflight	achievement: made a spaceflight
yuri gagarin	achievement	orbital flight duration: 108 minutes	achievement: orbital flight duration: 108 minutes
yuri gagarin	achievement	first human to journey into space	achievement: first human to journey into space
yuri gagarin	achievement	orbited the earth	achievement: orbited the earth
yuri gagarin	achievement	first human in space	achievement: first human in space
cyrus the great	achievement	allowing religious freedom	achievement: allowing religious freedom
cyrus the great	achievement	conquering babylon	achievement: conquering babylon
cyrus the great	achievement	conquering lydia	achievement: conquering lydia
benito mussolini	achievement	italian empire	achievement: italian empire
benito mussolini	achievement	march on rome	achievement: march on rome
mahatma gandhi	achievements	fought for women's rights	achievements: fought for women's rights
franklin delano roosevelt	achievements	initiated major social and economic reforms	achievements: initiated major social and economic reforms
vladimir lenin	achievements	russian revolution	achievements: russian revolution
vladimir lenin	achievements	establishment of the soviet union	achievements: establishment of the soviet union
benito mussolini	achievements	unified italy	achievements: unified italy
franklin delano roosevelt	achievements	led the country through the great depression	achievements: led the country through the great depression
mahatma gandhi	achievements	led salt march	achievements: led salt march
winston churchill	achievements	delivered many famous speeches	achievements: delivered many famous speeches
mahatma gandhi	achievements	inspired civil rights movement	achievements: inspired civil rights movement
hermann göring	achievements	luftwaffe leader	achievements: luftwaffe leader
golda meir	achievements	signed camp david accords	achievements: signed camp david accords
hermann göring	achievements	aircraft designer	achievements: aircraft designer
martin luther king jr.	achievements	i have a dream speech	achievements: i have a dream speech
benito mussolini	achievements	created fascist state	achievements: created fascist state
golda meir	achievements	played key role in israel's independence	achievements: played key role in israel's independence
martin luther king jr.	achievements	march on washington	achievements: march on washington
golda meir	achievements	signed the camp david accords	achievements: signed the camp david accords
winston churchill	achievements	led britain during world war ii	achievements: led britain during world war ii
hermann göring	achievements	nazi politician	achievements: nazi politician
charles de gaulle	achievements	presided over french fifth republic	achievements: presided over french fifth republic
john paul ii	achievements	reformed the church	achievements: reformed the church
mao zedong	achievements	promoted social change	achievements: promoted social change
franklin delano roosevelt	achievements	four freedoms speech	achievements: four freedoms speech
shinzō abe	achievements	economic stimulus packages	achievements: economic stimulus packages
hermann göring	achievements	designed messerschmitt aircraft	achievements: designed messerschmitt aircraft
adolf hitler	achievements	anschluss with austria	achievements: anschluss with austria
hermann göring	achievements	organized german air force	achievements: organized german air force
john paul ii	achievements	played key role in fall of communism	achievements: played key role in fall of communism
john paul ii	achievements	promoted interfaith dialogue	achievements: promoted interfaith dialogue
john paul ii	achievements	wrote several books	achievements: wrote several books
robert f. kennedy	achievements	played key role in cuban missile crisis	achievements: played key role in cuban missile crisis
robert f. kennedy	achievements	helped pass civil rights act	achievements: helped pass civil rights act
walt disney	achievements	disney theme parks	achievements: disney theme parks
indira gandhi	achievements	led india to victory in the bangladesh liberation war	achievements: led india to victory in the bangladesh liberation war
indira gandhi	achievements	initiated the green revolution	achievements: initiated the green revolution
walt disney	achievements	mickey mouse	achievements: mickey mouse
walt disney	achievements	bambi	achievements: bambi
walt disney	achievements	snow white	achievements: snow white
john paul ii	achievements	visited over 130 countries	achievements: visited over 130 countries
john paul ii	achievements	wrote many books	achievements: wrote many books
elizabeth ii	achievements	wedding	achievements: wedding
john paul ii	achievements	opposed communism	achievements: opposed communism
john paul ii	achievements	traveled extensively	achievements: traveled extensively
vladimir lenin	achievements	led the russian revolution	achievements: led the russian revolution
elizabeth ii	achievements	empire day	achievements: empire day
