concept	facet	property	facet_property
gerald ford	accomplishments	appointing justices to the supreme court	accomplishments: appointing justices to the supreme court
gerald ford	accomplishments	pardoning richard nixon	accomplishments: pardoning richard nixon
gerald ford	accomplishments	ending the vietnam war	accomplishments: ending the vietnam war
elon musk	achievement	colonizing mars	achievement: colonizing mars
elon musk	achievement	early investor in social media	achievement: early investor in social media
elon musk	achievement	founder of private space exploration company	achievement: founder of private space exploration company
elon musk	achievement	pioneer of electric cars	achievement: pioneer of electric cars
elon musk	achievement	launched spacex	achievement: launched spacex
napoleon	achievement	conquering europe	achievement: conquering europe
elon musk	achievement	created tesla	achievement: created tesla
elon musk	achievement	reaching mars	achievement: reaching mars
dianne feinstein	achievement	first woman to serve on the senate intelligence committee	achievement: first woman to serve on the senate intelligence committee
dianne feinstein	achievement	first female mayor of san francisco	achievement: first female mayor of san francisco
napoleon	achievement	conquered europe	achievement: conquered europe
elon musk	achievement	revolutionized electric cars	achievement: revolutionized electric cars
elon musk	achievement	making electric cars	achievement: making electric cars
elon musk	achievement	founding paypal	achievement: founding paypal
elon musk	achievement	making tesla successful	achievement: making tesla successful
dianne feinstein	achievement	played a key role in the senate watergate hearings	achievement: played a key role in the senate watergate hearings
elon musk	achievement	founded paypal	achievement: founded paypal
napoleon	achievement	created modern military tactics	achievement: created modern military tactics
elon musk	achievement	founding spacex	achievement: founding spacex
elon musk	achievement	sent spacecraft to mars	achievement: sent spacecraft to mars
elon musk	achievement	developed electric cars	achievement: developed electric cars
napoleon	achievement	reorganizing france	achievement: reorganizing france
subhas chandra bose	achievements	formation of azad hind government	achievements: formation of azad hind government
zinedine zidane	achievements	won the ballon d'or	achievements: won the ballon d'or
brooke shields	achievements	cover model for various magazines	achievements: cover model for various magazines
kylie minogue	achievements	iconic music video	achievements: iconic music video
elon musk	achievements	co-founded tesla	achievements: co-founded tesla
elon musk	achievements	founding of spacex	achievements: founding of spacex
lady gaga	achievements	most viewed youtube video	achievements: most viewed youtube video
lady gaga	achievements	first female artist to have four number-one albums simultaneously	achievements: first female artist to have four number-one albums simultaneously
elon musk	achievements	ceo of tesla	achievements: ceo of tesla
zinedine zidane	achievements	won the uefa champions league	achievements: won the uefa champions league
elon musk	achievements	founder of paypal	achievements: founder of paypal
subhas chandra bose	achievements	liberation of burma	achievements: liberation of burma
gerald ford	achievements	signed helsinki accords	achievements: signed helsinki accords
subhas chandra bose	achievements	indian national army	achievements: indian national army
gerald ford	achievements	pardoned nixon	achievements: pardoned nixon
elon musk	achievements	first private passenger of falcon heavy	achievements: first private passenger of falcon heavy
subhas chandra bose	achievements	led the indian national army	achievements: led the indian national army
zinedine zidane	achievements	ballon d'or winner	achievements: ballon d'or winner
brooke shields	achievements	first super bowl halftime show performer	achievements: first super bowl halftime show performer
brooke shields	achievements	grammy nomination	achievements: grammy nomination
zinedine zidane	achievements	uefa champions league winner	achievements: uefa champions league winner
subhas chandra bose	achievements	led indian troops in burma	achievements: led indian troops in burma
subhas chandra bose	achievements	organized azad hind government	achievements: organized azad hind government
subhas chandra bose	achievements	led indian national army in world war ii	achievements: led indian national army in world war ii
subhas chandra bose	achievements	led the azad hind government	achievements: led the azad hind government
subhas chandra bose	achievements	founded indian national army	achievements: founded indian national army
zinedine zidane	achievements	fifa world cup champion	achievements: fifa world cup champion
