concept	facet	property	facet_property
j.r.r. tolkien	academic background	university of oxford	academic background: university of oxford
j.r.r. tolkien	academic background	exeter college	academic background: exeter college
thomas edison	achievement	developed light bulb	achievement: developed light bulb
ike turner	achievement	influential musician	achievement: influential musician
ike turner	achievement	rock and roll pioneer	achievement: rock and roll pioneer
thomas edison	achievement	invented phonograph	achievement: invented phonograph
thomas edison	achievement	developed motion picture camera	achievement: developed motion picture camera
kirk douglas	achievements	won numerous awards	achievements: won numerous awards
thomas edison	achievements	established edison electric light company	achievements: established edison electric light company
thomas edison	achievements	established first industrial research laboratory	achievements: established first industrial research laboratory
lebron james	achievements	4-time nba champion	achievements: 4-time nba champion
kirk douglas	achievements	founded the douglas inner city youth camp	achievements: founded the douglas inner city youth camp
lebron james	achievements	4-time nba mvp	achievements: 4-time nba mvp
lebron james	achievements	2-time olympic gold medalist	achievements: 2-time olympic gold medalist
thomas edison	achievements	developed many important technologies	achievements: developed many important technologies
thomas edison	achievements	held over 1,093 patents	achievements: held over 1,093 patents
lebron james	achievements	four-time nba mvp	achievements: four-time nba mvp
david beckham	achievements	la liga winner	achievements: la liga winner
lebron james	achievements	two-time olympic medalist	achievements: two-time olympic medalist
kurt cobain	achievements	iconic song	achievements: iconic song
prince harry, duke of sussex	achievements	published memoir	achievements: published memoir
martin luther king jr.	achievements	montgomery bus boycott	achievements: montgomery bus boycott
prince harry, duke of sussex	achievements	involved in various charitable causes	achievements: involved in various charitable causes
saddam hussein	achievements	promoted pan-arabism	achievements: promoted pan-arabism
thomas edison	achievements	developed electrical power system	achievements: developed electrical power system
saddam hussein	achievements	nationalized oil	achievements: nationalized oil
thomas edison	achievements	established the edison electric light company	achievements: established the edison electric light company
david beckham	achievements	most successful free kick taker	achievements: most successful free kick taker
yoko ono	achievements	music awards	achievements: music awards
yoko ono	achievements	art exhibitions	achievements: art exhibitions
yoko ono	achievements	peace activism	achievements: peace activism
roman reigns	achievements	wwe universal champion	achievements: wwe universal champion
roman reigns	achievements	wwe champion	achievements: wwe champion
david beckham	achievements	premier league champion	achievements: premier league champion
david beckham	achievements	uefa champions league champion	achievements: uefa champions league champion
julian assange	achievements	founder of wikileaks	achievements: founder of wikileaks
julian assange	achievements	published sensitive information	achievements: published sensitive information
david beckham	achievements	most capped england player	achievements: most capped england player
prince harry, duke of sussex	achievements	participated in invictus games	achievements: participated in invictus games
martin luther king jr.	achievements	medgar evers' funeral	achievements: medgar evers' funeral
dwight d. eisenhower	achievements	ended korean war	achievements: ended korean war
martin luther king jr.	achievements	led civil rights movement	achievements: led civil rights movement
catherine, princess of wales	achievements	support for children's charities	achievements: support for children's charities
catherine, princess of wales	achievements	support for mental health	achievements: support for mental health
saddam hussein	achievements	built iraq's infrastructure	achievements: built iraq's infrastructure
saddam hussein	achievements	promoting education	achievements: promoting education
saddam hussein	achievements	building infrastructure	achievements: building infrastructure
martin luther king jr.	achievements	gave speeches	achievements: gave speeches
saddam hussein	achievements	built infrastructure	achievements: built infrastructure
saddam hussein	achievements	oil nationalization	achievements: oil nationalization
