concept	facet	property	facet_property
leonardo da vinci	accomplishments	designed flying machines	accomplishments: designed flying machines
julius caesar	accomplishments	reforming roman calendar	accomplishments: reforming roman calendar
julius caesar	accomplishments	conquering gaul	accomplishments: conquering gaul
leonardo da vinci	accomplishments	painted the ceiling of the sistine chapel	accomplishments: painted the ceiling of the sistine chapel
coco chanel	achieved	empowered women	achieved: empowered women
coco chanel	achieved	revolutionized women's fashion	achieved: revolutionized women's fashion
napoleon	achievement	conquest of europe	achievement: conquest of europe
napoleon	achievement	conquered europe	achievement: conquered europe
napoleon	achievement	reorganization of france	achievement: reorganization of france
napoleon	achievement	code napoleon	achievement: code napoleon
napoleon	achievement	established french empire	achievement: established french empire
victoria	achievements	expanded education	achievements: expanded education
victoria	achievements	reformed prison system	achievements: reformed prison system
victoria	achievements	established public baths	achievements: established public baths
galileo galilei	achievements	determination of speed of light	achievements: determination of speed of light
galileo galilei	achievements	discovery of four moons of jupiter	achievements: discovery of four moons of jupiter
galileo galilei	achievements	challenge to geocentric model	achievements: challenge to geocentric model
rabindranath tagore	achievements	founding of visva-bharati university	achievements: founding of visva-bharati university
kylie minogue	achievements	sold millions of records	achievements: sold millions of records
rabindranath tagore	achievements	first non-european nobel laureate	achievements: first non-european nobel laureate
rabindranath tagore	achievements	nobel prize in literature	achievements: nobel prize in literature
constantine the great	achievements	expansion of the roman empire	achievements: expansion of the roman empire
constantine the great	achievements	conversion to christianity	achievements: conversion to christianity
constantine the great	achievements	establishment of constantinople	achievements: establishment of constantinople
mary, queen of scots	achievements	gave birth to james vi	achievements: gave birth to james vi
mary, queen of scots	achievements	married henry stuart	achievements: married henry stuart
mary, queen of scots	achievements	restored catholicism	achievements: restored catholicism
victoria	achievements	industrialization	achievements: industrialization
vladimir lenin	achievements	introduced new economic policy	achievements: introduced new economic policy
walt disney	achievements	produced snow white	achievements: produced snow white
yoko ono	achievements	grammy awards	achievements: grammy awards
steven spielberg	achievements	cultural impact	achievements: cultural impact
kylie minogue	achievements	grammy winner	achievements: grammy winner
victoria	achievements	reforms	achievements: reforms
steven spielberg	achievements	iconic films	achievements: iconic films
victoria	achievements	great exhibition	achievements: great exhibition
victoria	achievements	industrial revolution	achievements: industrial revolution
julius caesar	achievements	conquered gaul	achievements: conquered gaul
julius caesar	achievements	reformed roman calendar	achievements: reformed roman calendar
julius caesar	achievements	made first triumvirate	achievements: made first triumvirate
julius caesar	achievements	building infrastructure	achievements: building infrastructure
julius caesar	achievements	reforming roman calendar	achievements: reforming roman calendar
julius caesar	achievements	conquering gaul	achievements: conquering gaul
galileo galilei	achievements	first to observe four moons of jupiter	achievements: first to observe four moons of jupiter
galileo galilei	achievements	disproved aristotelian views on motion	achievements: disproved aristotelian views on motion
galileo galilei	achievements	published 'dialogue concerning the two chief world systems'	achievements: published 'dialogue concerning the two chief world systems'
victoria	achievements	promoted arts and culture	achievements: promoted arts and culture
victoria	achievements	reformed education	achievements: reformed education
victoria	achievements	expanded empire	achievements: expanded empire
john lennon	achievements	peace activism	achievements: peace activism
john lennon	achievements	iconic songwriting	achievements: iconic songwriting
john lennon	achievements	most successful musician	achievements: most successful musician
yoko ono	achievements	artist with numerous exhibitions	achievements: artist with numerous exhibitions
kylie minogue	achievements	australian idol judge	achievements: australian idol judge
yoko ono	achievements	inducted into rock and roll hall of fame	achievements: inducted into rock and roll hall of fame
michelangelo	achievements	influential in art history	achievements: influential in art history
yoko ono	achievements	founder of the bed-in movement	achievements: founder of the bed-in movement
walt disney	achievements	created mickey mouse	achievements: created mickey mouse
michelangelo	achievements	famous artist	achievements: famous artist
leonardo da vinci	achievements	studied human anatomy	achievements: studied human anatomy
leonardo da vinci	achievements	designed machines	achievements: designed machines
victoria	achievements	reform of british government	achievements: reform of british government
victoria	achievements	expansion of british empire	achievements: expansion of british empire
john lennon	achievements	inducted into the rock and roll hall of fame	achievements: inducted into the rock and roll hall of fame
john lennon	achievements	grammy awards	achievements: grammy awards
napoleon	achievements	reorganized french government	achievements: reorganized french government
napoleon	achievements	conquered europe	achievements: conquered europe
constantine the great	achievements	expansion of roman empire	achievements: expansion of roman empire
constantine the great	achievements	promoted christianity	achievements: promoted christianity
yoko ono	achievements	grammy award	achievements: grammy award
coco chanel	achievements	invented the little black dress	achievements: invented the little black dress
coco chanel	achievements	popularized the chanel suit	achievements: popularized the chanel suit
walt disney	achievements	honorary oscar	achievements: honorary oscar
walt disney	achievements	academy award	achievements: academy award
walt disney	achievements	oscars	achievements: oscars
vladimir lenin	achievements	russian revolution	achievements: russian revolution
vladimir lenin	achievements	establishment of soviet union	achievements: establishment of soviet union
constantine the great	achievements	establishment of capital in constantinople	achievements: establishment of capital in constantinople
galileo galilei	achievements	invented telescope	achievements: invented telescope
galileo galilei	achievements	observed four moons of jupiter	achievements: observed four moons of jupiter
steven spielberg	achievements	pioneer of cgi	achievements: pioneer of cgi
leonardo da vinci	achievements	discovered principles of flight	achievements: discovered principles of flight
victoria	achievements	wedding	achievements: wedding
victoria	achievements	empowerment of women	achievements: empowerment of women
vladimir lenin	achievements	established soviet union	achievements: established soviet union
leonardo da vinci	achievements	designer of machines	achievements: designer of machines
galileo galilei	achievements	observed phases of venus	achievements: observed phases of venus
galileo galilei	achievements	discovered four moons of jupiter	achievements: discovered four moons of jupiter
vladimir lenin	achievements	fostered international revolution	achievements: fostered international revolution
vladimir lenin	achievements	nationalized industries	achievements: nationalized industries
galileo galilei	achievements	developed telescope	achievements: developed telescope
julius caesar	achievements	caesar's gallic wars	achievements: caesar's gallic wars
galileo galilei	achievements	first to observe the heavens with a telescope	achievements: first to observe the heavens with a telescope
julius caesar	achievements	reforms	achievements: reforms
julius caesar	achievements	conquests	achievements: conquests
leonardo da vinci	achievements	anatomist	achievements: anatomist
julius caesar	achievements	introduced senate	achievements: introduced senate
constantine the great	achievements	established capital in byzantium	achievements: established capital in byzantium
constantine the great	achievements	issued edict of milan	achievements: issued edict of milan
constantine the great	achievements	expanded roman empire	achievements: expanded roman empire
walt disney	achievements	won academy awards	achievements: won academy awards
galileo galilei	achievements	challenged aristotelian views	achievements: challenged aristotelian views
galileo galilei	achievements	published works on motion and gravity	achievements: published works on motion and gravity
julius caesar	achievements	expanded roman empire	achievements: expanded roman empire
victoria	achievements	commonwealth	achievements: commonwealth
victoria	achievements	empire	achievements: empire
walt disney	achievements	created disneyland	achievements: created disneyland
julius caesar	achievements	reformed calendar	achievements: reformed calendar
leonardo da vinci	achievements	mathematician	achievements: mathematician
maggie smith	active years	2010s	active years: 2010s
steven spielberg	active years	1960s-present	active years: 1960s-present
maggie smith	active years	1950s	active years: 1950s
maggie smith	active years	1960s	active years: 1960s
maggie smith	active years	1970s	active years: 1970s
maggie smith	active years	1980s	active years: 1980s
maggie smith	active years	1990s	active years: 1990s
maggie smith	active years	2000s	active years: 2000s
john lennon	activism	peace movement	activism: peace movement
yoko ono	activism	peace activism	activism: peace activism
yoko ono	activism	humanitarian work	activism: humanitarian work
john lennon	activism	anti-war	activism: anti-war
yoko ono	activism	human rights	activism: human rights
yoko ono	activism	anti-war movement	activism: anti-war movement
