concept	facet	property	facet_property
iu	abbreviation	l	abbreviation: l
iu	abbreviation	i	abbreviation: i
iu	abbreviation	ml	abbreviation: ml
iu	abbreviation	i.u.	abbreviation: i.u.
iu	abbreviation	litre	abbreviation: litre
ludwig van beethoven	abilities	pianist	abilities: pianist
ludwig van beethoven	abilities	conductor	abilities: conductor
ludwig van beethoven	abilities	composer	abilities: composer
benedict xvi	accomplishments	establishment of the pontifical council for the laity	accomplishments: establishment of the pontifical council for the laity
benedict xvi	accomplishments	reform of the roman curia	accomplishments: reform of the roman curia
ike turner	achievement	pioneering rock and roll	achievement: pioneering rock and roll
ike turner	achievement	influencing music industry	achievement: influencing music industry
edward vii	achievements	reformed military	achievements: reformed military
hulk hogan	achievements	wwf hall of famer	achievements: wwf hall of famer
michael jackson	achievements	iconic music videos	achievements: iconic music videos
edward vii	achievements	held coronation	achievements: held coronation
ozzy osbourne	achievements	rock and roll hall of fame	achievements: rock and roll hall of fame
benedict xvi	achievements	reforms	achievements: reforms
john cena	achievements	actor in movies and tv shows	achievements: actor in movies and tv shows
yoko ono	achievements	grammy award	achievements: grammy award
michael jackson	achievements	most awarded artist	achievements: most awarded artist
freddie mercury	achievements	iconic voice	achievements: iconic voice
john cena	achievements	singer	achievements: singer
shania twain	achievements	chart-topping singles	achievements: chart-topping singles
benedict xvi	achievements	papacy	achievements: papacy
edward vii	achievements	re-established the british monarchy	achievements: re-established the british monarchy
john cena	achievements	multiple wwe championships	achievements: multiple wwe championships
edward vii	achievements	held the first state visit to the united states	achievements: held the first state visit to the united states
edward vii	achievements	helped to modernize the british army	achievements: helped to modernize the british army
john cena	achievements	guinness world record holder	achievements: guinness world record holder
jet li	achievements	wing chun practitioner	achievements: wing chun practitioner
jet li	achievements	master of tai chi	achievements: master of tai chi
dolly parton	achievements	songwriting credits	achievements: songwriting credits
paul mccartney	achievements	most successful artist in the uk	achievements: most successful artist in the uk
hulk hogan	achievements	hollywood walk of fame	achievements: hollywood walk of fame
hulk hogan	achievements	wwf champion	achievements: wwf champion
lionel richie	achievements	sold millions of records	achievements: sold millions of records
britney spears	achievements	guinness world records	achievements: guinness world records
lionel richie	achievements	american music awards	achievements: american music awards
lionel richie	achievements	grammy awards	achievements: grammy awards
benedict xvi	achievements	reforming the catholic church	achievements: reforming the catholic church
edward vii	achievements	improved relations with germany	achievements: improved relations with germany
shakira	achievements	grammy award winner	achievements: grammy award winner
ike turner	achievements	inducted into the rock and roll hall of fame	achievements: inducted into the rock and roll hall of fame
ludwig van beethoven	achievements	created many famous compositions	achievements: created many famous compositions
ike turner	achievements	grammy award winner	achievements: grammy award winner
edward vii	achievements	hosted coronation	achievements: hosted coronation
john cena	achievements	wwe champion	achievements: wwe champion
yoko ono	achievements	inducted into the rock and roll hall of fame	achievements: inducted into the rock and roll hall of fame
edward vii	achievements	windsor castle	achievements: windsor castle
edward vii	achievements	popularized automobile	achievements: popularized automobile
benedict xvi	achievements	reformed the roman curia	achievements: reformed the roman curia
benedict xvi	achievements	reformed the congregation for the doctrine of the faith	achievements: reformed the congregation for the doctrine of the faith
hugh jackman	achievements	emmy award	achievements: emmy award
freddie mercury	achievements	sold millions of albums	achievements: sold millions of albums
dr. dre	achievements	founder of beats electronics	achievements: founder of beats electronics
dr. dre	achievements	founder of aftermath entertainment	achievements: founder of aftermath entertainment
dolly parton	achievements	star on the hollywood walk of fame	achievements: star on the hollywood walk of fame
dolly parton	achievements	inducted into the country music hall of fame	achievements: inducted into the country music hall of fame
shania twain	achievements	best-selling female country artist	achievements: best-selling female country artist
dr. dre	achievements	co-founder of n.w.a	achievements: co-founder of n.w.a
lionel richie	achievements	billboard hot 100	achievements: billboard hot 100
shania twain	achievements	four-time grammy winner	achievements: four-time grammy winner
john lennon	achievements	influence on music	achievements: influence on music
yoko ono	achievements	awarded mbe	achievements: awarded mbe
benedict xvi	achievements	writing books on theology	achievements: writing books on theology
lady gaga	achievements	billboard music awards	achievements: billboard music awards
dolly parton	achievements	country music hall of fame	achievements: country music hall of fame
dolly parton	achievements	dollywood theme park	achievements: dollywood theme park
hulk hogan	achievements	entertainment career	achievements: entertainment career
michael jackson	achievements	best-selling album	achievements: best-selling album
meryl streep	achievements	holds the record for most oscar nominations for an actress	achievements: holds the record for most oscar nominations for an actress
benedict xvi	achievements	encyclical	achievements: encyclical
john cena	achievements	actor in movies	achievements: actor in movies
sinead o'connor	achievements	multi-platinum albums	achievements: multi-platinum albums
ozzy osbourne	achievements	grammy awards	achievements: grammy awards
hulk hogan	achievements	wwe championship	achievements: wwe championship
hulk hogan	achievements	multiple championships	achievements: multiple championships
hugh jackman	achievements	grammy award	achievements: grammy award
john lennon	achievements	iconic songs	achievements: iconic songs
hulk hogan	achievements	wcw championship	achievements: wcw championship
john lennon	achievements	revolutionary music	achievements: revolutionary music
elton john	achievements	inducted into the rock and roll hall of fame	achievements: inducted into the rock and roll hall of fame
hulk hogan	achievements	hall of famer	achievements: hall of famer
elton john	achievements	knighted	achievements: knighted
hulk hogan	achievements	hall of fame	achievements: hall of fame
sinead o'connor	achievements	grammy award	achievements: grammy award
naruhito	achievements	promoted cultural exchange	achievements: promoted cultural exchange
meryl streep	achievements	most nominated actress in academy awards	achievements: most nominated actress in academy awards
naruhito	achievements	visited numerous countries	achievements: visited numerous countries
harry belafonte	achievements	first african american to host the tonight show	achievements: first african american to host the tonight show
harry belafonte	achievements	activism in civil rights movement	achievements: activism in civil rights movement
britney spears	achievements	grammy awards	achievements: grammy awards
nicole scherzinger	achievements	mtv video music award	achievements: mtv video music award
ludwig van beethoven	achievements	influenced many composers	achievements: influenced many composers
ludwig van beethoven	achievements	famous for his symphony no. 5	achievements: famous for his symphony no. 5
nicole scherzinger	achievements	billboard hot 100 chart	achievements: billboard hot 100 chart
kate hudson	achievements	philanthropic work	achievements: philanthropic work
nick jonas	achievements	grammy nomination	achievements: grammy nomination
nick jonas	achievements	chart-topping singles	achievements: chart-topping singles
edward vii	achievements	reformed the royal family	achievements: reformed the royal family
edward vii	achievements	popularized the image of the monarch	achievements: popularized the image of the monarch
ludwig van beethoven	achievements	pioneered classical music	achievements: pioneered classical music
