concept	facet	property	facet_property
iu	abbreviation	in	abbreviation: in
iu	abbreviation	inch	abbreviation: inch
karl marx	academic	economist	academic: economist
karl marx	academic	historian	academic: historian
karl marx	academic	philosopher	academic: philosopher
immanuel kant	academic background	ph.d. in philosophy	academic background: ph.d. in philosophy
immanuel kant	academic background	university of königsberg	academic background: university of königsberg
j.r.r. tolkien	academic background	philology	academic background: philology
j.r.r. tolkien	academic background	old english language	academic background: old english language
j.r.r. tolkien	academic background	oxford university	academic background: oxford university
niki lauda	accident	nearly lost his life	accident: nearly lost his life
niki lauda	accident	suffered severe burns	accident: suffered severe burns
cyrus the great	accomplishments	established tolerant policies	accomplishments: established tolerant policies
richard nixon	accomplishments	established environmental protection agency	accomplishments: established environmental protection agency
thomas jefferson	accomplishments	drafted declaration of independence	accomplishments: drafted declaration of independence
cyrus the great	accomplishments	liberated jews	accomplishments: liberated jews
george washington	accomplishments	established national bank	accomplishments: established national bank
theodore roosevelt	accomplishments	antitrust laws	accomplishments: antitrust laws
theodore roosevelt	accomplishments	progressive era	accomplishments: progressive era
theodore roosevelt	accomplishments	square deal	accomplishments: square deal
george washington	accomplishments	served two terms	accomplishments: served two terms
george washington	accomplishments	led continental army	accomplishments: led continental army
theodore roosevelt	accomplishments	national park system	accomplishments: national park system
triple h	accomplishments	wwe champion	accomplishments: wwe champion
james vi and i	accomplishments	bible translation	accomplishments: bible translation
donald trump	accomplishments	judicial appointments	accomplishments: judicial appointments
donald trump	accomplishments	tax reform	accomplishments: tax reform
james vi and i	accomplishments	plays and poetry	accomplishments: plays and poetry
donald trump	accomplishments	presidential election	accomplishments: presidential election
triple h	accomplishments	king of kings	accomplishments: king of kings
louis xiv of france	accomplishments	built palace of versailles	accomplishments: built palace of versailles
theodore roosevelt	accomplishments	antitrust act	accomplishments: antitrust act
triple h	accomplishments	royal rumble winner	accomplishments: royal rumble winner
ronald reagan	accomplishments	cold war diplomacy	accomplishments: cold war diplomacy
ronald reagan	accomplishments	tax cuts	accomplishments: tax cuts
thomas jefferson	accomplishments	author of the declaration of independence	accomplishments: author of the declaration of independence
richard nixon	accomplishments	improved relations with china	accomplishments: improved relations with china
thomas jefferson	accomplishments	founder of the university of virginia	accomplishments: founder of the university of virginia
george v	accomplishments	led uk during world war i	accomplishments: led uk during world war i
cyrus the great	accomplishments	liberation of the jews	accomplishments: liberation of the jews
cyrus the great	accomplishments	conquest of babylon	accomplishments: conquest of babylon
louis xiv of france	accomplishments	centralized power	accomplishments: centralized power
dianne feinstein	accomplishments	co-author of the brady handgun violence prevention act	accomplishments: co-author of the brady handgun violence prevention act
john paul ii	accomplishments	visited 129 countries	accomplishments: visited 129 countries
john paul ii	accomplishments	played important role in end of cold war	accomplishments: played important role in end of cold war
john paul ii	accomplishments	opposed communism	accomplishments: opposed communism
alexander hamilton	accomplishments	established national bank	accomplishments: established national bank
alexander hamilton	accomplishments	developed financial system	accomplishments: developed financial system
alexander hamilton	accomplishments	founded national bank of new york	accomplishments: founded national bank of new york
alexander hamilton	accomplishments	established the national bank	accomplishments: established the national bank
julius caesar	accomplishments	expanded roman empire	accomplishments: expanded roman empire
martin luther	accomplishments	nailed 95 theses	accomplishments: nailed 95 theses
cyrus the great	accomplishments	conquered babylon	accomplishments: conquered babylon
alexander hamilton	accomplishments	created the coast guard	accomplishments: created the coast guard
martin luther	accomplishments	founded lutheran church	accomplishments: founded lutheran church
alexander hamilton	accomplishments	developed the us financial system	accomplishments: developed the us financial system
thomas jefferson	accomplishments	supporter of education	accomplishments: supporter of education
thomas jefferson	accomplishments	expanded louisiana purchase	accomplishments: expanded louisiana purchase
marcus aurelius	accomplishments	reformed roman empire	accomplishments: reformed roman empire
marcus aurelius	accomplishments	fought wars	accomplishments: fought wars
marcus aurelius	accomplishments	wrote philosophical works	accomplishments: wrote philosophical works
julius caesar	accomplishments	conquered gaul	accomplishments: conquered gaul
george v	accomplishments	served in boer war	accomplishments: served in boer war
julius caesar	accomplishments	reformed roman calendar	accomplishments: reformed roman calendar
james vi and i	accomplishments	unified england and scotland	accomplishments: unified england and scotland
james vi and i	accomplishments	established church of england	accomplishments: established church of england
thomas jefferson	accomplishments	wrote constitution	accomplishments: wrote constitution
martin luther	accomplishments	translated bible into german	accomplishments: translated bible into german
cyrus the great	accomplishments	conquered lydia	accomplishments: conquered lydia
louis xiv of france	accomplishments	established royal court	accomplishments: established royal court
muhammad	accomplishments	established the first islamic community	accomplishments: established the first islamic community
dianne feinstein	accomplishments	author of the gun control act	accomplishments: author of the gun control act
edward vii	accomplishments	popularized the idea of the'modern monarch'	accomplishments: popularized the idea of the'modern monarch'
tenzin gyatso	accomplishments	advocated for human rights	accomplishments: advocated for human rights
tenzin gyatso	accomplishments	promoted interfaith dialogue	accomplishments: promoted interfaith dialogue
thomas jefferson	accomplishments	author of declaration of independence	accomplishments: author of declaration of independence
thomas jefferson	accomplishments	louisiana purchase	accomplishments: louisiana purchase
tenzin gyatso	accomplishments	won nobel peace prize	accomplishments: won nobel peace prize
dwight d. eisenhower	accomplishments	civil rights movement	accomplishments: civil rights movement
muhammad	accomplishments	revealed the quran	accomplishments: revealed the quran
george washington	accomplishments	won war	accomplishments: won war
george washington	accomplishments	established us government	accomplishments: established us government
dwight d. eisenhower	accomplishments	space exploration	accomplishments: space exploration
bill clinton	accomplishments	budget surplus	accomplishments: budget surplus
dwight d. eisenhower	accomplishments	interstate highway system	accomplishments: interstate highway system
james vi and i	accomplishments	english renaissance	accomplishments: english renaissance
john f. kennedy	accomplishments	space exploration	accomplishments: space exploration
john f. kennedy	accomplishments	civil rights	accomplishments: civil rights
theodore roosevelt	accomplishments	conservation efforts	accomplishments: conservation efforts
thomas jefferson	accomplishments	expanded public education	accomplishments: expanded public education
thomas jefferson	accomplishments	established university of virginia	accomplishments: established university of virginia
john f. kennedy	accomplishments	foreign policy	accomplishments: foreign policy
edward vii	accomplishments	reorganized the british monarchy	accomplishments: reorganized the british monarchy
bill clinton	accomplishments	healthcare reform	accomplishments: healthcare reform
george washington	accomplishments	set presidential term limits	accomplishments: set presidential term limits
bill clinton	achieved	economy growth	achieved: economy growth
robert f. kennedy	achieved	civil rights act	achieved: civil rights act
franz joseph i of austria	achieved	establishment of austro-hungarian empire	achieved: establishment of austro-hungarian empire
buddha	achieved	enlightenment	achieved: enlightenment
arnold schwarzenegger	achieved	mr. universe	achieved: mr. universe
robert f. kennedy	achieved	medgar evers' assassination investigation	achieved: medgar evers' assassination investigation
robert f. kennedy	achieved	vietnam war protests	achieved: vietnam war protests
arnold schwarzenegger	achieved	governor of california	achieved: governor of california
robert f. kennedy	achieved	medicare	achieved: medicare
arnold schwarzenegger	achieved	governor of california again	achieved: governor of california again
bill clinton	achieved	health care reform	achieved: health care reform
robert f. kennedy	achieved	vietnam war protest	achieved: vietnam war protest
hillary clinton	achieved	repeal of glass-steagall act	achieved: repeal of glass-steagall act
buddha	achieved	nirvana	achieved: nirvana
franz joseph i of austria	achieved	unification of austria-hungary	achieved: unification of austria-hungary
hillary clinton	achieved	healthcare reform	achieved: healthcare reform
bill clinton	achieved	end of the cold war	achieved: end of the cold war
robert f. kennedy	achieved	civil rights movement	achieved: civil rights movement
hillary clinton	achieved	clinton foundation	achieved: clinton foundation
jean-claude van damme	achieved fame for	kickboxing	achieved fame for: kickboxing
jean-claude van damme	achieved fame for	action movies	achieved fame for: action movies
margaret thatcher	achievement	first female prime minister	achievement: first female prime minister
enzo ferrari	achievement	won le mans	achievement: won le mans
yuri gagarin	achievement	first human in space	achievement: first human in space
mike tyson	achievement	youngest heavyweight champion	achievement: youngest heavyweight champion
charles de gaulle	achievement	led france to victory in world war ii	achievement: led france to victory in world war ii
mike tyson	achievement	most feared boxer	achievement: most feared boxer
gerald ford	achievement	ended the vietnam war	achievement: ended the vietnam war
william the conqueror	achievement	founding of the dukedom of normandy	achievement: founding of the dukedom of normandy
nelson mandela	achievement	ending apartheid	achievement: ending apartheid
enzo ferrari	achievement	created ferrari	achievement: created ferrari
charles de gaulle	achievement	fought for french independence	achievement: fought for french independence
margaret thatcher	achievement	strong anti-communist stance	achievement: strong anti-communist stance
george foreman	achievement	won heavyweight boxing championship	achievement: won heavyweight boxing championship
gerald ford	achievement	signed the helsinki accords	achievement: signed the helsinki accords
margaret thatcher	achievement	reform of the national health service	achievement: reform of the national health service
neil armstrong	achievement	first person to walk on moon	achievement: first person to walk on moon
enzo ferrari	achievement	developed racing cars	achievement: developed racing cars
william the conqueror	achievement	establishing the norman dynasty	achievement: establishing the norman dynasty
william the conqueror	achievement	conquering england	achievement: conquering england
william the conqueror	achievement	establishment of normandy	achievement: establishment of normandy
george washington	achievement	writing the constitution	achievement: writing the constitution
margaret thatcher	achievement	longest-serving british prime minister	achievement: longest-serving british prime minister
dianne feinstein	achievement	first woman mayor of san francisco	achievement: first woman mayor of san francisco
george washington	achievement	leading the revolution	achievement: leading the revolution
george washington	achievement	led continental army	achievement: led continental army
priscilla presley	achievement	has been involved in various business ventures	achievement: has been involved in various business ventures
george washington	achievement	presiding over the government	achievement: presiding over the government
neil armstrong	achievement	space exploration	achievement: space exploration
neil armstrong	achievement	apollo 11 mission	achievement: apollo 11 mission
gerald ford	achievement	pardoning richard nixon	achievement: pardoning richard nixon
dianne feinstein	achievement	longest-serving female senator in us history	achievement: longest-serving female senator in us history
george washington	achievement	set presidential term limit	achievement: set presidential term limit
yuri gagarin	achievement	orbited the earth	achievement: orbited the earth
george washington	achievement	drafted constitution	achievement: drafted constitution
nicolaus copernicus	achievement	developed heliocentric model	achievement: developed heliocentric model
nicolaus copernicus	achievement	published groundbreaking book	achievement: published groundbreaking book
