concept	facet	property	facet_property
iu	abbreviation	i	abbreviation: i
iu	abbreviation	u	abbreviation: u
iu	abbreviation	iu	abbreviation: iu
michael jackson	achievement	best-selling album	achievement: best-selling album
michael jackson	achievement	grammy awards	achievement: grammy awards
michael jackson	achievement	iconic music video	achievement: iconic music video
george michael	achievements	fame	achievements: fame
lionel richie	achievements	best-selling artist	achievements: best-selling artist
lionel richie	achievements	grammy award winner	achievements: grammy award winner
kylie minogue	achievements	aristocrat of country music	achievements: aristocrat of country music
lionel richie	achievements	grammy awards	achievements: grammy awards
lionel richie	achievements	american music awards	achievements: american music awards
lionel richie	achievements	billboard hot 100	achievements: billboard hot 100
michael jackson	achievements	thrice grammy award winner	achievements: thrice grammy award winner
gerri halliwell	achievements	chart-topping hits	achievements: chart-topping hits
reba mcentire	achievements	inducted into the country music hall of fame	achievements: inducted into the country music hall of fame
gerri halliwell	achievements	iconic pop culture	achievements: iconic pop culture
muhammad ali	achievements	heavyweight champion	achievements: heavyweight champion
muhammad ali	achievements	won 3 world championships	achievements: won 3 world championships
michael jackson	achievements	best-selling album	achievements: best-selling album
muhammad ali	achievements	olympic gold medalist	achievements: olympic gold medalist
elton john	achievements	had numerous chart-topping hits	achievements: had numerous chart-topping hits
kylie minogue	achievements	entry in the guinness world records	achievements: entry in the guinness world records
ozzy osbourne	achievements	rock and roll hall of fame	achievements: rock and roll hall of fame
george michael	achievements	success	achievements: success
quincy jones	achievements	most awarded grammy artist	achievements: most awarded grammy artist
gerri halliwell	achievements	fashion influence	achievements: fashion influence
ringo starr	achievements	won numerous awards	achievements: won numerous awards
ringo starr	achievements	inducted into the rock and roll hall of fame	achievements: inducted into the rock and roll hall of fame
selena	achievements	billboard music awards	achievements: billboard music awards
selena	achievements	american music awards	achievements: american music awards
selena	achievements	grammy awards	achievements: grammy awards
john cena	achievements	guinness world record holder	achievements: guinness world record holder
muhammad ali	achievements	lost 5 fights	achievements: lost 5 fights
muhammad ali	achievements	won 56 fights	achievements: won 56 fights
john cena	achievements	wwe champion	achievements: wwe champion
dolly parton	achievements	inducted into country music hall of fame	achievements: inducted into country music hall of fame
dolly parton	achievements	9-time grammy winner	achievements: 9-time grammy winner
reba mcentire	achievements	first female to anchor the cma awards	achievements: first female to anchor the cma awards
muhammad ali	achievements	social activist	achievements: social activist
george michael	achievements	awards	achievements: awards
willie nelson	achievements	inducted into country music hall of fame	achievements: inducted into country music hall of fame
willie nelson	achievements	grammy awards	achievements: grammy awards
elton john	achievements	sold millions of records	achievements: sold millions of records
john cena	achievements	movie roles	achievements: movie roles
gerri halliwell	achievements	chart-topping singles	achievements: chart-topping singles
bobby brown	achievements	solo artist	achievements: solo artist
tom jones	achievements	grammy award	achievements: grammy award
gerri halliwell	achievements	iconic music video	achievements: iconic music video
paul mccartney	achievements	knighted by queen elizabeth ii	achievements: knighted by queen elizabeth ii
freddie mercury	achievements	iconic songs	achievements: iconic songs
freddie mercury	achievements	iconic performances	achievements: iconic performances
freddie mercury	achievements	grammy awards	achievements: grammy awards
bobby brown	achievements	grammy award winner	achievements: grammy award winner
geri halliwell	achievements	grammy nomination	achievements: grammy nomination
muhammad ali	achievements	multiple world champion	achievements: multiple world champion
kylie minogue	achievements	grammy award	achievements: grammy award
kylie minogue	achievements	brit award	achievements: brit award
kylie minogue	achievements	multi-platinum sales	achievements: multi-platinum sales
ozzy osbourne	achievements	grammy award	achievements: grammy award
gerri halliwell	achievements	best-selling album	achievements: best-selling album
michael jackson	achievements	iconic music video	achievements: iconic music video
geri halliwell	achievements	best-selling album	achievements: best-selling album
john cena	achievements	singing career	achievements: singing career
muhammad ali	achievements	3-time heavyweight champion	achievements: 3-time heavyweight champion
selena	achievements	american music award	achievements: american music award
muhammad ali	achievements	held multiple championships	achievements: held multiple championships
elton john	achievements	knighted by queen elizabeth ii	achievements: knighted by queen elizabeth ii
elton john	achievements	inducted into rock and roll hall of fame	achievements: inducted into rock and roll hall of fame
jennifer lopez	achievements	grammy award winner	achievements: grammy award winner
jennifer lopez	achievements	golden globe nominee	achievements: golden globe nominee
paul mccartney	achievements	inducted into rock and roll hall of fame	achievements: inducted into rock and roll hall of fame
michael jackson	achievements	record sales	achievements: record sales
michael jackson	achievements	grammy awards	achievements: grammy awards
michael jackson	achievements	iconic music videos	achievements: iconic music videos
robbie williams	achievements	world tours	achievements: world tours
robbie williams	achievements	best-selling album	achievements: best-selling album
selena	achievements	grammy award	achievements: grammy award
michael jackson	achievements	legendary music video	achievements: legendary music video
michael jackson	achievements	record-breaking concert	achievements: record-breaking concert
michael jackson	achievements	iconic album	achievements: iconic album
tom jones	achievements	brit award	achievements: brit award
michael jackson	achievements	most awarded artist	achievements: most awarded artist
robbie williams	achievements	chart-topping singles	achievements: chart-topping singles
quincy jones	achievements	most nominated grammy artist	achievements: most nominated grammy artist
dolly parton	acting	awards	acting: awards
dolly parton	acting	nominations	acting: nominations
dolly parton	acting	tv shows	acting: tv shows
dolly parton	acting	movies	acting: movies
kris kristofferson	acting career	golden globe nomination	acting career: golden globe nomination
kris kristofferson	acting career	film roles	acting career: film roles
kris kristofferson	acting career	tv appearances	acting career: tv appearances
kris kristofferson	acting career	awards	acting career: awards
slash	action	used in sports	action: used in sports
slash	action	used in combat	action: used in combat
prince	actions	rescues princess	actions: rescues princess
prince	actions	wages war	actions: wages war
prince	actions	rescue damsel	actions: rescue damsel
prince	actions	slay dragon	actions: slay dragon
prince	actions	rule wisely	actions: rule wisely
shakira	active since	1993	active since: 1993
tracy chapman	active years	1990s	active years: 1990s
tracy chapman	active years	1988-1999	active years: 1988-1999
tracy chapman	active years	1995	active years: 1995
tracy chapman	active years	1988	active years: 1988
tracy chapman	active years	present	active years: present
tracy chapman	active years	2000-present	active years: 2000-present
tracy chapman	active years	1980s	active years: 1980s
tom jones	active years	1980s	active years: 1980s
tom jones	active years	1960s	active years: 1960s
willie nelson	active years	1950s-present	active years: 1950s-present
tom jones	active years	1960s-2000s	active years: 1960s-2000s
lil wayne	active years	1995-2019	active years: 1995-2019
billy joel	active years	1990s	active years: 1990s
billy joel	active years	1980s	active years: 1980s
tom jones	active years	1970s	active years: 1970s
billy joel	active years	1970s	active years: 1970s
whoopi goldberg	activism	lgbtq+ rights	activism: lgbtq+ rights
john lennon	activism	peace movement	activism: peace movement
whoopi goldberg	activism	civil rights	activism: civil rights
john lennon	activism	anti-war	activism: anti-war
whoopi goldberg	activism	women's rights	activism: women's rights
prince	activities	hunting	activities: hunting
prince	activities	dancing	activities: dancing
prince	activities	warring	activities: warring
prince	activities	ruling	activities: ruling
prince	activities	waging war	activities: waging war
prince	activities	attending royal events	activities: attending royal events
dr. dre	affiliation	aftermath entertainment	affiliation: aftermath entertainment
dr. dre	affiliation	n.w.a.	affiliation: n.w.a.
dr. dre	affiliation	beats electronics	affiliation: beats electronics
leighton meester	age	american	age: american
leighton meester	age	36 years old as of 2022	age: 36 years old as of 2022
ed sheeran	age	30s	age: 30s
chris rock	age	over 50 years old	age: over 50 years old
chris rock	age	born in 1965	age: born in 1965
zendaya	age	late 20s	age: late 20s
miley cyrus	age	young adult	age: young adult
dolly parton	age	born in 1946	age: born in 1946
miley cyrus	age	adult	age: adult
barbra streisand	age	born in 1942	age: born in 1942
ed sheeran	age	adult	age: adult
zendaya	age	young	age: young
zendaya	age	adult	age: adult
prince	age	young	age: young
will smith	age	born in 1968	age: born in 1968
prince	age	adult	age: adult
will smith	age	age is 54	age: age is 54
emma roberts	age	30s	age: 30s
zendaya	age	young adult	age: young adult
emma roberts	age	born in 1991	age: born in 1991
emma roberts	age	late 20s	age: late 20s
leighton meester	age	born in 1986	age: born in 1986
emma roberts	age	adult	age: adult
jennifer lopez	age	over 50	age: over 50
robbie williams	age_group	middle-aged	age_group: middle-aged
robbie williams	age_group	adult	age_group: adult
shania twain	album	now	album: now
leighton meester	album	heartbeat	album: heartbeat
david bowie	album	space oddity	album: space oddity
adele	album	25	album: 25
david bowie	album	heroes	album: heroes
adele	album	21	album: 21
ed sheeran	album	÷	album: ÷
david bowie	album	the rise and fall of ziggy stardust and the spiders from mars	album: the rise and fall of ziggy stardust and the spiders from mars
leighton meester	album	everywhere and a hundred miles	album: everywhere and a hundred miles
adele	album	30	album: 30
shania twain	album	up!	album: up!
ed sheeran	album	no.6 collaborations project	album: no.6 collaborations project
