concept	facet	property	facet_property
mount tongariro	access	hiking trails	access: hiking trails
wildstrubel	access	mountain climbing	access: mountain climbing
wildstrubel	access	guided tours	access: guided tours
jungfrau	access	train station	access: train station
jungfrau	access	hiking trails	access: hiking trails
jungfrau	access	cable car	access: cable car
jungfrau	access	mountaineering	access: mountaineering
table mountain	access	cableway	access: cableway
trolltunga	access	trail	access: trail
table mountain	access	hiking trails	access: hiking trails
medvědí vrch	access	by public transportation	access: by public transportation
mount nyangani	access	parking lot	access: parking lot
mount kailash	access	trekking	access: trekking
mount kailash	access	tourist destination	access: tourist destination
cerro palúa	access	by car	access: by car
cerro palúa	access	by public transportation	access: by public transportation
wildstrubel	access	hiking	access: hiking
jungfrau	access	hiking	access: hiking
jungfrau	access	train	access: train
table mountain	access	hiking	access: hiking
mount adams	access	scenic drive	access: scenic drive
mount wutai	access	public transportation	access: public transportation
mount wutai	access	cable car	access: cable car
mount wutai	access	hiking	access: hiking
stanserhorn	access	scenic views	access: scenic views
stanserhorn	access	hiking	access: hiking
stanserhorn	access	cable car	access: cable car
medvědí vrch	access	by foot	access: by foot
trolltunga	access	guided tour	access: guided tour
mount elbrus	access	guide required	access: guide required
schreckhorn	access	mountain hut	access: mountain hut
schreckhorn	access	cable car	access: cable car
schreckhorn	access	hiking	access: hiking
medvědí vrch	access	near villages	access: near villages
medvědí vrch	access	trailhead	access: trailhead
dent blanche	access	mountain climbing	access: mountain climbing
table mountain	access	climbing	access: climbing
mount adams	access	climbing	access: climbing
table mountain	access	cable car	access: cable car
trolltunga	access	hike	access: hike
mount hermon	access	hiking	access: hiking
mount hermon	access	scenic views	access: scenic views
nanda devi	access	mountain climbing	access: mountain climbing
nanda devi	access	trekking routes	access: trekking routes
mount pilatus	access	hiking	access: hiking
mount pilatus	access	train	access: train
cima brenta	access	mountain refuge	access: mountain refuge
ben nevis	access	starting point	access: starting point
ben nevis	access	trail	access: trail
mount scopus	access	by foot	access: by foot
mount scopus	access	hike	access: hike
mount scopus	access	bus	access: bus
baekdu mountain	access	tourist destination	access: tourist destination
baekdu mountain	access	hiking	access: hiking
cima brenta	access	hiking trail	access: hiking trail
nanda devi	access	guides required	access: guides required
mount scopus	access	hiking	access: hiking
mount pilatus	access	hiking trail	access: hiking trail
mount carse	access	cairngorms national park	access: cairngorms national park
pic de bugarach	access	mountain climbing	access: mountain climbing
dent blanche	access	mountain refuge	access: mountain refuge
dent blanche	access	climbing	access: climbing
dent blanche	access	hiking	access: hiking
mount kailash	access	difficult	access: difficult
mount kailash	access	remote	access: remote
cerro palúa	access	hiking trail	access: hiking trail
table mountain	access	easy access	access: easy access
mount nyangani	access	trailhead	access: trailhead
mount scopus	access	by car	access: by car
mount scopus	access	by bus	access: by bus
mount scopus	access	cable car	access: cable car
shkhara	access	mountain climbing	access: mountain climbing
shkhara	access	hiking	access: hiking
cerro palúa	access	remote location	access: remote location
mount carse	access	public footpath	access: public footpath
cerro palúa	access	hiking trails	access: hiking trails
mount adams	access	hiking	access: hiking
mount tongariro	access	parking areas	access: parking areas
mount kazbek	access	trekking	access: trekking
železná hora	access	accessible by car	access: accessible by car
mount elbrus	access	via azerbaijan	access: via azerbaijan
mount nyangani	access	hiking	access: hiking
mount nyangani	access	climbing	access: climbing
dôme du goûter	access	climbing	access: climbing
grossglockner	access	hiking trails	access: hiking trails
medvědí vrch	access	cable car	access: cable car
mount tabor	access	hiking trail	access: hiking trail
mount tabor	access	public transportation	access: public transportation
mount tongariro	access	tongariro national park	access: tongariro national park
hvannadalshnúkur	access	hiking trails	access: hiking trails
mount pindo	access	publicly accessible	access: publicly accessible
mount pindo	access	parking available	access: parking available
hvannadalshnúkur	access	guided tours	access: guided tours
ben nevis	access	scenic hike	access: scenic hike
mount scopus	access	walking	access: walking
mount scopus	access	public transportation	access: public transportation
pic de bugarach	access	hiking	access: hiking
ben nevis	access	footpath	access: footpath
mount kailash	access	pilgrimage	access: pilgrimage
mount pilatus	access	cable car	access: cable car
mount pilatus	access	hiking trails	access: hiking trails
cerro chirripó	access	difficult	access: difficult
železná hora	access	accessible by public transportation	access: accessible by public transportation
cerro chirripó	access	requiring hiking or climbing skills	access: requiring hiking or climbing skills
mount scopus	access	accessible by bus	access: accessible by bus
mount hermon	access	road	access: road
mount hermon	access	cable car	access: cable car
ben nevis	access	steep climb	access: steep climb
mount scopus	access	educational	access: educational
mount scopus	access	tourist attraction	access: tourist attraction
mount scopus	access	near hadassah medical center	access: near hadassah medical center
dôme du goûter	access	hiking	access: hiking
mount elbrus	access	climbing route	access: climbing route
cerro chirripó	access	hiking	access: hiking
cerro chirripó	access	guided tours	access: guided tours
