concept	facet	property	facet_property
mount garibaldi	access	hiking	access: hiking
mount garibaldi	access	road access	access: road access
zürichberg	access	hiking	access: hiking
zürichberg	access	bus station	access: bus station
zürichberg	access	train station	access: train station
mount roraima	access	remote location	access: remote location
mount roraima	access	requires permit	access: requires permit
mount roraima	access	difficult to climb	access: difficult to climb
mount wrangell	access	airplane	access: airplane
mount garibaldi	access	parking lot	access: parking lot
mount wrangell	access	climbing	access: climbing
mauna kea	access	mauna kea observatory visitor information station	access: mauna kea observatory visitor information station
mount roraima	access	trekking	access: trekking
mount roraima	access	climbing	access: climbing
zürichberg	access	public transportation	access: public transportation
barren island	access	difficult	access: difficult
barren island	access	limited	access: limited
zürichberg	access	car parking	access: car parking
barren island	access	no infrastructure	access: no infrastructure
mount wrangell	access	hiking	access: hiking
zürichberg	access	footpath	access: footpath
mount garibaldi	access	trailhead	access: trailhead
snowdon	access	public transport	access: public transport
uetliberg	access	cable car	access: cable car
uetliberg	access	hiking	access: hiking
uetliberg	access	train station	access: train station
mount nyangani	access	hiking	access: hiking
zürichberg	access	train	access: train
zürichberg	access	bus	access: bus
zürichberg	access	car	access: car
mount nyangani	access	climbing	access: climbing
snowdon	access	hiking	access: hiking
zürichberg	access	bike	access: bike
mauna kea	access	mauna kea summit trailhead	access: mauna kea summit trailhead
snowdon	access	train station	access: train station
snowdon	access	mountain path	access: mountain path
mount garibaldi	access	backpacking	access: backpacking
snowdon	access	parking	access: parking
corcovado volcano	access	hiking	access: hiking
corcovado volcano	access	difficult terrain	access: difficult terrain
corcovado volcano	access	remote location	access: remote location
snowdon	access	parking lot	access: parking lot
snowdon	access	tourist center	access: tourist center
zürichberg	access	cable car	access: cable car
mount garibaldi	access	by helicopter	access: by helicopter
mount roraima	access	difficult to access	access: difficult to access
mount garibaldi	access	by hiking	access: by hiking
ben nevis	access	ben nevis mountain path	access: ben nevis mountain path
mount garibaldi	access	by bus	access: by bus
mount garibaldi	access	by car	access: by car
hoher kranzberg	access	hiking up	access: hiking up
ben nevis	access	steep climb	access: steep climb
