concept	facet	property	facet_property
mount nemrut	access	by hiking	access: by hiking
isla del pescado	access	ferry	access: ferry
isla del pescado	access	boat tour	access: boat tour
mount nemrut	access	from kahta	access: from kahta
cerro de los ángeles	access	by car	access: by car
mount nemrut	access	by car	access: by car
machu such'i qhuchi	access	guided tours	access: guided tours
machu such'i qhuchi	access	trekking	access: trekking
machu such'i qhuchi	access	hiking	access: hiking
rimpfischhorn	access	cable car	access: cable car
rimpfischhorn	access	hiking	access: hiking
isla de pescado	access	snorkeling	access: snorkeling
isla de pescado	access	scuba diving	access: scuba diving
isla de pescado	access	boat trip	access: boat trip
piz sesvenna	access	hiking	access: hiking
piz sesvenna	access	climbing	access: climbing
piz sesvenna	access	guide required	access: guide required
mount garibaldi	access	trailhead	access: trailhead
mount garibaldi	access	parking lot	access: parking lot
mount kazbek	access	hiking trails	access: hiking trails
cerro del verdún	access	mountain climbing	access: mountain climbing
cerro del verdún	access	hiking	access: hiking
salla qullu	access	guides required	access: guides required
salla qullu	access	mountain climbing	access: mountain climbing
cerro de los ángeles	access	hiking	access: hiking
isla del pescado	access	guided tours	access: guided tours
isla del pescado	access	research purposes only	access: research purposes only
viedma	access	road	access: road
viedma	access	bus	access: bus
viedma	access	ferry	access: ferry
isla del pescado	access	boat trip	access: boat trip
isla del pescado	access	scenic views	access: scenic views
machu picchu	access	by foot	access: by foot
mount kazbek	access	climbing routes	access: climbing routes
machu picchu	access	by bus	access: by bus
vorderer wildgundkopf	access	starting point in austria	access: starting point in austria
mount garibaldi	access	hiking trail	access: hiking trail
mount garibaldi	access	mountain route	access: mountain route
vorderer wildgundkopf	access	trailhead	access: trailhead
isla del pescado	access	popular tourist destination	access: popular tourist destination
isla del pescado	access	accessible by boat	access: accessible by boat
piz sesvenna	access	starting point in austria or italy	access: starting point in austria or italy
piz sesvenna	access	hiking trail	access: hiking trail
salla qullu	access	trekking	access: trekking
machu picchu	access	by train	access: by train
mount kazbek	access	mountain guides	access: mountain guides
cerro de los ángeles	access	by public transportation	access: by public transportation
þórisjökull	access	mountain climbing	access: mountain climbing
cerro de los ángeles	access	walking	access: walking
cerro de los ángeles	access	bus	access: bus
cerro de los ángeles	access	cable car	access: cable car
isla del pescado	access	scenic flight	access: scenic flight
mount garibaldi	access	by car or hiking	access: by car or hiking
mount garibaldi	access	trailheads near squamish and whistler	access: trailheads near squamish and whistler
isla del pescado	access	by boat	access: by boat
þórisjökull	access	hiking	access: hiking
mount arafat	accessed by	transportation	accessed by: transportation
la breya	accessed by	backpackers	accessed by: backpackers
la breya	accessed by	mountain guides	accessed by: mountain guides
la breya	accessed by	trailhead	accessed by: trailhead
zirbitzkogel	accessed by	hike	accessed by: hike
zirbitzkogel	accessed by	trail	accessed by: trail
mount garibaldi	accessed by	snowshoeing	accessed by: snowshoeing
mount arafat	accessed by	pilgrimage	accessed by: pilgrimage
mount arafat	accessed by	hiking	accessed by: hiking
mount garibaldi	accessed by	hiking	accessed by: hiking
mount garibaldi	accessed by	skiing	accessed by: skiing
blinnenhorn	accessed via	mountain lift	accessed via: mountain lift
blinnenhorn	accessed via	cable car	accessed via: cable car
blinnenhorn	accessed via	trail	accessed via: trail
caldera del atuel	accessibility	remote location	accessibility: remote location
þórisjökull	accessibility	hiking	accessibility: hiking
þórisjökull	accessibility	glacier hike	accessibility: glacier hike
piz varuna	accessibility	via hiking trail	accessibility: via hiking trail
piz varuna	accessibility	guided tours available	accessibility: guided tours available
isla del pescado	accessibility	requires boat trip	accessibility: requires boat trip
isla del pescado	accessibility	remote	accessibility: remote
wayna khunu qullu	accessibility	remote location	accessibility: remote location
mount kazbek	accessibility	remote	accessibility: remote
wayna khunu qullu	accessibility	difficult to reach	accessibility: difficult to reach
antisana volcano	accessibility	difficult to climb	accessibility: difficult to climb
þórisjökull	accessibility	hiking trail	accessibility: hiking trail
þórisjökull	accessibility	climbing route	accessibility: climbing route
cerro del verdugo	accessibility	publicly accessible	accessibility: publicly accessible
antisana volcano	accessibility	remote	accessibility: remote
þórisjökull	accessibility	difficult to reach	accessibility: difficult to reach
wila qullu	accessibility	difficult to reach	accessibility: difficult to reach
wila qullu	accessibility	remote	accessibility: remote
mount kazbek	accessibility	requires hiking	accessibility: requires hiking
kreuzeck	accessibility	lifts	accessibility: lifts
cerro del verdugo	accessibility	near city center	accessibility: near city center
þórisjökull	accessibility	remote	accessibility: remote
kreuzeck	accessibility	hiking trails	accessibility: hiking trails
caldera del atuel	accessibility	requires hiking	accessibility: requires hiking
mount kazbek	accessibility	hiking required	accessibility: hiking required
mount constance	accessibility	hiking trail	accessibility: hiking trail
mount constance	accessibility	remote location	accessibility: remote location
first	achievement	milestone	achievement: milestone
first	achievement	record	achievement: record
first	achievement	success	achievement: success
first	achievement	accomplishment	achievement: accomplishment
ojos del salado	active	extinct	active: extinct
bausen-berg	activities	hiking	activities: hiking
