concept	facet	property	facet_property
černá hora	access	by car	access: by car
ben lawers	access	hiking	access: hiking
ben lawers	access	walking	access: walking
ben lawers	access	public transport	access: public transport
gross fiescherhorn	access	hiking	access: hiking
breithorn	access	hiking	access: hiking
breithorn	access	cable car	access: cable car
breithorn	access	trail	access: trail
wildhorn	access	hiking	access: hiking
wildhorn	access	mountaineering	access: mountaineering
gross fiescherhorn	access	via ferrata	access: via ferrata
lauteraarhorn	access	mountain climbing	access: mountain climbing
černá hora	access	ski lifts	access: ski lifts
medvědí vrch	access	public transportation	access: public transportation
ben nevis	access	trail	access: trail
ben nevis	access	parking area	access: parking area
medvědí vrch	access	cycling	access: cycling
medvědí vrch	access	hiking	access: hiking
strahlhorn	access	mountain huts	access: mountain huts
strahlhorn	access	cable cars	access: cable cars
strahlhorn	access	hiking trails	access: hiking trails
zugspitze	access	by hiking	access: by hiking
jungfrau	access	train	access: train
zugspitze	access	train	access: train
černá hora	access	hiking trails	access: hiking trails
blüemlisalp	access	mountain guide	access: mountain guide
zugspitze	access	train station	access: train station
černá hora	access	by hiking	access: by hiking
černá hora	access	by bus	access: by bus
brünndenstein	access	by hiking trails	access: by hiking trails
brünndenstein	access	by cable car	access: by cable car
brünndenstein	access	by foot	access: by foot
zugspitze	access	hiking trails	access: hiking trails
jungfrau	access	cable car	access: cable car
lauteraarhorn	access	hiking trail	access: hiking trail
zugspitze	access	by cable car	access: by cable car
gross fiescherhorn	access	hiking trail	access: hiking trail
gross fiescherhorn	access	cable car	access: cable car
zugspitze	access	skiing	access: skiing
zugspitze	access	hiking	access: hiking
ober gabelhorn	access	mountain climbing	access: mountain climbing
ober gabelhorn	access	hiking	access: hiking
beinn luibhean	access	hiking trails	access: hiking trails
zugspitze	access	cable car	access: cable car
jungfrau	access	scenic views	access: scenic views
jungfrau	access	hiking	access: hiking
beinn luibhean	access	public transportation	access: public transportation
gross fiescherhorn	access	mountain hut	access: mountain hut
blüemlisalp	access	cable car	access: cable car
blüemlisalp	access	hiking	access: hiking
berneuse	accessed by	hiking	accessed by: hiking
grosser schärhorn	accessed by	cable car	accessed by: cable car
grosser schärhorn	accessed by	hiking	accessed by: hiking
berneuse	accessed by	cable car	accessed by: cable car
jungfrau	accessed by	train	accessed by: train
jungfrau	accessed by	cable car	accessed by: cable car
jungfrau	accessed by	hiking trails	accessed by: hiking trails
hundwiler höhi	accessed via	bus	accessed via: bus
hundwiler höhi	accessed via	train	accessed via: train
hundwiler höhi	accessed via	hiking trails	accessed via: hiking trails
beinn luibhean	accessibility	remote location	accessibility: remote location
jungfrau	accessibility	hiking trails	accessibility: hiking trails
medvědí vrch	accessibility	with public transportation	accessibility: with public transportation
beinn luibhean	accessibility	accessible by ferry	accessibility: accessible by ferry
medvědí vrch	accessibility	by car	accessibility: by car
aoraki / mount cook	accessibility	hiking trail	accessibility: hiking trail
medvedi vrch	accessibility	popular hiking destination	accessibility: popular hiking destination
hundwiler höhi	accessibility	hiking	accessibility: hiking
medvědí vrch	accessibility	by hiking	accessibility: by hiking
aoraki / mount cook	accessibility	helicopter access	accessibility: helicopter access
hundwiler höhi	accessibility	by public transportation	accessibility: by public transportation
ben lawers	accessibility	mountain paths	accessibility: mountain paths
ben lawers	accessibility	hiking trails	accessibility: hiking trails
jungfrau	accessibility	train station	accessibility: train station
zugspitze	accessibility	cable car	accessibility: cable car
hundwiler höhi	accessibility	by car	accessibility: by car
zugspitze	accessibility	hiking	accessibility: hiking
altmann	achievement	discovered the structure of dna	achievement: discovered the structure of dna
altman	achievement	championship	achievement: championship
altman	achievement	world series	achievement: world series
aoraki / mount cook	activities	sightseeing	activities: sightseeing
