concept	facet	property	facet_property
romano prodi	academic background	economics	academic background: economics
romano prodi	academic background	politics	academic background: politics
catherine ii of russia	accomplishments	reforms	accomplishments: reforms
winston churchill	accomplishments	played key role in forming the united nations	accomplishments: played key role in forming the united nations
winston churchill	accomplishments	led britain to victory in world war ii	accomplishments: led britain to victory in world war ii
georges pompidou	accomplishments	french nuclear program	accomplishments: french nuclear program
john paul ii	accomplishments	opposed communism	accomplishments: opposed communism
georges pompidou	accomplishments	european union expansion	accomplishments: european union expansion
georges pompidou	accomplishments	nuclear test ban treaty	accomplishments: nuclear test ban treaty
john paul ii	accomplishments	visit to israel	accomplishments: visit to israel
john paul ii	accomplishments	pope of the cold war	accomplishments: pope of the cold war
catherine ii of russia	accomplishments	expansion	accomplishments: expansion
alexander von humboldt	accomplishments	first to describe the phenomenon of isotherms	accomplishments: first to describe the phenomenon of isotherms
gerhard schröder	accomplishments	reduced unemployment	accomplishments: reduced unemployment
gerhard schröder	accomplishments	introduced minimum wage	accomplishments: introduced minimum wage
edward vii	accomplishments	ascended to throne after victoria's death	accomplishments: ascended to throne after victoria's death
alexander von humboldt	accomplishments	mapped the andes mountains	accomplishments: mapped the andes mountains
edward vii	accomplishments	abdicated to marry wallis simpson	accomplishments: abdicated to marry wallis simpson
catherine ii of russia	accomplishments	cultural development	accomplishments: cultural development
mauno koivisto	achieved	led the country during economic crisis	achieved: led the country during economic crisis
rafael heliodoro valle	achieved	government positions	achieved: government positions
rafael heliodoro valle	achieved	increased social welfare	achieved: increased social welfare
rafael heliodoro valle	achieved	diplomatic achievements	achieved: diplomatic achievements
mauno koivisto	achieved	reformed economy	achieved: reformed economy
mauno koivisto	achieved	improved relations with soviet union	achieved: improved relations with soviet union
rafael heliodoro valle	achieved	improved education system	achieved: improved education system
paul hymans	achievement	advocate for climate change	achievement: advocate for climate change
javier pérez de cuéllar	achievement	negotiated treaties	achievement: negotiated treaties
javier pérez de cuéllar	achievement	mediated conflicts	achievement: mediated conflicts
trygve lie	achievement	mediated the paris peace treaties	achievement: mediated the paris peace treaties
javier pérez de cuéllar	achievement	ending the iran-iraq war	achievement: ending the iran-iraq war
javier pérez de cuéllar	achievement	playing a key role in the cold war	achievement: playing a key role in the cold war
rafael heliodoro valle	achievement	mexican ambassador	achievement: mexican ambassador
paul hymans	achievement	first non-party president	achievement: first non-party president
john major	achievement	won the general election	achievement: won the general election
john major	achievement	reformed the national health service	achievement: reformed the national health service
jules renkin	achievement	brokered the congo free state	achievement: brokered the congo free state
boutros boutros-ghali	achievement	established the united nations preventive deployment force	achievement: established the united nations preventive deployment force
sergei lebedev	achievement	part of the soyuz tm-6 mission	achievement: part of the soyuz tm-6 mission
oleksandr turchynov	achievement	played a key role in the ukrainian government	achievement: played a key role in the ukrainian government
javier pérez de cuéllar	achievement	served as a bridge	achievement: served as a bridge
sigfrid edström	achievement	invented the zipper for practical use	achievement: invented the zipper for practical use
sergei lebedev	achievement	developed new materials	achievement: developed new materials
sergei lebedev	achievement	discovered superheavy elements	achievement: discovered superheavy elements
oleksandr turchynov	achievement	served as acting president during the 2014 ukrainian revolution	achievement: served as acting president during the 2014 ukrainian revolution
willy brandt	achievement	nobel peace prize winner	achievement: nobel peace prize winner
willy brandt	achievement	ostpolitik	achievement: ostpolitik
sergei lebedev	achievement	first person to walk in space	achievement: first person to walk in space
willy brandt	achievement	reconciliation with east germany	achievement: reconciliation with east germany
jules renkin	achievement	mediated the congo crisis	achievement: mediated the congo crisis
sigfrid edström	achievement	founding member	achievement: founding member
sigfrid edström	achievement	diplomatic career	achievement: diplomatic career
javier pérez de cuéllar	achievement	played a key role in the end of the iran-iraq war	achievement: played a key role in the end of the iran-iraq war
francisco de paula martínez de la rosa y berdejo	achievement	converted indigenous people	achievement: converted indigenous people
trygve lie	achievement	helped establish the united nations	achievement: helped establish the united nations
frans timmermans	achievement	european union's climate policy	achievement: european union's climate policy
javier pérez de cuéllar	achievement	brokered the camp david accords	achievement: brokered the camp david accords
sergei lebedev	achievement	negotiated treaties	achievement: negotiated treaties
yasser arafat	achievement	founder of the fatah movement	achievement: founder of the fatah movement
michael shaw	achievement	successful military campaigns	achievement: successful military campaigns
angela merkel	achievement	climate change policy	achievement: climate change policy
angela merkel	achievement	first female chancellor of germany	achievement: first female chancellor of germany
michael shaw	achievement	promoted to general	achievement: promoted to general
trygve lie	achievement	served as secretary-general during world war ii	achievement: served as secretary-general during world war ii
donald tusk	achievement	played a key role in the eu's response to the ukrainian crisis	achievement: played a key role in the eu's response to the ukrainian crisis
donald tusk	achievement	brokered a deal to keep greece in the eurozone	achievement: brokered a deal to keep greece in the eurozone
trygve lie	achievement	played key role in establishing united nations	achievement: played key role in establishing united nations
louis bonaparte	achievement	founded the kingdom of holland	achievement: founded the kingdom of holland
lamine diack	achievement	won olympic gold	achievement: won olympic gold
trygve lie	achievement	first secretary-general of the united nations	achievement: first secretary-general of the united nations
lamine diack	achievement	set multiple world records	achievement: set multiple world records
lamine diack	achievement	held multiple championships	achievement: held multiple championships
fidel castro	achievement	established socialist government	achievement: established socialist government
robert schuman	achievement	created the european coal and steel community	achievement: created the european coal and steel community
robert schuman	achievement	proposed the schuman plan	achievement: proposed the schuman plan
