concept	facet	property	facet_property
john maynard keynes	academic affiliation	cambridge university	academic affiliation: cambridge university
catherine ii of russia	accomplishments	arts	accomplishments: arts
catherine ii of russia	accomplishments	reforms	accomplishments: reforms
calvin coolidge	accomplishments	tax cuts	accomplishments: tax cuts
pierre-joseph proudhon	accomplishments	criticized capitalism	accomplishments: criticized capitalism
catherine ii of russia	accomplishments	reforms in education	accomplishments: reforms in education
catherine ii of russia	accomplishments	education	accomplishments: education
catherine ii of russia	accomplishments	reforms in healthcare	accomplishments: reforms in healthcare
georges pompidou	accomplishments	reform of french economy	accomplishments: reform of french economy
catherine ii of russia	accomplishments	architecture	accomplishments: architecture
georges pompidou	accomplishments	reform of french education	accomplishments: reform of french education
catherine ii of russia	accomplishments	reforms in architecture	accomplishments: reforms in architecture
calvin coolidge	accomplishments	reduced national debt	accomplishments: reduced national debt
catherine ii of russia	accomplishments	art	accomplishments: art
pierre-joseph proudhon	accomplishments	developed concept of mutualism	accomplishments: developed concept of mutualism
john mcenroe	achieved	davis cup winner	achieved: davis cup winner
john mcenroe	achieved	wimbledon champion	achieved: wimbledon champion
john mcenroe	achieved	us open champion	achieved: us open champion
franz jonas	achievement	first president of austria after world war ii	achievement: first president of austria after world war ii
abbad ii al-mu'tadid	achievement	expanded the city's infrastructure	achievement: expanded the city's infrastructure
toshiko takeya	achievement	won the all-japan women's pro-wrestling championship	achievement: won the all-japan women's pro-wrestling championship
ignacy łukasiewicz	achievement	developed petroleum industry	achievement: developed petroleum industry
walter breisky	achievement	invented the first	achievement: invented the first
digby jones	achievement	advocated for trade	achievement: advocated for trade
ignacy łukasiewicz	achievement	invention of the first oil refinery	achievement: invention of the first oil refinery
walter breisky	achievement	developed the process	achievement: developed the process
robert schuman	achievement	schuman plan	achievement: schuman plan
robert schuman	achievement	european coal and steel community	achievement: european coal and steel community
vasco núñez de balboa	achievement	discoverer of the pacific ocean	achievement: discoverer of the pacific ocean
georges pompidou	achievement	president of france	achievement: president of france
georges pompidou	achievement	prime minister of france	achievement: prime minister of france
vasco núñez de balboa	achievement	first european to reach the pacific ocean	achievement: first european to reach the pacific ocean
georges pompidou	achievement	nuclear policy	achievement: nuclear policy
francisco solano lópez	achievement	led the paraguayan army	achievement: led the paraguayan army
francisco solano lópez	achievement	negotiated with brazil	achievement: negotiated with brazil
ignacy łukasiewicz	achievement	development of the first kerosene lamp	achievement: development of the first kerosene lamp
walter breisky	achievement	held the patent	achievement: held the patent
manuel blanco encalada	achievement	first president of chile	achievement: first president of chile
ernest rutherford	achievement	developed atomic model	achievement: developed atomic model
john adams	achievement	diplomatic skills	achievement: diplomatic skills
digby jones	achievement	promoting entrepreneurship	achievement: promoting entrepreneurship
john tsang	achievement	budget expert	achievement: budget expert
ignacy łukasiewicz	achievement	made significant contributions to chemistry	achievement: made significant contributions to chemistry
john gregg	achievement	first openly gay person elected to statewide office in texas	achievement: first openly gay person elected to statewide office in texas
ignacy łukasiewicz	achievement	invented lamp	achievement: invented lamp
manuel blanco encalada	achievement	first president	achievement: first president
manuel blanco encalada	achievement	fought for independence	achievement: fought for independence
ignacy łukasiewicz	achievement	developed first oil refinery	achievement: developed first oil refinery
vasco núñez de balboa	achievement	first european to see pacific ocean	achievement: first european to see pacific ocean
angela merkel	achievement	climate change efforts	achievement: climate change efforts
digby jones	achievement	boosting business growth	achievement: boosting business growth
digby jones	achievement	advocating for free trade	achievement: advocating for free trade
angela merkel	achievement	reunification of germany	achievement: reunification of germany
vasco núñez de balboa	achievement	discovery of pacific ocean	achievement: discovery of pacific ocean
toshiko takeya	achievement	awarded with the nobel peace prize	achievement: awarded with the nobel peace prize
john tsang	achievement	reduced deficit	achievement: reduced deficit
john tsang	achievement	balanced budget	achievement: balanced budget
john hamilton	achievement	served as judge	achievement: served as judge
john tsang	achievement	fiscal responsibility	achievement: fiscal responsibility
john tsang	achievement	budget surplus	achievement: budget surplus
john hamilton	achievement	served in the continental congress	achievement: served in the continental congress
james scullin	achievement	first labor prime minister	achievement: first labor prime minister
james scullin	achievement	introduced universal suffrage	achievement: introduced universal suffrage
manuel blanco encalada	achievement	founding father of peru	achievement: founding father of peru
muhammad rafiq tarar	achievement	diplomatic missions	achievement: diplomatic missions
ernest rutherford	achievement	split atom	achievement: split atom
ernest rutherford	achievement	discovered nucleus	achievement: discovered nucleus
muhammad rafiq tarar	achievement	parliamentary service	achievement: parliamentary service
abbad ii al-mu'tadid	achievement	founded the taifa of granada	achievement: founded the taifa of granada
john adams	achievement	presidential legacy	achievement: presidential legacy
vasco núñez de balboa	achievement	discoverer of the pacific coast of south america	achievement: discoverer of the pacific coast of south america
horst köhler	achievement	strengthening transatlantic relations	achievement: strengthening transatlantic relations
horst köhler	achievement	implementing economic reforms	achievement: implementing economic reforms
john crittenden	achievement	compromise of 1850	achievement: compromise of 1850
john crittenden	achievement	kansas-nebraska act	achievement: kansas-nebraska act
manuel blanco encalada	achievement	peruvian ambassador	achievement: peruvian ambassador
chun doo-hwan	achievement	stabilized economy	achievement: stabilized economy
vasco núñez de balboa	achievement	first european to see the pacific ocean	achievement: first european to see the pacific ocean
chun doo-hwan	achievement	maintained national security	achievement: maintained national security
vasco núñez de balboa	achievement	discoverer of pacific coast of south america	achievement: discoverer of pacific coast of south america
ignacy łukasiewicz	achievement	invented lamp oil	achievement: invented lamp oil
horst köhler	achievement	reforming pension system	achievement: reforming pension system
digby jones	achievement	promoted british business interests	achievement: promoted british business interests
digby jones	achievement	helped to promote british trade and industry	achievement: helped to promote british trade and industry
ignacy łukasiewicz	achievement	developed oil industry	achievement: developed oil industry
horst köhler	achievement	increasing military spending	achievement: increasing military spending
suren khachatryan	achievements	reforms in education and healthcare	achievements: reforms in education and healthcare
john adams	achievements	drafted massachusetts constitution	achievements: drafted massachusetts constitution
abbad ii al-mu'tadid	achievements	improved agriculture	achievements: improved agriculture
john adams	achievements	served as ambassador to great britain	achievements: served as ambassador to great britain
john tsang	achievements	budget surplus	achievements: budget surplus
abbad ii al-mu'tadid	achievements	promoted education	achievements: promoted education
john tyler	achievements	signed the webster-ashburton treaty	achievements: signed the webster-ashburton treaty
franz jonas	achievements	brokered peace between austria and hungary	achievements: brokered peace between austria and hungary
indira gandhi	achievements	implemented green revolution	achievements: implemented green revolution
catherine ii of russia	achievements	arts	achievements: arts
willem drees	achievements	rebuilding netherlands	achievements: rebuilding netherlands
indira gandhi	achievements	played key role in india's independence	achievements: played key role in india's independence
abbad ii al-mu'tadid	achievements	restored the caliphate's authority	achievements: restored the caliphate's authority
abbad ii al-mu'tadid	achievements	reorganized the administration	achievements: reorganized the administration
biljana plavšić	achievements	peace activist	achievements: peace activist
biljana plavšić	achievements	human rights advocate	achievements: human rights advocate
biljana plavšić	achievements	diplomat	achievements: diplomat
kim jong-il	achievements	improved military	achievements: improved military
kim jong-il	achievements	reorganized economy	achievements: reorganized economy
kim jong-il	achievements	improved economy	achievements: improved economy
john quincy adams	achievements	london jay treaty	achievements: london jay treaty
kim jong-il	achievements	maintained control over north korea	achievements: maintained control over north korea
abbad ii al-mu'tadid	achievements	restored baghdad's water supply	achievements: restored baghdad's water supply
walter breisky	achievements	reformed austrian economy	achievements: reformed austrian economy
walter breisky	achievements	improved education system	achievements: improved education system
chen shui-bian	achievements	reform	achievements: reform
abbad ii al-mu'tadid	achievements	founded marrakech	achievements: founded marrakech
john tyler	achievements	first vice president to assume the presidency	achievements: first vice president to assume the presidency
franz jonas	achievements	served as president of austria	achievements: served as president of austria
abbad ii al-mu'tadid	achievements	conquered spain	achievements: conquered spain
john adams	achievements	played key role in american revolution	achievements: played key role in american revolution
józef piłsudski	achievements	played key role in polish-soviet war	achievements: played key role in polish-soviet war
franz jonas	achievements	promoted european integration	achievements: promoted european integration
abbad ii al-mu'tadid	achievements	fostered arts and sciences	achievements: fostered arts and sciences
chen shui-bian	achievements	democratization	achievements: democratization
abbad ii al-mu'tadid	achievements	built infrastructure	achievements: built infrastructure
toshiko takeya	achievements	founded women's international league for peace and freedom	achievements: founded women's international league for peace and freedom
toshiko takeya	achievements	participated in hiroshima peace declarations	achievements: participated in hiroshima peace declarations
achille van acker	achievements	reconstruction of belgium	achievements: reconstruction of belgium
catherine ii of russia	achievements	architecture	achievements: architecture
abbad ii al-mu'tadid	achievements	maintained relations with other emirates	achievements: maintained relations with other emirates
biljana plavšić	achievements	recipient of the right livelihood award	achievements: recipient of the right livelihood award
kim jong-il	achievements	developed nuclear weapons	achievements: developed nuclear weapons
john adams	achievements	helped draft the constitution	achievements: helped draft the constitution
john quincy adams	achievements	naval acts	achievements: naval acts
lisa murkowski	achievements	first female senator from alaska	achievements: first female senator from alaska
chen shui-bian	achievements	normalized relations with china	achievements: normalized relations with china
john curtin	achievements	played key role in australia's involvement in the war	achievements: played key role in australia's involvement in the war
chen shui-bian	achievements	promoted taiwanese identity	achievements: promoted taiwanese identity
john major	achievements	played a key role in the maastricht treaty	achievements: played a key role in the maastricht treaty
john major	achievements	economic reforms	achievements: economic reforms
john major	achievements	served as chancellor of the exchequer	achievements: served as chancellor of the exchequer
john crittenden	achievements	helped to draft the constitution	achievements: helped to draft the constitution
carlos ibáñez del campo	achievements	presided over the chilean government during the great depression	achievements: presided over the chilean government during the great depression
carlos ibáñez del campo	achievements	played a key role in the chilean coup of 1932	achievements: played a key role in the chilean coup of 1932
suren khachatryan	achievements	normalization of relations with russia	achievements: normalization of relations with russia
suren khachatryan	achievements	reform of the armenian army	achievements: reform of the armenian army
robert cecil	achievements	negotiated treaty of london	achievements: negotiated treaty of london
robert cecil	achievements	played key role in spanish succession	achievements: played key role in spanish succession
chen shui-bian	achievements	signed the cross-strait agreement	achievements: signed the cross-strait agreement
willem drees	achievements	promoting social welfare	achievements: promoting social welfare
muhyiddin of brunei	achievements	promoted islamic education	achievements: promoted islamic education
muhyiddin of brunei	achievements	developed oil and gas industry	achievements: developed oil and gas industry
bev perdue	achievements	budget management	achievements: budget management
lisa murkowski	achievements	author of laws	achievements: author of laws
john curtin	achievements	fostered international relations	achievements: fostered international relations
john major	achievements	good friday agreement	achievements: good friday agreement
bev perdue	achievements	job creation	achievements: job creation
john curtin	achievements	preserved australian sovereignty	achievements: preserved australian sovereignty
john mcenroe	achievements	davis cup champion	achievements: davis cup champion
john mcenroe	achievements	grand slam winner	achievements: grand slam winner
vasco núñez de balboa	achievements	first european to see the pacific ocean	achievements: first european to see the pacific ocean
angela merkel	achievements	refugee crisis management	achievements: refugee crisis management
chen shui-bian	achievements	elected as president	achievements: elected as president
vasco núñez de balboa	achievements	discoverer of the coast of south america	achievements: discoverer of the coast of south america
luigi einaudi	achievements	implemented social reforms	achievements: implemented social reforms
john adams	achievements	played a key role in the american revolution	achievements: played a key role in the american revolution
ernest rutherford	achievements	fellow of the royal society	achievements: fellow of the royal society
georges pompidou	achievements	founding member of the european union	achievements: founding member of the european union
john crittenden	achievements	negotiated the treaty of paris	achievements: negotiated the treaty of paris
georges pompidou	achievements	prime minister of france	achievements: prime minister of france
georges pompidou	achievements	president of france	achievements: president of france
angela merkel	achievements	climate change policy	achievements: climate change policy
muhyiddin of brunei	achievements	maintained country's stability	achievements: maintained country's stability
uthman ibn affan	achievements	established the caliphate	achievements: established the caliphate
uthman ibn affan	achievements	reorganized the government	achievements: reorganized the government
bev perdue	achievements	education reform	achievements: education reform
bev perdue	achievements	healthcare reform	achievements: healthcare reform
john curtin	achievements	managed post-war reconstruction	achievements: managed post-war reconstruction
achille van acker	achievements	european integration	achievements: european integration
abbad ii al-mu'tadid	achievements	restored islamic law	achievements: restored islamic law
catherine ii of russia	achievements	reforms	achievements: reforms
catherine ii of russia	achievements	expansion of russia	achievements: expansion of russia
catherine ii of russia	achievements	patronage of arts	achievements: patronage of arts
jean-luc dehaene	achievements	leading the government	achievements: leading the government
józef piłsudski	achievements	established second polish republic	achievements: established second polish republic
jean-luc dehaene	achievements	playing a key role in european integration	achievements: playing a key role in european integration
john f. kennedy	achievements	space exploration	achievements: space exploration
john f. kennedy	achievements	civil rights	achievements: civil rights
john f. kennedy	achievements	foreign policy	achievements: foreign policy
