concept	facet	property	facet_property
nahid kulenović	academic background	university of sarajevo	academic background: university of sarajevo
nahid kulenović	academic background	phd	academic background: phd
bertrand russell	academic_positions	cambridge university	academic_positions: cambridge university
bertrand russell	academic_positions	university of london	academic_positions: university of london
chester a. arthur	accomplishments	died of bright's disease	accomplishments: died of bright's disease
chester a. arthur	accomplishments	signed the chinese exclusion act	accomplishments: signed the chinese exclusion act
chester a. arthur	accomplishments	appointed several supreme court justices	accomplishments: appointed several supreme court justices
friedrich ebert	accomplishments	presidential term during weimar republic	accomplishments: presidential term during weimar republic
friedrich ebert	accomplishments	founding of spd	accomplishments: founding of spd
sejong the great	accomplishments	improved governance	accomplishments: improved governance
sejong the great	accomplishments	promoted education	accomplishments: promoted education
sejong the great	accomplishments	created hangul	accomplishments: created hangul
john quincy adams	accomplishments	monroe doctrine	accomplishments: monroe doctrine
john quincy adams	accomplishments	adams-onís treaty	accomplishments: adams-onís treaty
benito mussolini	accomplishments	led italy in world war ii	accomplishments: led italy in world war ii
benito mussolini	accomplishments	established fascist party	accomplishments: established fascist party
john f. kennedy	accomplishments	cuban missile crisis	accomplishments: cuban missile crisis
rutherford b. hayes	accomplishments	compromise of 1877	accomplishments: compromise of 1877
john f. kennedy	accomplishments	space exploration	accomplishments: space exploration
friedrich ebert	accomplishments	promoted social reform	accomplishments: promoted social reform
friedrich ebert	accomplishments	helped establish the weimar republic	accomplishments: helped establish the weimar republic
woodrow wilson	accomplishments	created federal reserve	accomplishments: created federal reserve
woodrow wilson	accomplishments	led the us in wwi	accomplishments: led the us in wwi
woodrow wilson	accomplishments	founded the league of nations	accomplishments: founded the league of nations
chester a. arthur	accomplishments	tariff reform	accomplishments: tariff reform
chester a. arthur	accomplishments	civil service reform	accomplishments: civil service reform
chester a. arthur	accomplishments	diplomatic missions	accomplishments: diplomatic missions
william mckinley	accomplishments	supported the tariff of 1890	accomplishments: supported the tariff of 1890
william mckinley	accomplishments	sponsored the bi-metallic standard act	accomplishments: sponsored the bi-metallic standard act
john f. kennedy	accomplishments	civil rights	accomplishments: civil rights
rutherford b. hayes	accomplishments	end of reconstruction	accomplishments: end of reconstruction
benito mussolini	accomplishments	created corporative state	accomplishments: created corporative state
