concept	facet	property	facet_property
simon jenko	abilities	proficient in firearms	abilities: proficient in firearms
simon jenko	abilities	expert in surveillance	abilities: expert in surveillance
simon jenko	abilities	problem-solving	abilities: problem-solving
simon jenko	abilities	fighting skills	abilities: fighting skills
simon jenko	abilities	expertise in forensic science	abilities: expertise in forensic science
simon jenko	abilities	intelligent	abilities: intelligent
simon jenko	abilities	strong work ethic	abilities: strong work ethic
simon jenko	abilities	strategic thinking	abilities: strategic thinking
simon jenko	abilities	physical strength	abilities: physical strength
simon jenko	abilities	investigative skills	abilities: investigative skills
simon jenko	abilities	analytical skills	abilities: analytical skills
simon jenko	abilities	strong	abilities: strong
simon jenko	abilities	skilled in martial arts	abilities: skilled in martial arts
montesquieu	academic	rector of the university of bordeaux	academic: rector of the university of bordeaux
montesquieu	academic	president of the académie des inscriptions et belles-lettres	academic: president of the académie des inscriptions et belles-lettres
hubert rouger	academic background	university education	academic background: university education
hubert rouger	academic background	doctoral degree	academic background: doctoral degree
karl marx	academic background	university of berlin	academic background: university of berlin
karl marx	academic background	doctor of philosophy	academic background: doctor of philosophy
karl marx	academic background	heidelberg university	academic background: heidelberg university
friedrich theodor vischer	academic role	professor of theology	academic role: professor of theology
friedrich theodor vischer	academic role	professor of philosophy	academic role: professor of philosophy
william mckinley	accomplishments	tariff act of 1890	accomplishments: tariff act of 1890
millard fillmore	accomplishments	signed the fugitive slave act	accomplishments: signed the fugitive slave act
millard fillmore	accomplishments	established the bureau of indian affairs	accomplishments: established the bureau of indian affairs
thomas jefferson	accomplishments	supported louisiana purchase	accomplishments: supported louisiana purchase
thomas jefferson	accomplishments	expanded us territory	accomplishments: expanded us territory
francisco antonio pinto	accomplishments	helped establish brazilian independence	accomplishments: helped establish brazilian independence
senusret iii	accomplishments	built temples	accomplishments: built temples
thomas jefferson	accomplishments	wrote declaration of independence	accomplishments: wrote declaration of independence
thomas jefferson	accomplishments	wrote the declaration of independence	accomplishments: wrote the declaration of independence
francisco antonio pinto	accomplishments	played key role in brazilian war of independence	accomplishments: played key role in brazilian war of independence
thomas jefferson	accomplishments	expanded the country through the louisiana purchase	accomplishments: expanded the country through the louisiana purchase
senusret iii	accomplishments	expanded egyptian empire	accomplishments: expanded egyptian empire
senusret iii	accomplishments	improved irrigation	accomplishments: improved irrigation
william mckinley	accomplishments	gold standard act	accomplishments: gold standard act
ulysses s. grant	accomplishments	signing the ku klux klan act	accomplishments: signing the ku klux klan act
ulysses s. grant	accomplishments	rebuilding the south	accomplishments: rebuilding the south
gerald ford	accomplishments	signing helsinki accords	accomplishments: signing helsinki accords
millard fillmore	accomplishments	stronger navy	accomplishments: stronger navy
millard fillmore	accomplishments	tariff of 1846	accomplishments: tariff of 1846
thomas jefferson	accomplishments	drafted the declaration of independence	accomplishments: drafted the declaration of independence
thomas jefferson	accomplishments	was a scientist	accomplishments: was a scientist
thomas jefferson	accomplishments	expanded the territory of the united states	accomplishments: expanded the territory of the united states
hadrian	accomplishments	reorganized roman empire	accomplishments: reorganized roman empire
hadrian	accomplishments	improved infrastructure	accomplishments: improved infrastructure
tiberius	accomplishments	reorganized roman administration	accomplishments: reorganized roman administration
tiberius	accomplishments	expanded roman empire	accomplishments: expanded roman empire
john paul ii	accomplishments	human rights	accomplishments: human rights
john paul ii	accomplishments	ecumenism	accomplishments: ecumenism
gerald ford	accomplishments	pardoning nixon	accomplishments: pardoning nixon
john paul ii	accomplishments	reform	accomplishments: reform
jimmy carter	accomplishments	human rights advocate	accomplishments: human rights advocate
ulysses s grant	accomplishments	served two terms as president	accomplishments: served two terms as president
ulysses s grant	accomplishments	signed ku klux klan act	accomplishments: signed ku klux klan act
ulysses s grant	accomplishments	established department of justice	accomplishments: established department of justice
gaius valgius rufus	accomplishments	wrote a book on military tactics	accomplishments: wrote a book on military tactics
gaius valgius rufus	accomplishments	held high-ranking offices	accomplishments: held high-ranking offices
thomas jefferson	accomplishments	founded university of virginia	accomplishments: founded university of virginia
ulysses s. grant	accomplishments	ending the civil war	accomplishments: ending the civil war
ulysses s. grant	accomplishments	preserving the union	accomplishments: preserving the union
julius caesar	accomplishments	reforming roman calendar	accomplishments: reforming roman calendar
julius caesar	accomplishments	conquering gaul	accomplishments: conquering gaul
jimmy carter	accomplishments	camp david accords	accomplishments: camp david accords
ulysses s. grant	accomplishments	winning the civil war	accomplishments: winning the civil war
julius caesar	accomplishments	expanding roman empire	accomplishments: expanding roman empire
richard nixon	accomplishments	ending the war in vietnam	accomplishments: ending the war in vietnam
richard nixon	accomplishments	opening relations with china	accomplishments: opening relations with china
harvey milk	accomplishments	promoted tolerance and acceptance	accomplishments: promoted tolerance and acceptance
harvey milk	accomplishments	fought for lgbtq+ rights	accomplishments: fought for lgbtq+ rights
senusret iii	accomplishments	built pyramids	accomplishments: built pyramids
senusret iii	accomplishments	expansive military campaigns	accomplishments: expansive military campaigns
kurt waldheim	achieved	served as president of austria	achieved: served as president of austria
boutros boutros-ghali	achieved	faced opposition from the us	achieved: faced opposition from the us
kurt waldheim	achieved	received nobel peace prize	achieved: received nobel peace prize
kurt waldheim	achieved	served as un secretary-general	achieved: served as un secretary-general
boutros boutros-ghali	achieved	promoted un reform	achieved: promoted un reform
vitali klitschko	achievement	wbc heavyweight champion	achievement: wbc heavyweight champion
vitali klitschko	achievement	ibf heavyweight champion	achievement: ibf heavyweight champion
muhammad rafiq tarar	achievement	improved food security	achievement: improved food security
marijan brecelj	achievement	developed theory of	achievement: developed theory of
marijan brecelj	achievement	contributed to	achievement: contributed to
muhammad rafiq tarar	achievement	reformed agriculture sector	achievement: reformed agriculture sector
michael mayr	achievement	won the austrian grand prix	achievement: won the austrian grand prix
marijan brecelj	achievement	published book on	achievement: published book on
gaius valgius rufus	achievement	fought in punic wars	achievement: fought in punic wars
johann wolfgang von goethe	achievement	founder of weimar classicism	achievement: founder of weimar classicism
johann wolfgang von goethe	achievement	influence on friedrich nietzsche	achievement: influence on friedrich nietzsche
jacob grimm	achievement	grimm's fairy tales	achievement: grimm's fairy tales
giuseppe garibaldi	achievement	capture of rome	achievement: capture of rome
giuseppe garibaldi	achievement	battle of aspromonte	achievement: battle of aspromonte
giuseppe garibaldi	achievement	battle of mentana	achievement: battle of mentana
edmund barton	achievement	served as prime minister from 1901 to 1903	achievement: served as prime minister from 1901 to 1903
edmund barton	achievement	helped form the australian commonwealth	achievement: helped form the australian commonwealth
gaius valgius rufus	achievement	wrote about military tactics	achievement: wrote about military tactics
garry kasparov	achievement	author of books	achievement: author of books
garry kasparov	achievement	world chess champion	achievement: world chess champion
john maynard keynes	achievement	shaping british economic policy	achievement: shaping british economic policy
john maynard keynes	achievement	founding father of modern macroeconomics	achievement: founding father of modern macroeconomics
søren tybring	achievement	renowned for high-quality chocolate	achievement: renowned for high-quality chocolate
søren tybring	achievement	founder of la maison du chocolat	achievement: founder of la maison du chocolat
michael mayr	achievement	won the european grand prix	achievement: won the european grand prix
garry kasparov	achievement	winner of many tournaments	achievement: winner of many tournaments
albert hofmann	achievement	pioneered psychedelic research	achievement: pioneered psychedelic research
alberto bayo	achievement	held political office	achievement: held political office
alberto bayo	achievement	flew with republican forces	achievement: flew with republican forces
alberto bayo	achievement	highly decorated	achievement: highly decorated
senusret iii	achievement	built the bent pyramid	achievement: built the bent pyramid
senusret iii	achievement	expanded the pyramid complex	achievement: expanded the pyramid complex
giuseppe garibaldi	achievement	unification of italy	achievement: unification of italy
giuseppe garibaldi	achievement	battle of magenta	achievement: battle of magenta
michael mayr	achievement	holder of multiple world records	achievement: holder of multiple world records
michael mayr	achievement	known for his aerobatic skills	achievement: known for his aerobatic skills
francisco antonio pinto	achievement	fought in brazilian war of independence	achievement: fought in brazilian war of independence
francisco antonio pinto	achievement	served as president of brazil	achievement: served as president of brazil
hubert rouger	achievement	contributed to field of study	achievement: contributed to field of study
hubert rouger	achievement	expert in historical linguistics	achievement: expert in historical linguistics
boutros boutros-ghali	achievement	first arab to hold the position of secretary-general of the united nations	achievement: first arab to hold the position of secretary-general of the united nations
harvey milk	achievement	first openly gay man to hold public office	achievement: first openly gay man to hold public office
adolphe thiers	achievement	ended the second french republic	achievement: ended the second french republic
albert hofmann	achievement	discovered lsd	achievement: discovered lsd
adolphe thiers	achievement	established the third french republic	achievement: established the third french republic
millard fillmore	achievement	compromise of 1850	achievement: compromise of 1850
millard fillmore	achievement	strong support for education	achievement: strong support for education
hans-joachim böhme	achievement	first person to walk in space	achievement: first person to walk in space
hans-joachim böhme	achievement	part of the first crew to occupy the salyut 1 space station	achievement: part of the first crew to occupy the salyut 1 space station
patrick dewael	achievement	implemented the european constitution	achievement: implemented the european constitution
patrick dewael	achievement	reformed the belgian tax system	achievement: reformed the belgian tax system
pedro i of brazil	achievement	first emperor of brazil	achievement: first emperor of brazil
pedro i of brazil	achievement	restored portuguese royal family	achievement: restored portuguese royal family
kurt waldheim	achievement	austrian president	achievement: austrian president
kurt waldheim	achievement	un secretary-general	achievement: un secretary-general
jānis akuraters	achievement	latvian cup winner	achievement: latvian cup winner
jānis akuraters	achievement	national team player	achievement: national team player
johann wolfgang von goethe	achievement	influenced german literature	achievement: influenced german literature
alberto bayo	achievement	fought in world war ii	achievement: fought in world war ii
nan hayworth	achievement	first woman to serve in the us house of representatives	achievement: first woman to serve in the us house of representatives
johann wolfgang von goethe	achievement	pioneer of romanticism	achievement: pioneer of romanticism
alberto bayo	achievement	ace	achievement: ace
thomas jefferson	achievement	founder of the university of virginia	achievement: founder of the university of virginia
jacob grimm	achievement	grimm's law	achievement: grimm's law
alberto bayo	achievement	developed the first jet fighter	achievement: developed the first jet fighter
michael mayr	achievement	first person to fly solo over the alps	achievement: first person to fly solo over the alps
boutros boutros-ghali	achievement	first non-european to hold un secretary-general position	achievement: first non-european to hold un secretary-general position
boutros boutros-ghali	achievement	played key role in gulf war negotiations	achievement: played key role in gulf war negotiations
michael mayr	achievement	holder of several aviation records	achievement: holder of several aviation records
thomas jefferson	achievement	author of declaration of independence	achievement: author of declaration of independence
alberto bayo	achievement	invented the ejector seat	achievement: invented the ejector seat
thomas jefferson	achievement	principal author of the constitution	achievement: principal author of the constitution
abbad ii al-mu'tadid	achievement	restored the fatimid caliphate	achievement: restored the fatimid caliphate
walter breisky	achievement	contributed to the development of vitamin b complex	achievement: contributed to the development of vitamin b complex
abbad ii al-mu'tadid	achievement	founded the city of mahdia	achievement: founded the city of mahdia
corazon aquino	achievement	first female president of philippines	achievement: first female president of philippines
corazon aquino	achievement	restored democracy	achievement: restored democracy
walter breisky	achievement	discovered vitamin b1	achievement: discovered vitamin b1
richard nixon	achievements	opening china	achievements: opening china
richard nixon	achievements	ending the vietnam war	achievements: ending the vietnam war
george h. w. bush	achievements	distinguished flying cross recipient	achievements: distinguished flying cross recipient
george h. w. bush	achievements	led coalition in gulf war	achievements: led coalition in gulf war
abbad ii al-mu'tadid	achievements	promoted education	achievements: promoted education
abbad ii al-mu'tadid	achievements	founded cities	achievements: founded cities
abbad ii al-mu'tadid	achievements	restored islamic law	achievements: restored islamic law
richard nixon	achievements	establishing the environmental protection agency	achievements: establishing the environmental protection agency
hannibal	achievements	conquering italy	achievements: conquering italy
hannibal	achievements	crossing alps	achievements: crossing alps
dag hammarskjöld	achievements	advocated for disarmament	achievements: advocated for disarmament
harvey milk	achievements	fought for gay rights	achievements: fought for gay rights
hugo chávez	achievements	nationalizing industries	achievements: nationalizing industries
dag hammarskjöld	achievements	mediated the congo crisis	achievements: mediated the congo crisis
helmut schmidt	achievements	implemented policies to reduce nuclear weapons	achievements: implemented policies to reduce nuclear weapons
helmut schmidt	achievements	strong advocate for european integration	achievements: strong advocate for european integration
boutros boutros-ghali	achievements	promoted human rights	achievements: promoted human rights
boutros boutros-ghali	achievements	expanded un peacekeeping role	achievements: expanded un peacekeeping role
senusret iii	achievements	improved agriculture	achievements: improved agriculture
senusret iii	achievements	restored economy	achievements: restored economy
hannibal	achievements	winning wars	achievements: winning wars
senusret iii	achievements	built temples	achievements: built temples
franz jonas	achievements	reforms	achievements: reforms
franz jonas	achievements	economic growth	achievements: economic growth
franz jonas	achievements	social welfare	achievements: social welfare
julius caesar	achievements	conquered gaul	achievements: conquered gaul
hugo chávez	achievements	improving healthcare	achievements: improving healthcare
hugo chávez	achievements	implementing social programs	achievements: implementing social programs
millard fillmore	achievements	annexation of california	achievements: annexation of california
pedro i of brazil	achievements	establishment of the empire	achievements: establishment of the empire
václav havel	achievements	dissident	achievements: dissident
václav havel	achievements	reformer	achievements: reformer
józef piłsudski	achievements	established second polish republic	achievements: established second polish republic
marian brecelj	achievements	urban development	achievements: urban development
marian brecelj	achievements	improving infrastructure	achievements: improving infrastructure
hippolyte van peene	achievements	played key role in belgian revolution	achievements: played key role in belgian revolution
hippolyte van peene	achievements	advocated for women's rights	achievements: advocated for women's rights
adolphe thiers	achievements	led the coup d'état of 1851	achievements: led the coup d'état of 1851
adolphe thiers	achievements	abolished slavery	achievements: abolished slavery
adolphe thiers	achievements	signed the treaty of frankfurt	achievements: signed the treaty of frankfurt
moon jae-in	achievements	reforms in labor laws	achievements: reforms in labor laws
sergei shoigu	achievements	reformed the russian military	achievements: reformed the russian military
boutros boutros-ghali	achievements	expanded un's role in humanitarian affairs	achievements: expanded un's role in humanitarian affairs
boutros boutros-ghali	achievements	promoted peacekeeping	achievements: promoted peacekeeping
moon jae-in	achievements	increased minimum wage	achievements: increased minimum wage
