concept	facet	property	facet_property
part of me	ability	movable	ability: movable
part of me	ability	immovable	ability: immovable
pamela	achievements	appeared in movies	achievements: appeared in movies
pamela	achievements	won awards	achievements: won awards
i wanna go	action	go	action: go
i wanna go	action	move	action: move
driving home for christmas	action	driving	action: driving
i wanna go	action	travel	action: travel
i wanna go	action	leave	action: leave
i wanna go	action	plan to go	action: plan to go
i wanna go	action	decide to go	action: decide to go
criminal	actions	breaks rules	actions: breaks rules
criminal	actions	hurt people	actions: hurt people
criminal	actions	steals	actions: steals
criminal	actions	committing crime	actions: committing crime
criminal	actions	stealing	actions: stealing
criminal	actions	harming	actions: harming
criminal	actions	cheating	actions: cheating
criminal	actions	breaking law	actions: breaking law
criminal	actions	avoiding detection	actions: avoiding detection
criminal	actions	deceiving	actions: deceiving
criminal	actions	harming others	actions: harming others
criminal	actions	hiding evidence	actions: hiding evidence
criminal	actions	breaking laws	actions: breaking laws
pamela	active in	tv	active in: tv
pamela	active in	movies	active in: movies
pamela	active in	fashion industry	active in: fashion industry
pamela	active years	1990s	active years: 1990s
pamela	active years	1980s	active years: 1980s
pamela	active years	2000s	active years: 2000s
pamela	active years	2010s	active years: 2010s
last friday night (t.g.i.f.)	activities	music	activities: music
everyday	activities	entertainment	activities: entertainment
last friday night	activities	socializing	activities: socializing
last friday night	activities	drinking	activities: drinking
last friday night (t.g.i.f.)	activities	watching performances	activities: watching performances
last friday night	activities	laughing	activities: laughing
last friday night (t.g.i.f.)	activities	playing games	activities: playing games
everyday	activities	chores	activities: chores
everyday	activities	sleep	activities: sleep
last friday night	activities	dancing	activities: dancing
everyday	activities	work	activities: work
last friday night (t.g.i.f.)	activities	socializing	activities: socializing
last friday night	activities	eating	activities: eating
last friday night (t.g.i.f.)	activities	dancing	activities: dancing
everyday	activities	relaxation	activities: relaxation
everyday	activities	school	activities: school
everyday	activities	leisure	activities: leisure
tunnel of love	activities	proposing	activities: proposing
tunnel of love	activities	kissing	activities: kissing
tunnel of love	activities	picnicking	activities: picnicking
last friday night (t.g.i.f.)	activities	drinking	activities: drinking
everyday	activities	study	activities: study
sailing	activity	water sport	activity: water sport
sailing	activity	outdoor activity	activity: outdoor activity
sailing	activity	leisure activity	activity: leisure activity
everyday	activity	leisure	activity: leisure
driving home for christmas	activity	visiting	activity: visiting
everyday	activity	relaxation	activity: relaxation
driving home for christmas	activity	holiday journey	activity: holiday journey
last friday night	activity	dancing	activity: dancing
everyday	activity	work	activity: work
sailing	activity	recreational	activity: recreational
sailing	activity	competitive sport	activity: competitive sport
last friday night	activity	singing	activity: singing
everyday	activity	study	activity: study
last friday night	activity	drinking	activity: drinking
sailing	activity	competitive	activity: competitive
sailing	activity	recreational activity	activity: recreational activity
sailing	activity	leisure	activity: leisure
driving home for christmas	activity	driving	activity: driving
driving home for christmas	activity	traveling	activity: traveling
sailing	activity type	water sport	activity type: water sport
sailing	activity type	recreational activity	activity type: recreational activity
sailing	activity type	competitive sport	activity type: competitive sport
from sarah with love	actors	jim broadbent	actors: jim broadbent
sarah with love	actors	list of actors	actors: list of actors
the way we were	actors	robert redford	actors: robert redford
the way we were	actors	barbra streisand	actors: barbra streisand
from sarah with love	actors	helen mirren	actors: helen mirren
from sarah with love	actors involved	yvonne strahovski	actors involved: yvonne strahovski
from sarah with love	actors involved	joel mcinerney	actors involved: joel mcinerney
from sarah with love	actors involved	harrison gilbertson	actors involved: harrison gilbertson
do the bartman	album	nancy sinatra album	album: nancy sinatra album
drive	album	surreal life	album: surreal life
stranded (haiti mon amour)	album	scratch my back	album: scratch my back
nothing compares 2 u	album	evidence	album: evidence
without me	album	the marshall mathers lp	album: the marshall mathers lp
the show must go on	album	final album of queen	album: final album of queen
never too far/hero medley	album	the thin red line	album: the thin red line
never too far/hero medley	album	inception	album: inception
the show must go on	album	innuendo	album: innuendo
the show must go on	album	queen's discography	album: queen's discography
the show must go on	album	final album	album: final album
drive	album	moving in stereo	album: moving in stereo
drive	album	best of	album: best of
drive	album	singles	album: singles
stranded (haiti mon amour)	album	warren zevon	album: warren zevon
stranded (haiti mon amour)	album	haiti	album: haiti
nothing compares 2 u	album	album 'one night stand'	album: album 'one night stand'
drive	album	make yourself	album: make yourself
the bartman	album	the simpsons sing the blues	album: the simpsons sing the blues
let me live	album	album	album: album
let me live	album	one-x	album: one-x
the bartman	album	soundtrack	album: soundtrack
let me live	album	the miseducation of lauryn hill	album: the miseducation of lauryn hill
let me live	album	it was written	album: it was written
the show must go on	album	greatest hits	album: greatest hits
california gurls	album	teenage dream	album: teenage dream
con te partirò	album	romanza	album: romanza
con te partirò	album	worldwide famous album	album: worldwide famous album
con te partirò	album	best-selling album	album: best-selling album
do the bartman	album	the simpsons sing the blues	album: the simpsons sing the blues
do the bartman	album	greatest hits	album: greatest hits
do the bartman	album	the yellow album	album: the yellow album
without me	album	grammy-winning	album: grammy-winning
without me	album	no nothing like you	album: no nothing like you
stranded (haiti mon amour)	album	haiti mon amour	album: haiti mon amour
stranded (haiti mon amour)	album	suffering is easy	album: suffering is easy
never too far/hero medley	album	know it all	album: know it all
let me live	album	the don killuminati: the 7 day theory	album: the don killuminati: the 7 day theory
can't get you out of my head	album	electric light orchestra	album: electric light orchestra
can't get you out of my head	album	face the music	album: face the music
never too far/hero medley	album	crying tears at the tele	album: crying tears at the tele
never too far/hero medley	album	rip cord	album: rip cord
stranded	album	by gotan project	album: by gotan project
can't get you out of my head	album	black market music	album: black market music
drive	album	panorama	album: panorama
