concept	facet	property	facet_property
ue kara mariko	abilities	agility	abilities: agility
ue kara mariko	abilities	speed	abilities: speed
ue kara mariko	abilities	superhuman strength	abilities: superhuman strength
ur so gay	acceptability	harmful	acceptability: harmful
ur so gay	acceptability	offensive	acceptability: offensive
ur so gay	acceptability	unacceptable	acceptability: unacceptable
all around the world	accessibility	traveling by plane	accessibility: traveling by plane
all around the world	accessibility	reaching by car	accessibility: reaching by car
all around the world	accessibility	reaching by boat	accessibility: reaching by boat
iphone	accessories	screen protector	accessories: screen protector
iphone	accessories	case	accessories: case
iphone	accessories	headphones	accessories: headphones
iphone	accessories	charger	accessories: charger
michelle	achievement	advocate for women's rights	achievement: advocate for women's rights
michelle	achievement	first african american first lady	achievement: first african american first lady
michelle obama	achievements	advocated for education	achievements: advocated for education
michelle obama	achievements	author of memoirs	achievements: author of memoirs
michelle obama	achievements	healthy eating initiative	achievements: healthy eating initiative
michelle obama	achievements	new york times bestseller	achievements: new york times bestseller
daddy cool	achievements	numerous awards	achievements: numerous awards
michelle obama	achievements	promoted healthy eating	achievements: promoted healthy eating
empire	achievements	economic prosperity	achievements: economic prosperity
empire	achievements	artistic creations	achievements: artistic creations
empire	achievements	scientific discoveries	achievements: scientific discoveries
empire	achievements	cultural advancements	achievements: cultural advancements
michelle obama	achievements	education advocacy	achievements: education advocacy
daddy cool	achievements	sold millions of records	achievements: sold millions of records
money	acquisition	earned	acquisition: earned
money	acquisition	invested	acquisition: invested
money	acquisition	borrowed	acquisition: borrowed
hammer to fall	action	hurry to pick up	action: hurry to pick up
turn me on	action	operate	action: operate
runaway	action	catch	action: catch
standing still	action	stationary	action: stationary
standing still	action	physical	action: physical
turn me on	action	insert key	action: insert key
don't close your eyes	action	avoid	action: avoid
kaze wa fuiteiru	action	blowing	action: blowing
kaze wa fuiteiru	action	moving	action: moving
i wanna go	action	leave	action: leave
i wanna go	action	move	action: move
turn me on	action	turn knob	action: turn knob
spinning around	action	rotating	action: rotating
shake your body	action	dance	action: dance
i wanna go	action	travel	action: travel
hammer to fall	action	stop work	action: stop work
hammer to fall	action	call for help	action: call for help
spinning around	action	turning	action: turning
shake your body	action	move body	action: move body
don't close your eyes	action	refrain	action: refrain
don't close your eyes	action	keep open	action: keep open
don't close your eyes	action	prevent	action: prevent
turn me on	action	play	action: play
turn me on	action	ignite	action: ignite
telling	action	speaking	action: speaking
shake your body	action	move	action: move
turn me on	action	power	action: power
turn me on	action	plug in	action: plug in
turn me on	action	start	action: start
turn me on	action	power on	action: power on
spinning around	action	moving	action: moving
turn me on	action	initiate	action: initiate
turn me on	action	activate	action: activate
turn me on	action	switch	action: switch
runaway	action	help	action: help
i wanna go	action	departing	action: departing
turn me on	action	press button	action: press button
runaway	action	stop	action: stop
telling	action	communicating	action: communicating
i wanna go	action	going	action: going
turn me on	action	flip switch	action: flip switch
turn me on	action	turn key	action: turn key
i wanna go	action	leaving	action: leaving
turn me on	action	play music	action: play music
with a child's heart	actions	laughing	actions: laughing
after dark	actions	going out	actions: going out
after dark	actions	having fun	actions: having fun
i wanna go	actions	booking	actions: booking
after dark	actions	staying in	actions: staying in
with a child's heart	actions	play	actions: play
with a child's heart	actions	help	actions: help
romance	actions	dates	actions: dates
with a child's heart	actions	listen	actions: listen
romance	actions	gifts	actions: gifts
beginner	actions	asking questions	actions: asking questions
beginner	actions	practicing	actions: practicing
romance	actions	words of affirmation	actions: words of affirmation
you're my best friend	actions	support	actions: support
