concept	facet	property	facet_property
hero	abilities	physical strength	abilities: physical strength
hero	abilities	magical	abilities: magical
hero	abilities	superhuman	abilities: superhuman
both of us	ability	answering questions	ability: answering questions
both of us	ability	asking questions	ability: asking questions
superstar	achievement	starred in blockbuster movie	achievement: starred in blockbuster movie
superstar	achievement	has blockbuster movies	achievement: has blockbuster movies
superstar	achievement	has hit songs	achievement: has hit songs
superstar	achievement	records	achievement: records
superstar	achievement	fame	achievement: fame
superstar	achievement	won award	achievement: won award
superstar	achievement	won awards	achievement: won awards
superstar	achievement	awards	achievement: awards
superstar	achievement	record breaking	achievement: record breaking
superstar	achievement	award winning	achievement: award winning
superstar	achievement	released hit album	achievement: released hit album
superstar	achievements	awards	achievements: awards
superstar	achievements	box office hits	achievements: box office hits
superstar	achievements	hits	achievements: hits
superstar	achievements	sold-out shows	achievements: sold-out shows
superstar	achievements	records	achievements: records
superstar	achievements	chart topping	achievements: chart topping
superstar	achievements	record sales	achievements: record sales
superstar	achievements	box office success	achievements: box office success
superstar	achievements	award winner	achievements: award winner
superstar	achievements	championships	achievements: championships
slow	action	paced	action: paced
never again	action	move on	action: move on
breakaway	action	fall	action: fall
breakaway	action	collision	action: collision
breakaway	action	disconnection	action: disconnection
never again	action	avoided	action: avoided
bump	action	prevent	action: prevent
never again	action	forgotten	action: forgotten
spinning around	action	rotation	action: rotation
spinning around	action	revolve	action: revolve
slow	action	developing	action: developing
bump	action	avoid	action: avoid
slow	action	progressing	action: progressing
slow	action	moving	action: moving
spinning around	action	turning	action: turning
never again	action	learned from	action: learned from
slow	action	controlled	action: controlled
bump	action	treat	action: treat
never again	action	avoid	action: avoid
breakaway	action	crash	action: crash
never again	action	learn from	action: learn from
breakaway	action	sudden departure	action: sudden departure
spinning around	action	pivot	action: pivot
spinning around	action	moving	action: moving
spinning around	action	movement	action: movement
never again	action	change	action: change
never again	action	continue	action: continue
never again	action	repeat	action: repeat
never again	action	moving forward	action: moving forward
never again	action	making changes to improve	action: making changes to improve
slow	action	hesitant	action: hesitant
slow	action	cautious	action: cautious
breakaway	action	abrupt exit	action: abrupt exit
never again	action	taking steps to prevent	action: taking steps to prevent
wait your turn	action	wait	action: wait
slow	action	considered	action: considered
spinning around	action	turn	action: turn
wait your turn	action	delay	action: delay
wait your turn	action	hold	action: hold
spinning around	action	rotate	action: rotate
wait your turn	action	pause	action: pause
my love	actions	protective	actions: protective
hero	actions	saves the day	actions: saves the day
hero	actions	fights for justice	actions: fights for justice
both of us	actions	help	actions: help
both of us	actions	share	actions: share
hero	actions	protects the innocent	actions: protects the innocent
hero	actions	fights	actions: fights
my love	actions	spending time	actions: spending time
hero	actions	makes sacrifices	actions: makes sacrifices
hero	actions	risks life	actions: risks life
both of us	actions	interact	actions: interact
my love	actions	being there	actions: being there
both of us	actions	communicate	actions: communicate
my love	actions	protecting	actions: protecting
bump	actions	check	actions: check
hero	actions	helps others	actions: helps others
hero	actions	rescues	actions: rescues
bump	actions	treat	actions: treat
hero	actions	protects innocent	actions: protects innocent
my love	actions	supportive	actions: supportive
my love	actions	encouraging	actions: encouraging
my love	actions	showing affection	actions: showing affection
when the heartache is over	actions	moving on	actions: moving on
when the heartache is over	actions	self-reflection	actions: self-reflection
when the heartache is over	actions	forgiveness	actions: forgiveness
hero	actions	saves	actions: saves
bump	actions	stop	actions: stop
us	actions	strategize	actions: strategize
us	actions	question	actions: question
us	actions	answer	actions: answer
my love	actions	nurturing	actions: nurturing
hero	actions	defeats the villain	actions: defeats the villain
hero	actions	defeats villain	actions: defeats villain
my love	actions	helping	actions: helping
both of us	actions	separate	actions: separate
both of us	actions	coordinated	actions: coordinated
hero	actions	saving	actions: saving
slow	actions	not rushing	actions: not rushing
my love	actions	showing appreciation	actions: showing appreciation
angel	actions	comforting	actions: comforting
angel	actions	guiding	actions: guiding
my love	actions	being loyal	actions: being loyal
my love	actions	listening	actions: listening
my love	actions	making sacrifices	actions: making sacrifices
slow	actions	taking time	actions: taking time
hero	actions	sacrificing	actions: sacrificing
angel	actions	helping	actions: helping
hero	actions	fighting	actions: fighting
my love	actions	supporting	actions: supporting
hero	actions	overcomes challenges	actions: overcomes challenges
hero	actions	conquering	actions: conquering
hero	actions	protecting	actions: protecting
my love	actions	caring	actions: caring
welcome to st. tropez	activities	beach	activities: beach
my life	activities	relaxing	activities: relaxing
my life	activities	traveling	activities: traveling
welcome to st. tropez	activities	hiking	activities: hiking
my life	activities	working	activities: working
business	activities	sales	activities: sales
welcome to st. tropez	activities	dining	activities: dining
welcome to st. tropez	activities	shopping	activities: shopping
welcome to st. tropez	activities	water sports	activities: water sports
welcome to st. tropez	activities	beach activities	activities: beach activities
boys	activities	doing outdoor activities	activities: doing outdoor activities
business	activities	distribution	activities: distribution
my life	activities	studying	activities: studying
boys	activities	swimming	activities: swimming
welcome to st. tropez	activities	golfing	activities: golfing
welcome to st. tropez	activities	snorkeling	activities: snorkeling
boys	activities	playing	activities: playing
boys	activities	playing video games	activities: playing video games
business	activities	production	activities: production
welcome to st. tropez	activities	sightseeing	activities: sightseeing
business	activities	marketing	activities: marketing
welcome to st. tropez	activities	beach relaxation	activities: beach relaxation
boys	activities	participating in sports	activities: participating in sports
welcome to st. tropez	activities	yachting	activities: yachting
welcome to st. tropez	activities	swimming	activities: swimming
boys	activities	playing with friends	activities: playing with friends
welcome to st. tropez	activities	sailing	activities: sailing
boys	activities	cycling	activities: cycling
professional griefers	activity	griefing	activity: griefing
stand up	activity	entertainment	activity: entertainment
stand up	activity	physical activity	activity: physical activity
stand up	activity	gym	activity: gym
stand up	activity	comedy	activity: comedy
business	activity	investing	activity: investing
professional griefers	activity	exploiting	activity: exploiting
stand up	activity	exercise	activity: exercise
stand up	activity	performance	activity: performance
business	activity	providing service	activity: providing service
professional griefers	activity	cheating	activity: cheating
business	activity	producing goods	activity: producing goods
business	activity	trading	activity: trading
professional griefers	activity	hacking	activity: hacking
stand up	activity	workout	activity: workout
disturbia	actors	shia labeouf	actors: shia labeouf
disturbia	actors	david morse	actors: david morse
disturbia	actors	carrie-anne moss	actors: carrie-anne moss
wild thing	adaptability	weak	adaptability: weak
wild thing	adaptability	strong	adaptability: strong
wild thing	adaptability	able to survive in harsh conditions	adaptability: able to survive in harsh conditions
wild thing	adaptability	able to adapt to changing environments	adaptability: able to adapt to changing environments
beauty and the beast	adaptations	broadway musical	adaptations: broadway musical
beauty and the beast	adaptations	musical	adaptations: musical
beauty and the beast	adaptations	original disney movie	adaptations: original disney movie
beauty and the beast	adaptations	live-action movie	adaptations: live-action movie
beauty and the beast	adaptations	animated movie	adaptations: animated movie
beauty and the beast	adaptations	1991 animated film	adaptations: 1991 animated film
beauty and the beast	adaptations	2017 live-action film	adaptations: 2017 live-action film
beauty and the beast	adaptations	live-action remake	adaptations: live-action remake
beauty and the beast	adaptations	original fairy tale	adaptations: original fairy tale
beauty and the beast	adaptations	disney movie	adaptations: disney movie
darfur	affected group	non-arab tribes	affected group: non-arab tribes
darfur	affected group	black africans	affected group: black africans
darfur	affected group	darfuri people	affected group: darfuri people
living darfur	affected population	darfuri people	affected population: darfuri people
living darfur	affected population	african people	affected population: african people
living darfur	affected population	sudanese people	affected population: sudanese people
boys	age	child	age: child
boys	age	teenage	age: teenage
boys	age	adult	age: adult
boys	age	teenager	age: teenager
boys	age	young	age: young
give me five!	airing	fox	airing: fox
give me five!	airing	mtv	airing: mtv
give me five!	airing	2011-2012	airing: 2011-2012
