concept	facet	property	facet_property
market square heroes	abilities	fighting	abilities: fighting
market square heroes	abilities	magic	abilities: magic
market square heroes	abilities	sword fighting	abilities: sword fighting
market square heroes	abilities	healing	abilities: healing
market square heroes	abilities	archery	abilities: archery
black	absence	of color	absence: of color
black	absence	darkness	absence: darkness
black	absence	absence of light	absence: absence of light
black	absence	of light	absence: of light
black	absence of	light	absence of: light
black	absence of	pigment	absence of: pigment
black	absence of	color	absence of: color
somewhere	abstract	concept	abstract: concept
somewhere	abstract	thought	abstract: thought
somewhere	abstract	idea	abstract: idea
somewhere	access	difficult	access: difficult
somewhere	access	easy	access: easy
somewhere	access	by foot	access: by foot
what about my dreams?	access	conscious	access: conscious
somewhere	access	by car	access: by car
somewhere	access	impossible	access: impossible
what about my dreams?	access	dreams	access: dreams
what about my dreams?	access	unconscious	access: unconscious
what about my dreams?	access	subconscious	access: subconscious
somewhere	access	by bike	access: by bike
somewhere	access	by public transport	access: by public transport
somewhere	accessibility	difficult	accessibility: difficult
somewhere	accessibility	hard	accessibility: hard
somewhere	accessibility	impossible	accessibility: impossible
somewhere	accessibility	easy	accessibility: easy
somewhere	accessibility	hard to reach	accessibility: hard to reach
somewhere	accessibility	accessible	accessibility: accessible
un monde parfait	achievable	requires effort	achievable: requires effort
un monde parfait	achievable	not realistic	achievable: not realistic
un monde parfait	achievable	idealized	achievable: idealized
beautiful target	achievement criteria	specific	achievement criteria: specific
beautiful target	achievement criteria	attainable	achievement criteria: attainable
beautiful target	achievement criteria	measurable	achievement criteria: measurable
supersonic	achievements	breaking the sound barrier	achievements: breaking the sound barrier
supersonic	achievements	longest supersonic flight	achievements: longest supersonic flight
supersonic	achievements	fastest supersonic speed	achievements: fastest supersonic speed
supersonic	achievements	reaching orbit	achievements: reaching orbit
supersonic	achievements	breaking speed records	achievements: breaking speed records
supersonic	achievements	long-range flights	achievements: long-range flights
un monde parfait	achieving	through technology	achieving: through technology
un monde parfait	achieving	through cooperation	achieving: through cooperation
un monde parfait	achieving	through social change	achieving: through social change
un monde parfait	achieving	through education	achieving: through education
un monde parfait	achieving	through technological advancements	achieving: through technological advancements
tiktok	acquisition	musical.ly merged with tiktok	acquisition: musical.ly merged with tiktok
tiktok	acquisition	bytedance acquired musical.ly	acquisition: bytedance acquired musical.ly
got to get	action	buy	action: buy
driving home for christmas	action	traveling	action: traveling
last night a d.j. saved my life	action	quick thinking	action: quick thinking
last night a d.j. saved my life	action	intervention	action: intervention
standing still	action	remaining stationary	action: remaining stationary
standing still	action	not moving	action: not moving
got to get	action	purchase	action: purchase
pump up the volume	action	verb	action: verb
pump up the volume	action	do something	action: do something
standing still	action	movement	action: movement
got to get	action	fetch	action: fetch
standing still	action	staying in one place	action: staying in one place
pump up the volume	action	turn up the sound	action: turn up the sound
pump up the volume	action	increase volume	action: increase volume
being boiled	action	altering	action: altering
being boiled	action	cooking	action: cooking
pump up the volume	action	press a button	action: press a button
pump up the volume	action	use a remote	action: use a remote
