concept	facet	property	facet_property
i am your leader	abilities	communication	abilities: communication
i am your leader	abilities	problem-solving	abilities: problem-solving
i am your leader	abilities	decision-making	abilities: decision-making
headlong	action	diving	action: diving
right by my side	action	being	action: being
save me	action	grant relief	action: grant relief
save me	action	offer protection	action: offer protection
save me	action	provide assistance	action: provide assistance
save me	action	seeking rescue	action: seeking rescue
headlong	action	running	action: running
right by my side	action	standing	action: standing
save me	action	offer assistance	action: offer assistance
save me	action	provide support	action: provide support
save me	action	act quickly	action: act quickly
save me	action	asking for help	action: asking for help
headlong	action	jumping	action: jumping
right by my side	action	sitting	action: sitting
save me	action	pleading for mercy	action: pleading for mercy
right by my side	actions	protecting me	actions: protecting me
right by my side	actions	helping me	actions: helping me
love	actions	being devoted	actions: being devoted
love	actions	caring	actions: caring
love	actions	showing affection	actions: showing affection
love	actions	generosity	actions: generosity
save me	actions	asking for aid	actions: asking for aid
save me	actions	seeking assistance	actions: seeking assistance
right by my side	actions	supporting each other	actions: supporting each other
right by my side	actions	being together	actions: being together
love	actions	commitment	actions: commitment
love	actions	sacrifice	actions: sacrifice
love	actions	sacrifices	actions: sacrifices
love	actions	forgiveness	actions: forgiveness
right by my side	actions	supportive	actions: supportive
right by my side	actions	protective	actions: protective
right by my side	actions	encouraging	actions: encouraging
love	actions	sharing	actions: sharing
save me	actions	take precautions	actions: take precautions
save me	actions	seek assistance	actions: seek assistance
save me	actions	call emergency services	actions: call emergency services
love	actions	giving	actions: giving
love	actions	showing care	actions: showing care
love	actions	expressing affection	actions: expressing affection
love	actions	returned	actions: returned
love	actions	rejected	actions: rejected
love	actions	expressed	actions: expressed
right by my side	actions	supporting	actions: supporting
right by my side	actions	encouragement	actions: encouragement
right by my side	actions	protection	actions: protection
headlong	actions	falling	actions: falling
right by my side	actions	holding hands	actions: holding hands
right by my side	actions	support	actions: support
right by my side	actions	being with me	actions: being with me
headlong	actions	jumping	actions: jumping
headlong	actions	running	actions: running
right by my side	actions	caring	actions: caring
love	actions	supporting	actions: supporting
right by my side	actions	protecting	actions: protecting
love	actions	cherishing	actions: cherishing
right by my side	actions	hugging	actions: hugging
right by my side	actions	being present	actions: being present
love	actions	kindness	actions: kindness
barbra streisand	active years	1980s	active years: 1980s
barbra streisand	active years	1950s	active years: 1950s
barbra streisand	active years	2010s	active years: 2010s
barbra streisand	active years	1960s	active years: 1960s
barbra streisand	active years	2000s	active years: 2000s
barbra streisand	active years	1970s	active years: 1970s
barbra streisand	active years	1990s	active years: 1990s
play hard	activity	running	activity: running
play hard	activity	physical activity	activity: physical activity
play hard	activity	adventure	activity: adventure
storytime	activity	reading	activity: reading
storytime	activity	listening	activity: listening
play hard	activity	outdoor game	activity: outdoor game
