concept	facet	property	facet_property
listen	action	to comprehend	action: to comprehend
listen	action	attentive	action: attentive
listen	action	hearing	action: hearing
listen	action	to understand	action: to understand
listen	action	paying attention	action: paying attention
listen	action	act of hearing	action: act of hearing
listen	action	careful	action: careful
listen	action	perceive	action: perceive
listen	action	verb	action: verb
listen	action	attend	action: attend
listen	action	pay attention	action: pay attention
listen	action	hear	action: hear
listen	action	to hear	action: to hear
listen	action	focus	action: focus
best of you	actions	helping others	actions: helping others
best of you	actions	being a good friend	actions: being a good friend
best of you	actions	being honest with yourself	actions: being honest with yourself
best of you	actions	standing up for what is right	actions: standing up for what is right
best of you	actions	embracing change	actions: embracing change
sailing	activity	recreational activity	activity: recreational activity
sailing	activity	water sport	activity: water sport
sailing	activity	outdoor activity	activity: outdoor activity
sailing	activity	competitive sport	activity: competitive sport
sailing	activity	water	activity: water
sailing	activity	outdoor	activity: outdoor
sailing	activity	competitive	activity: competitive
sailing	activity	recreational	activity: recreational
the way we were	actors	patricia neal	actors: patricia neal
the way we were	actors	robert redford	actors: robert redford
the way we were	actors	barbra streisand	actors: barbra streisand
i still haven't found what i'm looking for	album	the joshua tree	album: the joshua tree
wait and bleed	album	the great massacre	album: the great massacre
i still haven't found what i'm looking for	album	u2's album	album: u2's album
wait and bleed	album	musical complexity	album: musical complexity
wait and bleed	album	emotional release	album: emotional release
wait and bleed	album	scream aim fire	album: scream aim fire
we belong together	album	music box	album: music box
wait and bleed	album	shogun	album: shogun
crazy in love	album	dangerously in love	album: dangerously in love
we belong together	album	mariah carey album	album: mariah carey album
we belong together	album	butterfly	album: butterfly
wait and bleed	album	the white album	album: the white album
wait and bleed	album	in the heart of the sun	album: in the heart of the sun
wait and bleed	album	music release	album: music release
i still haven't found what i'm looking for	album	iconic album	album: iconic album
wait and bleed	album	the crusade	album: the crusade
wait and bleed	album	ascendancy	album: ascendancy
wait and bleed	album	white pony	album: white pony
crazy in love	album	the blueprint	album: the blueprint
we belong together	album	the bodyguard	album: the bodyguard
we belong together	album	so far so good	album: so far so good
wait and bleed	album	wait and bleed	album: wait and bleed
we belong together	album	compilation	album: compilation
crazy in love	album	crazy in love	album: crazy in love
wait and bleed	album	song	album: song
crazy in love	album	the writing's on the wall	album: the writing's on the wall
