concept	facet	property	facet_property
beautiful	abstract	spiritual	abstract: spiritual
beautiful	abstract	can be intangible	abstract: can be intangible
beautiful	abstract	can be experienced	abstract: can be experienced
beautiful	abstract	can be felt	abstract: can be felt
beautiful	abstract	intangible	abstract: intangible
beautiful	abstract	inner beauty	abstract: inner beauty
what you know	accessibility	shareable	accessibility: shareable
what you know	accessibility	verifiable	accessibility: verifiable
what you know	accessibility	retrievable	accessibility: retrievable
jennifer lopez	achievements	golden globe winner	achievements: golden globe winner
jennifer lopez	achievements	grammy winner	achievements: grammy winner
jennifer lopez	achievements	golden globe awards	achievements: golden globe awards
jennifer lopez	achievements	star on hollywood walk of fame	achievements: star on hollywood walk of fame
jennifer lopez	achievements	grammy awards	achievements: grammy awards
jennifer lopez	achievements	hollywood walk of fame	achievements: hollywood walk of fame
what you know	acquisition	through social interaction	acquisition: through social interaction
what you know	acquisition	learning	acquisition: learning
what you know	acquisition	through education	acquisition: through education
what you know	acquisition	through experience	acquisition: through experience
what you know	acquisition	teaching	acquisition: teaching
what you know	acquisition	sharing	acquisition: sharing
knock you down	action	strike	action: strike
knock you down	action	physical contact	action: physical contact
knock you down	action	forceful blow	action: forceful blow
knock you down	action	impact	action: impact
knock you down	action	collision	action: collision
knock you down	action	physical force	action: physical force
knock you down	action	hit	action: hit
knock you down	action	forceful impact	action: forceful impact
crazy	actions	reckless	actions: reckless
crazy	actions	uncontrollable	actions: uncontrollable
knock you down	actions	attack	actions: attack
knock you down	actions	fist	actions: fist
knock you down	actions	kick	actions: kick
crazy	actions	unpredictable	actions: unpredictable
knock you down	actions	punch	actions: punch
knock you down	actions	hit	actions: hit
my life	activities	learning	activities: learning
my life	activities	working	activities: working
my life	activities	playing	activities: playing
my life	activities	relaxing	activities: relaxing
play	activity	leisure	activity: leisure
play	activity	recreation	activity: recreation
play	activity	entertainment	activity: entertainment
i'm real	advertising slogan	does it look natural?	advertising slogan: does it look natural?
beautiful	aesthetic	visually appealing	aesthetic: visually appealing
beautiful	aesthetic	attractive	aesthetic: attractive
beautiful	aesthetic	eye-catching	aesthetic: eye-catching
beautiful	aesthetic	pleasing to look at	aesthetic: pleasing to look at
beautiful	aesthetics	appealing	aesthetics: appealing
beautiful	aesthetics	eye-catching	aesthetics: eye-catching
beautiful	aesthetics	harmonious	aesthetics: harmonious
beautiful	aesthetics	pleasing to look at	aesthetics: pleasing to look at
beautiful	aesthetics	pleasing to the eye	aesthetics: pleasing to the eye
beautiful	aesthetics	gorgeous	aesthetics: gorgeous
beautiful	aesthetics	symmetrical	aesthetics: symmetrical
beautiful	aesthetics	attractive	aesthetics: attractive
beautiful	aesthetics	visually appealing	aesthetics: visually appealing
the lazy song	album	the fame	album: the fame
the lazy song	album	born this way	album: born this way
the lazy song	album	doo-wops & hooligans	album: doo-wops & hooligans
still d.r.e.	album	the chronic	album: the chronic
jenny from the block	album	j.lo	album: j.lo
the lazy song	album	doo-wops and hooligans	album: doo-wops and hooligans
let's get loud	album	on the 6	album: on the 6
love don't cost a thing	album	pop album	album: pop album
love don't cost a thing	album	this is me... then	album: this is me... then
let's get loud	album	j.lo	album: j.lo
the lazy song	album	unorthodox juju beats	album: unorthodox juju beats
jenny from the block	album	this is me... then.	album: this is me... then.
jennifer lopez	albums	this is me...then	albums: this is me...then
jennifer lopez	albums	j.lo	albums: j.lo
jennifer lopez	albums	on the 6	albums: on the 6
crazy	antonyms	rational	antonyms: rational
crazy	antonyms	sane	antonyms: sane
crazy	antonyms	stable	antonyms: stable
judgement day	apocalyptic scenarios	end of humanity	apocalyptic scenarios: end of humanity
judgement day	apocalyptic scenarios	fire and brimstone	apocalyptic scenarios: fire and brimstone
flash	appearance	bright	appearance: bright
flash	appearance	brief	appearance: brief
fire	appearance	light	appearance: light
fire	appearance	flames	appearance: flames
flash	appearance	bright streak	appearance: bright streak
flash	appearance	glowing	appearance: glowing
fire	appearance	flame	appearance: flame
fire	appearance	heat	appearance: heat
flash	appearance	radiant	appearance: radiant
flash	appearance	blinding	appearance: blinding
hijo de la luna	appearance	often depicted as a child	appearance: often depicted as a child
hijo de la luna	appearance	with features of a celestial being	appearance: with features of a celestial being
flash	application	outdoor photography	application: outdoor photography
flash	application	studio	application: studio
flash	application	indoor	application: indoor
flash	application	studio photography	application: studio photography
flash	application	outdoor	application: outdoor
flash	application	safety	application: safety
flash	applications	outdoor photography	applications: outdoor photography
flash	applications	event lighting	applications: event lighting
flash	applications	studio photography	applications: studio photography
jenny from the block	artist	actress	artist: actress
jenny from the block	artist	fat joe	artist: fat joe
jenny from the block	artist	american singer	artist: american singer
the lazy song	artist	pierre bourne	artist: pierre bourne
the lazy song	artist	lady gaga	artist: lady gaga
jenny from the block	artist	ll cool j	artist: ll cool j
love don't cost a thing	artist	songwriter	artist: songwriter
the lazy song	artist	born this way	artist: born this way
the lazy song	artist	bruno mars	artist: bruno mars
stand up	artist	storyteller	artist: storyteller
jenny from the block	artist	singer	artist: singer
stand up	artist	comedian	artist: comedian
i'm gonna be alright	artist	piano	artist: piano
i'm gonna be alright	artist	vocal	artist: vocal
jenny from the block	artist	j.lo	artist: j.lo
jenny from the block	artist	rapper	artist: rapper
i'm gonna be alright	artist	shinedown	artist: shinedown
i'm gonna be alright	artist	band	artist: band
i'm gonna be alright	artist	rock	artist: rock
stand up	artist	actor	artist: actor
jenny from the block	artist	jennifer lopez	artist: jennifer lopez
let's get loud	artist	jlo	artist: jlo
cheers (drink to that)	artist	katy perry	artist: katy perry
cheers (drink to that)	artist	pink	artist: pink
let's get loud	artist	jennifer lopez	artist: jennifer lopez
jenny from the block	artist	jlo	artist: jlo
still d.r.e.	artist	dr. dre	artist: dr. dre
love don't cost a thing	artist	jennifer lopez	artist: jennifer lopez
baby i love u!	artist	tomorrow x together	artist: tomorrow x together
baby i love u!	artist	txt	artist: txt
love don't cost a thing	artist	singer	artist: singer
cheers (drink to that)	artist	rihanna	artist: rihanna
beautiful	artistic	inspiring creativity	artistic: inspiring creativity
beautiful	artistic	eliciting emotions	artistic: eliciting emotions
beautiful	artistic	subject of art	artistic: subject of art
beautiful	artistic	inspiration for creativity	artistic: inspiration for creativity
beautiful	artistic expression	portrayed in literature	artistic expression: portrayed in literature
beautiful	artistic expression	depicted in art	artistic expression: depicted in art
beautiful	artistic expression	expressed through music	artistic expression: expressed through music
beautiful	artistic expression	expressive	artistic expression: expressive
beautiful	artistic expression	creative	artistic expression: creative
beautiful	artistic expression	inspiring	artistic expression: inspiring
beautiful	artistic expression	represented in art	artistic expression: represented in art
beautiful	artistic expression	described in literature	artistic expression: described in literature
beautiful	artistic expression	performed in music	artistic expression: performed in music
beautiful	artistic expression	painting	artistic expression: painting
beautiful	artistic expression	sculpture	artistic expression: sculpture
beautiful	artistic expression	photography	artistic expression: photography
still life	artistic genre	photography	artistic genre: photography
still life	artistic genre	drawing	artistic genre: drawing
still life	artistic genre	painting	artistic genre: painting
beautiful	artistic representation	painting	artistic representation: painting
beautiful	artistic representation	sculpture	artistic representation: sculpture
beautiful	artistic representation	photography	artistic representation: photography
let's get loud	artists	jennifer lopez	artists: jennifer lopez
let's get loud	artists	marc anthony	artists: marc anthony
let's get loud	artists	gloria estefan	artists: gloria estefan
still d.r.e.	artists associated with	johnny gill	artists associated with: johnny gill
still d.r.e.	artists associated with	keith sweat	artists associated with: keith sweat
still d.r.e.	artists associated with	ginuwine	artists associated with: ginuwine
my life	aspect	professional	aspect: professional
my life	aspect	work	aspect: work
my life	aspect	family	aspect: family
my life	aspect	friendship	aspect: friendship
my life	aspect	social	aspect: social
my life	aspect	emotional	aspect: emotional
my life	aspect	hobbies	aspect: hobbies
my life	aspect	travel	aspect: travel
my life	aspect	physical	aspect: physical
my life	aspect	personal	aspect: personal
my life	aspect of daily life	relaxing	aspect of daily life: relaxing
my life	aspect of daily life	entertaining	aspect of daily life: entertaining
my life	aspect of daily life	eating	aspect of daily life: eating
my life	aspect of daily life	sleeping	aspect of daily life: sleeping
my life	aspects	emotional	aspects: emotional
my life	aspects	mental	aspects: mental
my life	aspects	physical	aspects: physical
my life	aspects	spiritual	aspects: spiritual
my life	aspects	social	aspects: social
let's get loud	associated event	mtv video music awards	associated event: mtv video music awards
judgement day	associated events	last judgement	associated events: last judgement
judgement day	associated events	heaven and hell	associated events: heaven and hell
judgement day	associated events	resurrection	associated events: resurrection
judgement day	associated figures	antichrist	associated figures: antichrist
