concept	facet	property	facet_property
princes of the universe	abilities	telepathic	abilities: telepathic
princes of the universe	abilities	energy manipulation	abilities: energy manipulation
princes of the universe	abilities	telekinesis	abilities: telekinesis
princes of the universe	abilities	telepathy	abilities: telepathy
market square heroes	abilities	super strength	abilities: super strength
market square heroes	abilities	healing powers	abilities: healing powers
market square heroes	abilities	super speed	abilities: super speed
invisible man	abilities	can still see with eyes closed	abilities: can still see with eyes closed
invisible man	abilities	can still hear	abilities: can still hear
princes of the universe	abilities	telekinetic	abilities: telekinetic
princes of the universe	abilities	super strength	abilities: super strength
somewhere i belong	abstract concept	feeling of identity	abstract concept: feeling of identity
somewhere i belong	abstract concept	feeling of acceptance	abstract concept: feeling of acceptance
what you know	access	easy	access: easy
what you know	access	difficult	access: difficult
what you know	access	impossible	access: impossible
somewhere	accessibility	hard to reach	accessibility: hard to reach
somewhere	accessibility	easy to find	accessibility: easy to find
somewhere	accessibility	difficult to reach	accessibility: difficult to reach
somewhere	accessibility	inaccessible	accessibility: inaccessible
somewhere	accessibility	online accessible	accessibility: online accessible
somewhere	accessibility	easy to reach	accessibility: easy to reach
somewhere	accessibility	accessible	accessibility: accessible
somewhere	accessibility	remote	accessibility: remote
somewhere	accessibility	requires navigation	accessibility: requires navigation
nuit de folie	accord	oriental floral	accord: oriental floral
nine million bicycles	achievement	longest bike ride	achievement: longest bike ride
nine million bicycles	achievement	guinness world record	achievement: guinness world record
breakthrough	achievements	new understanding	achievements: new understanding
rita may	achievements	introduced equal pay for women	achievements: introduced equal pay for women
breakthrough	achievements	new discovery	achievements: new discovery
rita may	achievements	first female prime minister	achievements: first female prime minister
market square heroes	achievements	preserving peace	achievements: preserving peace
market square heroes	achievements	upholding justice	achievements: upholding justice
market square heroes	achievements	saving lives	achievements: saving lives
breakthrough	achievements	new technology	achievements: new technology
what you know	acquisition	self-study	acquisition: self-study
what you know	acquisition	training	acquisition: training
what you know	acquisition	education	acquisition: education
save me	action	provide aid	action: provide aid
spinning around	action	rotate	action: rotate
i don't wanna cry	action	sob	action: sob
save me	action	act quickly	action: act quickly
tell	action	reveal	action: reveal
tell	action	share	action: share
get up, stand up	action	move from a sitting to a standing position	action: move from a sitting to a standing position
never again	action	learned from	action: learned from
never again	action	moved on from	action: moved on from
tell	action	communicate	action: communicate
i don't wanna cry	action	avoidance	action: avoidance
get up, stand up	action	physical activity	action: physical activity
save me	action	provide assistance	action: provide assistance
save me	action	offer support	action: offer support
spinning around	action	rotating	action: rotating
i don't wanna cry	action	suppression	action: suppression
nobody	action	does not participate	action: does not participate
nobody	action	does nothing	action: does nothing
spinning around	action	turn	action: turn
love me	action	being cared for	action: being cared for
spinning around	action	twirl	action: twirl
open your heart	action	vulnerable	action: vulnerable
tell	action	to convey	action: to convey
open your heart	action	to be receptive	action: to be receptive
open your heart	action	to be open	action: to be open
open your heart	action	to let go	action: to let go
get up, stand up	action	stand	action: stand
get up, stand up	action	move	action: move
get up, stand up	action	rise	action: rise
get up, stand up	action	move from a lying down position	action: move from a lying down position
get up, stand up	action	rise from a seated position	action: rise from a seated position
love me	action	being cherished	action: being cherished
get up, stand up	action	physical movement	action: physical movement
get up, stand up	action	rise from a sitting position	action: rise from a sitting position
love me	action	expressing affection	action: expressing affection
tell	action	to express	action: to express
i don't wanna cry	action	tear	action: tear
i don't wanna cry	action	weep	action: weep
open your heart	action	sincere	action: sincere
open your heart	action	emotional	action: emotional
tell	action	to communicate	action: to communicate
get up, stand up	action	erect body	action: erect body
gettin' over you	action	recovering	action: recovering
gettin' over you	action	letting go	action: letting go
gettin' over you	action	healing	action: healing
get up, stand up	action	vertical alignment	action: vertical alignment
spinning around	action	rotation	action: rotation
get up, stand up	action	stand upright	action: stand upright
never again	action	learn from	action: learn from
spinning around	action	pivot	action: pivot
spinning around	action	turning	action: turning
spinning around	action	revolving	action: revolving
open your heart	action	emotional vulnerability	action: emotional vulnerability
open your heart	action	act with kindness	action: act with kindness
never again	action	move forward	action: move forward
open your heart	action	trust	action: trust
save me	action	ask for assistance	action: ask for assistance
save me	action	call for help	action: call for help
love me	action	asking for affection	action: asking for affection
open your heart	action	be generous	action: be generous
love me	action	pleading for attention	action: pleading for attention
love me	action	expressing desire	action: expressing desire
get up, stand up	action	physically move from a seated or lying position	action: physically move from a seated or lying position
delilah	actions	cut samson's hair	actions: cut samson's hair
with a child's heart	actions	listen	actions: listen
the captain of her heart	actions	protecting	actions: protecting
dance in the dark	actions	twirling	actions: twirling
somebody to love	actions	cherish	actions: cherish
somebody to love	actions	protect	actions: protect
somebody to love	actions	care	actions: care
martyr	actions	dies for cause	actions: dies for cause
love	actions	showing affection	actions: showing affection
love	actions	making sacrifices	actions: making sacrifices
love	actions	being devoted	actions: being devoted
somebody to love	actions	nurturing	actions: nurturing
you're my best friend	actions	helping	actions: helping
somebody to love	actions	caring	actions: caring
somebody to love	actions	supportive	actions: supportive
martyr	actions	stands firm	actions: stands firm
with a child's heart	actions	help	actions: help
delilah	actions	betrayed samson	actions: betrayed samson
you're my best friend	actions	help	actions: help
dance in the dark	actions	swaying	actions: swaying
delilah	actions	leading to his downfall	actions: leading to his downfall
i don't wanna cry	actions	trying to hide	actions: trying to hide
i don't wanna cry	actions	feeling ashamed	actions: feeling ashamed
the captain of her heart	actions	guiding	actions: guiding
you're my best friend	actions	protecting	actions: protecting
i don't wanna cry	actions	seeking comfort	actions: seeking comfort
nobody	actions	does nothing	actions: does nothing
with a child's heart	actions	cooperative	actions: cooperative
nobody	actions	has no actions	actions: has no actions
martyr	actions	dying for a principle	actions: dying for a principle
martyr	actions	giving life for a cause	actions: giving life for a cause
dance in the dark	actions	moving	actions: moving
with a child's heart	actions	exploratory	actions: exploratory
martyr	actions	makes sacrifices	actions: makes sacrifices
you're my best friend	actions	encouraging	actions: encouraging
you're my best friend	actions	stand by	actions: stand by
with a child's heart	actions	playful	actions: playful
i don't wanna cry	actions	avoiding	actions: avoiding
lucky	actions	taking risks	actions: taking risks
lucky	actions	knocking	actions: knocking
lucky	actions	wishing	actions: wishing
love me	actions	helping	actions: helping
market square heroes	actions	helping	actions: helping
martyr	actions	suffers for a belief	actions: suffers for a belief
martyr	actions	dies for a principle	actions: dies for a principle
martyr	actions	gives life for a cause	actions: gives life for a cause
love me	actions	care	actions: care
love me	actions	support	actions: support
love me	actions	cherish	actions: cherish
market square heroes	actions	defending	actions: defending
you're my best friend	actions	caring	actions: caring
market square heroes	actions	fighting	actions: fighting
somebody to love	actions	cherishes	actions: cherishes
with a child's heart	actions	ask questions	actions: ask questions
with a child's heart	actions	explore	actions: explore
with a child's heart	actions	play	actions: play
somebody to love	actions	encourages	actions: encourages
somebody to love	actions	listens	actions: listens
lucky	actions	touching	actions: touching
lucky	actions	believing in fate	actions: believing in fate
love me	actions	listening	actions: listening
lucky	actions	making sacrifices	actions: making sacrifices
somebody to love	actions	supports	actions: supports
delilah	actions	betraying samson	actions: betraying samson
delilah	actions	cutting samson's hair	actions: cutting samson's hair
save me	actions	finding a solution	actions: finding a solution
save me	actions	seeking rescue	actions: seeking rescue
save me	actions	asking for assistance	actions: asking for assistance
open your heart	actions	share feelings	actions: share feelings
open your heart	actions	be honest	actions: be honest
open your heart	actions	be open	actions: be open
princes of the universe	actions	helping the weak	actions: helping the weak
princes of the universe	actions	fighting against evil	actions: fighting against evil
lucky	actions	making wishes	actions: making wishes
princes of the universe	actions	saving the world	actions: saving the world
invisible man	actions	talking	actions: talking
invisible man	actions	drinking	actions: drinking
with a child's heart	actions	playing	actions: playing
with a child's heart	actions	laughing	actions: laughing
with a child's heart	actions	caring	actions: caring
with a child's heart	actions	sharing	actions: sharing
lucky	actions	performing rituals	actions: performing rituals
you're my best friend	actions	listening	actions: listening
invisible man	actions	walking	actions: walking
you're my best friend	actions	listen	actions: listen
you're my best friend	actions	being present	actions: being present
